title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Pin Laptop 6 Cell chế máy Khoan Cầm tay,728202083,lazada,Phụ kiện điện tử,Phụ kiện Máy tính,Pin Laptop,https://www.lazada.vn/products/pdp-i728202083.html,55000,0.0,0,233,No Brand,2026-05-03 15:08:47
[BH 1 Đổi 1] Pin laptop HP EliteBook 2560p 2570p,1685654177,lazada,Phụ kiện điện tử,Phụ kiện Máy tính,Pin Laptop,https://www.lazada.vn/products/pdp-i1685654177.html,329000,0.0,0,0,No Brand,2026-05-03 15:08:47
⚡ Pin Laptop HP Compaq CQ42 CQ43 G4 G42 LAPTOPMINHKHOI,3315787722,lazada,Phụ kiện điện tử,Phụ kiện Máy tính,Pin Laptop,https://www.lazada.vn/products/pdp-i3315787722.html,279000,0.0,0,0,No Brand,2026-05-03 15:08:47
⚡ Pin Dell Inspiron 3420 3520 6cell LAPTOPMINHKHOI,3315832006,lazada,Phụ kiện điện tử,Phụ kiện Máy tính,Pin Laptop,https://www.lazada.vn/products/pdp-i3315832006.html,279000,0.0,0,0,No Brand,2026-05-03 15:08:47
Pin laptop Dell Inspiron 15 3531 3537 3541 3542 3543 N3542 N3542A- Pin Dell MR90Y XCMRD,1992286086,lazada,Phụ kiện điện tử,Phụ kiện Máy tính,Pin Laptop,https://www.lazada.vn/products/pdp-i1992286086.html,370000,0.0,0,108,No Brand,2026-05-03 15:08:47
pin laptop,1160516416,lazada,Phụ kiện điện tử,Phụ kiện Máy tính,Pin Laptop,https://www.lazada.vn/products/pdp-i1160516416.html,99999,0.0,0,22,No Brand,2026-05-03 15:08:47
"Pin laptop Dell Latitude 7290 7280 7000 12 7000 12 7280 12 7290- Pin Dell F3YGT-60W, DJ1J0-42W",2004055015,lazada,Phụ kiện điện tử,Phụ kiện Máy tính,Pin Laptop,https://www.lazada.vn/products/pdp-i2004055015.html,550000,0.0,0,12,No Brand,2026-05-03 15:08:47
[HCM]Pin Laptop Dell Latitude E6400 E6410 E6500 E6510 E8400 chất lượng nhập khẩu Hàng Nhập Khẩu Bảo Hành Toàn Quốc 12 Tháng !,1318631102,lazada,Phụ kiện điện tử,Phụ kiện Máy tính,Pin Laptop,https://www.lazada.vn/products/pdp-i1318631102.html,285000,0.0,0,12,No Brand,2026-05-03 15:08:47
[HCM]Pin Laptop Dell Vostro 2420 2520 3420 3520 chất lượng nhập khẩu Hàng Nhập Khẩu Bảo Hành Toàn Quốc 12 Tháng !,1318554444,lazada,Phụ kiện điện tử,Phụ kiện Máy tính,Pin Laptop,https://www.lazada.vn/products/pdp-i1318554444.html,450000,0.0,0,110,No Brand,2026-05-03 15:08:47
Pin laptop Dell Latitude E6420 E6420 E6520 E6120 - Hàng nhập khẩu,252880986,lazada,Phụ kiện điện tử,Phụ kiện Máy tính,Pin Laptop,https://www.lazada.vn/products/pdp-i252880986.html,350000,0.0,0,0,No Brand,2026-05-03 15:08:47
