title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"Pin CR-P2, 2CR5 Panasonic 6V pin máy ảnh film CRP2",3088518123,lazada,Phụ kiện điện tử,Phụ kiện Máy ảnh,Pin máy ảnh,https://www.lazada.vn/products/pdp-i3088518123.html,185000,0.0,0,7,Panasonic,2026-05-03 22:02:43
"Pin Thay Thế Sony NP-BN1 Dung Lượng Cao 1000mAh Cho Máy Ảnh Cyber-shot DSC-W, DSC-T, DSC-TX",3270611338,lazada,Phụ kiện điện tử,Phụ kiện Máy ảnh,Pin máy ảnh,https://www.lazada.vn/products/pdp-i3270611338.html,98000,5.0,1,5,No Brand,2026-05-03 22:02:43
"Pin Insta360 X4 Dung Lượng Cao 2290mAh – Thay Thế Pin Gốc, Quay 8K Lâu Hơn",3308338302,lazada,Phụ kiện điện tử,Phụ kiện Máy ảnh,Pin máy ảnh,https://www.lazada.vn/products/pdp-i3308338302.html,350000,5.0,1,0,No Brand,2026-05-03 22:02:43
"[Hộp 4 viên] Pin tiểu AA sạc lại Bmax 3600mAh dung lượng thực - Pin công suất cao chuyên dùng cho micro, máy ảnh",1967969063,lazada,Phụ kiện điện tử,Phụ kiện Máy ảnh,Pin máy ảnh,https://www.lazada.vn/products/pdp-i1967969063.html,137000,4.8,190,766,BMAX,2026-05-03 22:02:43
Pin Cr2 3V 800mAh Pin máy ảnh pin ống nhòm CR2,2757033358,lazada,Phụ kiện điện tử,Phụ kiện Máy ảnh,Pin máy ảnh,https://www.lazada.vn/products/pdp-i2757033358.html,36000,5.0,2,15,No Brand,2026-05-03 22:02:43
"Pin Lisun CR-P2, 2CR5 pin 6V dùng cho máy ảnh film CRP2",3095051769,lazada,Phụ kiện điện tử,Phụ kiện Máy ảnh,Pin máy ảnh,https://www.lazada.vn/products/pdp-i3095051769.html,75000,0.0,0,0,Lisun,2026-05-03 22:02:43
Pin máy ảnh Canon NB-8L cho Canon PowerShot A3300 A3200 A3100 A3000 A2200 A1200 IS,2228473235,lazada,Phụ kiện điện tử,Phụ kiện Máy ảnh,Pin máy ảnh,https://www.lazada.vn/products/pdp-i2228473235.html,220000,5.0,4,13,No Brand,2026-05-03 22:02:43
Pin NP-BN/BN1 Pin NP-BG/BG1 NP-BX1 NP-BK1 NP-FR1 NP-BD1 dùng cho máy ảnh du lịch hiệu sony,2437109228,lazada,Phụ kiện điện tử,Phụ kiện Máy ảnh,Pin máy ảnh,https://www.lazada.vn/products/pdp-i2437109228.html,200000,5.0,1,0,No Brand,2026-05-03 22:02:43
Pin 4LR44 Alkaline 6V 155mAh dùng cho máy ảnh film L1325 6V PX28A 476A,3212630114,lazada,Phụ kiện điện tử,Phụ kiện Máy ảnh,Pin máy ảnh,https://www.lazada.vn/products/pdp-i3212630114.html,19000,0.0,0,0,No Brand,2026-05-03 22:02:43
Pin chuyên dụng cho máy ảnh Canon NB-13L 1250mAh 3.6V 4.5Wh,2287420128,lazada,Phụ kiện điện tử,Phụ kiện Máy ảnh,Pin máy ảnh,https://www.lazada.vn/products/pdp-i2287420128.html,299000,4.0,1,0,No Brand,2026-05-03 22:02:43
