title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
(Bản gốc) quan trọng 8GB DDR3L 1600MHz SODIMM giá trị PC3L-12800S ram-ct102464bf160b 1.35V,1791029796,lazada,Phụ kiện điện tử,Linh kiện máy tính,RAM máy tính,https://www.lazada.vn/products/pdp-i1791029796.html,229074,0.0,0,0,No Brand,2026-05-04 05:35:12
Ram máy vi tính de ban 4g buss 1600 hàng new bảo hành 12thang giá cực tốt chi co 155k,2163366826,lazada,Phụ kiện điện tử,Linh kiện máy tính,RAM máy tính,https://www.lazada.vn/products/pdp-i2163366826.html,155000,0.0,0,5,No Brand,2026-05-04 05:35:12
"Ram 4GB DDR3 bus 1600 cho PC, Desktop - Ram 4GB DDR3 1600",659712091,lazada,Phụ kiện điện tử,Linh kiện máy tính,RAM máy tính,https://www.lazada.vn/products/pdp-i659712091.html,220000,0.0,0,28,No Brand,2026-05-04 05:35:12
Ram PC VSP DDR4 RGB 16Gb - 3600MHz,3056304377,lazada,Phụ kiện điện tử,Linh kiện máy tính,RAM máy tính,https://www.lazada.vn/products/pdp-i3056304377.html,2000000,0.0,0,9,No Brand,2026-05-04 05:35:12
"Ram PC 8GB/4GB DDR3 bus 1600 và một số loại khác, hàng chính hãng bảo hành 6 tháng",13360965330,lazada,Phụ kiện điện tử,Linh kiện máy tính,RAM máy tính,https://www.lazada.vn/products/pdp-i13360965330.html,159000,0.0,0,0,No Brand,2026-05-04 05:35:12
[HCM]Ram máy tính bàn DDR4/4G dùng cho main H110 trở lên,1294085730,lazada,Phụ kiện điện tử,Linh kiện máy tính,RAM máy tính,https://www.lazada.vn/products/pdp-i1294085730.html,550000,0.0,0,5,No Brand,2026-05-04 05:35:12
RAM Laptop Kingmax 8GB 3200 DDR4 - Hàng Chính Hãng,1963854685,lazada,Phụ kiện điện tử,Linh kiện máy tính,RAM máy tính,https://www.lazada.vn/products/pdp-i1963854685.html,860000,0.0,0,0,No Brand,2026-05-04 05:35:12
ram ddr3 4gb bus 1600,761388058,lazada,Phụ kiện điện tử,Linh kiện máy tính,RAM máy tính,https://www.lazada.vn/products/pdp-i761388058.html,120000,0.0,0,23,No Brand,2026-05-04 05:35:12
Ram máy tính ddr3 4gb,3060993637,lazada,Phụ kiện điện tử,Linh kiện máy tính,RAM máy tính,https://www.lazada.vn/products/pdp-i3060993637.html,39999,0.0,0,7,No Brand,2026-05-04 05:35:12
"Ram PC Kingston DDR3 4Gb, 8Gb Bus 1333 và 1600 bảo hành 36 tháng",1788996253,lazada,Phụ kiện điện tử,Linh kiện máy tính,RAM máy tính,https://www.lazada.vn/products/pdp-i1788996253.html,125000,0.0,0,92,No Brand,2026-05-04 05:35:12
"Ram DDR4 (PC4) 8gb, 4gb bus 2666, 2400 và 2133, ram zin máy đồng bộ Ram chính hãng, bảo hành 36 tháng",1788929760,lazada,Phụ kiện điện tử,Linh kiện máy tính,RAM máy tính,https://www.lazada.vn/products/pdp-i1788929760.html,380000,0.0,0,177,No Brand,2026-05-04 05:35:12
