title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Công Tắc Thông Minh  Wifi Công Tắc Thông Minh Nút 1/2/3/4 Tương Thích Với Alexa Voice Và Google Assistant,3078273898,lazada,Phụ kiện điện tử,Thiết bị mạng,Switch,https://www.lazada.vn/products/pdp-i3078273898.html,172000,0.0,0,99,No Brand,2026-05-04 05:42:30
"Công tắc gạt 2 vị trí, 4 vị trí nhả và giữ - Công tắc hành trình Monolever Switch",3130839645,lazada,Phụ kiện điện tử,Thiết bị mạng,Switch,https://www.lazada.vn/products/pdp-i3130839645.html,154000,0.0,0,14,No Brand,2026-05-04 05:42:30
Tuya WiFi switch 16A Mini DIY Hỗ trợ Smart Life APP hoạt động với Google Home Alexa Điều khiển bằng giọng nói,2835288149,lazada,Phụ kiện điện tử,Thiết bị mạng,Switch,https://www.lazada.vn/products/pdp-i2835288149.html,77219,0.0,0,39,No Brand,2026-05-04 05:42:30
Switch Leobog Greywood V4 (New 2023) | Linear | 5 Pin | Zgaming,2492366297,lazada,Phụ kiện điện tử,Thiết bị mạng,Switch,https://www.lazada.vn/products/pdp-i2492366297.html,3490,0.0,0,0,No Brand,2026-05-04 05:42:30
"Switch Outemu Silient Peach | Loại Switch Silent | Siêu Êm, Tịt Âm Tối Đa | Sẵn Hàng Hỏa Tốc",2454123253,lazada,Phụ kiện điện tử,Thiết bị mạng,Switch,https://www.lazada.vn/products/pdp-i2454123253.html,5500,0.0,0,0,No Brand,2026-05-04 05:42:30
Tuya WiFi switch 16A DIY Công tắc mini app smart life,2835272344,lazada,Phụ kiện điện tử,Thiết bị mạng,Switch,https://www.lazada.vn/products/pdp-i2835272344.html,86219,0.0,0,5,No Brand,2026-05-04 05:42:30
TP-Link TL- SG108E Switch Easy Smart 8 cổng Gigabit,2979222941,lazada,Phụ kiện điện tử,Thiết bị mạng,Switch,https://www.lazada.vn/products/pdp-i2979222941.html,729300,0.0,0,5,No Brand,2026-05-04 05:42:30
Switch TP-Link 8 cổng 5 cổng Gigabit 10/100/1000Mbps tốc độ cao SG108 SG105 LS1008G LS1005G...,2864348947,lazada,Phụ kiện điện tử,Thiết bị mạng,Switch,https://www.lazada.vn/products/pdp-i2864348947.html,535000,0.0,0,0,No Brand,2026-05-04 05:42:30
Công tắc Wifi tuya và smartlife điều khiển hẹn giờ tắt bật các thiết bị trong gia đình ngôi nhà thông minh có công tắc,2553937641,lazada,Phụ kiện điện tử,Thiết bị mạng,Switch,https://www.lazada.vn/products/pdp-i2553937641.html,120000,0.0,0,460,No Brand,2026-05-04 05:42:30
Tuya WiFi switch 16A DIY Công tắc mini app smart life,2835301168,lazada,Phụ kiện điện tử,Thiết bị mạng,Switch,https://www.lazada.vn/products/pdp-i2835301168.html,77219,0.0,0,6,No Brand,2026-05-04 05:42:30
TP-Link TL- SG108 Switch Để Bàn 8 cổng 10/100/1000Mbps,2979521147,lazada,Phụ kiện điện tử,Thiết bị mạng,Switch,https://www.lazada.vn/products/pdp-i2979521147.html,543800,0.0,0,0,No Brand,2026-05-04 05:42:30
Combo Switch 3 Pin Giá Rẻ - Switch Bàn Phím Cơ Blue Switch / Red Switch / Brown Switch,3268190157,lazada,Phụ kiện điện tử,Thiết bị mạng,Switch,https://www.lazada.vn/products/pdp-i3268190157.html,22000,0.0,0,10,No Brand,2026-05-04 05:42:30
Công Tắc Thông Minh Wifi Hẹn Giờ Điều Khiển Từ Xa Tuya Basic 2200W Bản Quốc Tế,2506689190,lazada,Phụ kiện điện tử,Thiết bị mạng,Switch,https://www.lazada.vn/products/pdp-i2506689190.html,75000,0.0,0,0,No Brand,2026-05-04 05:42:30
