title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Thẻ nhớ Micro 1TB Ultra Micro SD 32GB 64GB 128GB 256GB 1TB 512GB Thẻ nhớ MicroSD,3237192571,lazada,Phụ kiện điện tử,Thiết bị lưu trữ,Thẻ nhớ,https://www.lazada.vn/products/pdp-i3237192571.html,108000,3.3,15,81,No Brand,2026-05-03 10:24:38
Thẻ nhớ CFexpress Lexar Professional 256GB Type B GOLD Series ( LCXEXPR256G-RNENG ),2741422330,lazada,Phụ kiện điện tử,Thiết bị lưu trữ,Thẻ nhớ,https://www.lazada.vn/products/pdp-i2741422330.html,5489000,0.0,0,0,Lexar,2026-05-03 10:24:38
"Thẻ nhớ 64G dành cho camera an ninh, camera giám sát, bóng đèn camera",2226481018,lazada,Phụ kiện điện tử,Thiết bị lưu trữ,Thẻ nhớ,https://www.lazada.vn/products/pdp-i2226481018.html,290000,3.4,5,24,Gobos,2026-05-03 10:24:38
Class 10 Chính Hãng 16G 32GB U1 SDHC 64GB 128GB U3 SD SDA1XC Class10 V10 Thẻ Nhớ Cho Camera Video 1080p 3D 4K,3287978305,lazada,Phụ kiện điện tử,Thiết bị lưu trữ,Thẻ nhớ,https://www.lazada.vn/products/pdp-i3287978305.html,171787,0.0,0,6,No Brand,2026-05-03 10:24:38
Thẻ nhớ Hoco Class 10 tốc độ cao TF micro-SD,3099506771,lazada,Phụ kiện điện tử,Thiết bị lưu trữ,Thẻ nhớ,https://www.lazada.vn/products/pdp-i3099506771.html,95000,5.0,2,12,hoco.,2026-05-03 10:24:38
"Thẻ Nhớ Micro SD 512MB 256MB 128MB 64MB Class 10 SD/TF Dành Cho Điện Thoại, Máy Tính Bảng, Máy Tính Xách Tay, Máy Ảnh - Thẻ Nhớ Tốc Độ Đọc Và Ghi Cao",13335330547,lazada,Phụ kiện điện tử,Thiết bị lưu trữ,Thẻ nhớ,https://www.lazada.vn/products/pdp-i13335330547.html,96800,4.0,4,17,jaster,2026-05-03 10:24:38
Store YUEQIN3 Micro TF SD thẻ 128Mb 4GB 8Mb 16Mb 32Mb 64Mb SD Thẻ nhớ thẻ cho điện thoại TACHOGRAPH máy ảnh,3064247161,lazada,Phụ kiện điện tử,Thiết bị lưu trữ,Thẻ nhớ,https://www.lazada.vn/products/pdp-i3064247161.html,52331,4.8,5,75,No Brand,2026-05-03 10:24:38
"Thẻ nhớ microSDHC Yoosee Pro Plus 32GB, 64GB, 128GB UHS-I U3 4K R90MB/s W40MB/s chuyên camera và điện thoại",2338791151,lazada,Phụ kiện điện tử,Thiết bị lưu trữ,Thẻ nhớ,https://www.lazada.vn/products/pdp-i2338791151.html,249000,4.6,16,67,No Brand,2026-05-03 10:24:38
"Thẻ Nhớ Micro 512MB , 1GB, 2GB... 16GB Các Loại Zin Hàng Cao Cấp",2970722502,lazada,Phụ kiện điện tử,Thiết bị lưu trữ,Thẻ nhớ,https://www.lazada.vn/products/pdp-i2970722502.html,29979,4.9,36,383,No Brand,2026-05-03 10:24:38
♥COD100 % Thẻ SD Kingston Chính Hãng 128GB 64GB 32GB 16GB Thẻ Nhớ Class10 Cartao De Memoria SDHC SDXC UHS-I HD Video Carte Sd Cho Máy Ảnh,1111022216,lazada,Phụ kiện điện tử,Thiết bị lưu trữ,Thẻ nhớ,https://www.lazada.vn/products/pdp-i1111022216.html,117000,4.6,130,486,No Brand,2026-05-03 10:24:38
