title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Cảm Biến Độ Ẩm Nhiệt Độ Thông Minh Tuya Zigbee Dành Cho Tự Động Hóa Gia Đình Tương Thích Với Thiết Bị Giám Sát Môi Trường Google Home Alexa,3148342383,lazada,Phụ kiện điện tử,Thiết bị thông minh,Thiết bị giám sát thông minh,https://www.lazada.vn/products/pdp-i3148342383.html,123200,5.0,35,67,No Brand,2026-05-03 09:56:04
Cảm Biến Độ Ẩm Nhiệt Độ Thông Minh Tuya Zigbee Dành Cho Tự Động Hóa Gia Đình Tương Thích Với Thiết Bị Giám Sát Môi Trường Google Home Alexa,3307392463,lazada,Phụ kiện điện tử,Thiết bị thông minh,Thiết bị giám sát thông minh,https://www.lazada.vn/products/pdp-i3307392463.html,185250,5.0,1,9,No Brand,2026-05-03 09:56:04
Camera IP Không Dây Camera Quan Sát Wifi An Ninh Bảo Vệ Máy Quay Giám Sát Thông Minh Tự Động Theo Dõi Trẻ Em,2907244642,lazada,Phụ kiện điện tử,Thiết bị thông minh,Thiết bị giám sát thông minh,https://www.lazada.vn/products/pdp-i2907244642.html,200000,4.0,3,13,Fofu,2026-05-03 09:56:04
Thiết Bị Theo Dõi Android Thông Minh Với Ứng Dụng Google Find Hub Tương Thích Với Ứng Dụng Samsung Moto Security Item Locator Vỏ Bảo Vệ Tương Thích Bluetooth Tùy Chọn,3259441272,lazada,Phụ kiện điện tử,Thiết bị thông minh,Thiết bị giám sát thông minh,https://www.lazada.vn/products/pdp-i3259441272.html,193600,5.0,6,80,No Brand,2026-05-03 09:56:04
Chuông báo động cảm biến không dây tại nhà Máy dò hồng ngoại Thiết bị chào mừng Chuông cửa thông minh,2959615261,lazada,Phụ kiện điện tử,Thiết bị thông minh,Thiết bị giám sát thông minh,https://www.lazada.vn/products/pdp-i2959615261.html,74000,4.8,33,115,No Brand,2026-05-03 09:56:04
E-WOITD HD Wifi thông minh giám sát màn hình máy ảnh từ xa màn hình máy quay video giám sát nhà thông minh mini cam,3239778505,lazada,Phụ kiện điện tử,Thiết bị thông minh,Thiết bị giám sát thông minh,https://www.lazada.vn/products/pdp-i3239778505.html,181046,5.0,2,5,E-WOITD,2026-05-03 09:56:04
Đồng hồ thông minh ZL02D đo nhịp tim huyết áp giám sát sức khỏe cá tính cho nam,2496903917,lazada,Phụ kiện điện tử,Thiết bị thông minh,Thiết bị giám sát thông minh,https://www.lazada.vn/products/pdp-i2496903917.html,335000,4.9,19,53,No Brand,2026-05-03 09:56:04
"Thiết bị định vị GPS mini 4G không dây ô tô xe máy, giám sát âm thanh, phần mềm trọn đời",2666123829,lazada,Phụ kiện điện tử,Thiết bị thông minh,Thiết bị giám sát thông minh,https://www.lazada.vn/products/pdp-i2666123829.html,900000,4.9,49,321,No Brand,2026-05-03 09:56:04
Camera wifi mini giám sát IP V380 Pro kết nối điện thoại thông minh - camera an ninh gia đình,2270340746,lazada,Phụ kiện điện tử,Thiết bị thông minh,Thiết bị giám sát thông minh,https://www.lazada.vn/products/pdp-i2270340746.html,321000,5.0,12,34,KAW,2026-05-03 09:56:04
"【Vận chuyển nhanh】camera360 trong nhà camera an ninh zoom，camera wifi không dây ngoài trời 360，bóng đèn FHD 1080p Rõ nét,kiểu dáng độc đáo, xoay 360 độ, hỗ trợ hồng ngoại và flash màu quay đêm Đen và trắng",2247000017,lazada,Phụ kiện điện tử,Thiết bị thông minh,Thiết bị giám sát thông minh,https://www.lazada.vn/products/pdp-i2247000017.html,142200,4.3,17,66,No Brand,2026-05-03 09:56:04
