title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Sigma | Ống Kính C 18-50 Sony E / Kenko AIR MC UV / Độ Sáng Ống Kính F 2.8,13334208842,lazada,Phụ kiện điện tử,Phụ kiện máy bay camera,Túi đựng máy bay Camera,https://www.lazada.vn/products/pdp-i13334208842.html,16758400,0.0,0,0,Sigma,2026-05-03 10:21:38
"Sigma |  Ống Kính C 18-50 Sony E / Khoảng Cách Chụp Tối Thiểu 12,1cm + Kính Lọc Celeste",13332407966,lazada,Phụ kiện điện tử,Phụ kiện máy bay camera,Túi đựng máy bay Camera,https://www.lazada.vn/products/pdp-i13332407966.html,15561000,5.0,1,0,Sigma,2026-05-03 10:21:38
Sigma |Ống Kính C 18-50 Sony E + Kính Lọc Schneider / Độ Dài Tiêu Cự 50mm,3314129275,lazada,Phụ kiện điện tử,Phụ kiện máy bay camera,Túi đựng máy bay Camera,https://www.lazada.vn/products/pdp-i3314129275.html,16104800,5.0,2,5,Sigma,2026-05-03 10:21:38
【Vận tốc mãi】svbony sv503 Kính thiên văn văn phiên dịch máy bay 80mm F7 / 102mm F7 / 70mm F6 OTA ED cấp quản lý các loại kính trại hạ cánh thực Ấn để quan sát sát thiên V,2766833651,lazada,Phụ kiện điện tử,Phụ kiện máy bay camera,Túi đựng máy bay Camera,https://www.lazada.vn/products/pdp-i2766833651.html,11416911,5.0,1,0,Svbony,2026-05-03 10:21:38
Camera FPV Siêu Nhỏ BETAFPV C03 160 °   Ống Kính FOV 2.1mm Cảm Biến CMOS 1/3'' Thích Hợp Cho Máy Bay Không Người Lái FPV M03 5.8G VTX,13346197111,lazada,Phụ kiện điện tử,Phụ kiện máy bay camera,Túi đựng máy bay Camera,https://www.lazada.vn/products/pdp-i13346197111.html,354000,5.0,1,18,No Brand,2026-05-03 10:21:38
"Viltrox |Ống Kính Chân Dung Viltrox AF 85mm F2.0 EVO, Lấy Nét Tự Động, Siêu Nét cho Sony FE / Nikon Z (Full-frame)",3230600908,lazada,Phụ kiện điện tử,Phụ kiện máy bay camera,Túi đựng máy bay Camera,https://www.lazada.vn/products/pdp-i3230600908.html,9556000,4.9,41,131,VILTROX,2026-05-03 10:21:38
Sigma |Ống Kính SIGMA 56mm F1.4 DC DN / Contemporary C018 / Dành Cho Máy Ảnh Micro Four Thirds,13332532657,lazada,Phụ kiện điện tử,Phụ kiện máy bay camera,Túi đựng máy bay Camera,https://www.lazada.vn/products/pdp-i13332532657.html,10196000,5.0,1,0,Sigma,2026-05-03 10:21:38
"NiYi Focus | Ống Kính Viltrox AF 9mm F2.8, Góc Siêu Rộng Cho Sony E / Nikon Z / Fuji X, Hỗ Trợ Lấy Nét Tự Động",3198426688,lazada,Phụ kiện điện tử,Phụ kiện máy bay camera,Túi đựng máy bay Camera,https://www.lazada.vn/products/pdp-i3198426688.html,5885000,4.7,34,18,NiYi Focus,2026-05-03 10:21:38
Sigma |Máy Ảnh Mirrorless Crop/ SIGMA C 18-50mm F2.8 DC DN Cho Canon RF,13333114260,lazada,Phụ kiện điện tử,Phụ kiện máy bay camera,Túi đựng máy bay Camera,https://www.lazada.vn/products/pdp-i13333114260.html,17587920,0.0,0,0,Sigma,2026-05-03 10:21:38
7Artisans | Ống Kính Góc Rộng Siêu Rộng 10mm F2.8,13315134131,lazada,Phụ kiện điện tử,Phụ kiện máy bay camera,Túi đựng máy bay Camera,https://www.lazada.vn/products/pdp-i13315134131.html,4570000,0.0,0,0,7Artisans,2026-05-03 10:21:38
HIKMICRO | Thiết Bị Quan Sát Ban Đêm Hình Ảnh Nhiệt,13328926386,lazada,Phụ kiện điện tử,Phụ kiện máy bay camera,Túi đựng máy bay Camera,https://www.lazada.vn/products/pdp-i13328926386.html,30569000,0.0,0,0,HIKMICRO,2026-05-03 10:21:38
"VILTROX(Viltrox) | Lens/Ống Kính Viltrox AF Pro F1.4 Series (13-85mm), Full-frame, Tự Động Lấy Nét cho Sony FE / Fuji X / Nikon Z",3236037269,lazada,Phụ kiện điện tử,Phụ kiện máy bay camera,Túi đựng máy bay Camera,https://www.lazada.vn/products/pdp-i3236037269.html,9046000,4.5,13,7,VILTROX,2026-05-03 10:21:38
"MEKE | Ống kính khẩu độ lớn 85mm f/1.8 PRO, ống kính prime 55mm/50mm f/1.8 cho máy ảnh full-frame, tương thích với máy ảnh Sony E-frame 35mm",3268126947,lazada,Phụ kiện điện tử,Phụ kiện máy bay camera,Túi đựng máy bay Camera,https://www.lazada.vn/products/pdp-i3268126947.html,11462000,4.6,6,7,MEKE,2026-05-03 10:21:38
