title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"Webcam máy tính có mic xoay 360 A09 FULL HD NEW 2023 cao cấp dùng học tập, live camera trên pc laptop, micro thu âm cực tốt, thích hợp với nhiều phần mềm",2161368417,lazada,Phụ kiện điện tử,Phụ kiện Máy tính,Webcam,https://www.lazada.vn/products/pdp-i2161368417.html,299000,4.9,109,293,XSmart,2026-05-03 10:36:40
"Webcam Logitech MX BRIO Ultra HD 4K - Hội họp & truyền trực tuyến, Mic kép giảm ồn, Show Mode, USB-C",2612950072,lazada,Phụ kiện điện tử,Phụ kiện Máy tính,Webcam,https://www.lazada.vn/products/pdp-i2612950072.html,5299000,4.9,11,25,Logitech,2026-05-03 10:36:40
👉Hot Sale YIBAR Elough 2K HD Webcam cho máy tính để bàn máy tính xách tay máy tính mini USB Web Camera với micro Web Cam cho Youtube Skype,3169680127,lazada,Phụ kiện điện tử,Phụ kiện Máy tính,Webcam,https://www.lazada.vn/products/pdp-i3169680127.html,106872,5.0,1,7,YIBAR,2026-05-03 10:36:40
"Webcam máy tính-W08-Có Mic độ phân giải full hd 1080p Web Camera Pc Có Micro Tích Hợp Cho Máy Tính, Lap top, loại kẹp tiện dụng",2263610001,lazada,Phụ kiện điện tử,Phụ kiện Máy tính,Webcam,https://www.lazada.vn/products/pdp-i2263610001.html,185000,5.0,1,0,No Brand,2026-05-03 10:36:40
"UYEA | Webcam Livestream 4K UYEA, Tích Hợp Đèn Trợ Sáng, Mic Kép Khử Ồn, Tự Động Lấy Nét, Dùng Cho Học Online/Họp",3193673619,lazada,Phụ kiện điện tử,Phụ kiện Máy tính,Webcam,https://www.lazada.vn/products/pdp-i3193673619.html,234000,4.8,80,65,UYEA,2026-05-03 10:36:40
Camera chiều sâu Intel RealSense Depth Camera D435i (Intel D435i) 0401,1872350762,lazada,Phụ kiện điện tử,Phụ kiện Máy tính,Webcam,https://www.lazada.vn/products/pdp-i1872350762.html,8990000,5.0,4,8,Intel,2026-05-03 10:36:40
"HEITAILANG | Máy Ảnh Webcam Cao Cấp 4K Cho Sử Dụng Tại Nhà, Học Online và Phát Sóng Trực Tiếp",3196375148,lazada,Phụ kiện điện tử,Phụ kiện Máy tính,Webcam,https://www.lazada.vn/products/pdp-i3196375148.html,172000,4.9,214,39,HEITAILANG,2026-05-03 10:36:40
"Camera Webcam USB Độ Phân Giải Cao 1080P 4K Dành Cho Máy Tính Xách Tay, Máy Tính Để Bàn, Chất Lượng Hình Ảnh Rõ Nét Cho Phát Sóng Trực Tiếp, Lớp Học Trực Tuyến - Phụ Kiện Chuột Máy Tính",3165114030,lazada,Phụ kiện điện tử,Phụ kiện Máy tính,Webcam,https://www.lazada.vn/products/pdp-i3165114030.html,160800,5.0,5,126,No Brand,2026-05-03 10:36:40
Webcam rời UYEA tích hợp micro cho máy tính để bàn dùng phát trực tiếp,3314130115,lazada,Phụ kiện điện tử,Phụ kiện Máy tính,Webcam,https://www.lazada.vn/products/pdp-i3314130115.html,160000,4.9,57,606,UYEA,2026-05-03 10:36:40
Webcam Logitech MX Brio 4K Ultra HD,2636307187,lazada,Phụ kiện điện tử,Phụ kiện Máy tính,Webcam,https://www.lazada.vn/products/pdp-i2636307187.html,5767000,0.0,0,0,Logitech,2026-05-03 10:36:40
Logitech | Máy Ảnh Webcam Ngoài Trực Tiếp HD 4K,13328966093,lazada,Phụ kiện điện tử,Phụ kiện Máy tính,Webcam,https://www.lazada.vn/products/pdp-i13328966093.html,16765000,0.0,0,6,Logitech,2026-05-03 10:36:40
Jabra panacast Webcam 20 HD siêu nét 4K Ai-được hỗ trợ với zoom thông minh,2349109185,lazada,Phụ kiện điện tử,Phụ kiện Máy tính,Webcam,https://www.lazada.vn/products/pdp-i2349109185.html,10240000,0.0,0,0,Jabra,2026-05-03 10:36:40
"PC tích hợp webcam ViewLife 27 inch dành cho đại lý, Intel i3-13, Win11, U4-313D, 16GB/512",13332968153,lazada,Phụ kiện điện tử,Phụ kiện Máy tính,Webcam,https://www.lazada.vn/products/pdp-i13332968153.html,21235200,0.0,0,0,No Brand,2026-05-03 10:36:40
