title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"Điện thoại Samsung Galaxy A06 5G (4/128GB), Màn Hình Cực Đại HD+ 6.7”, 5G Kết nối cực nhanh - Hàng chính hãng",277553639,tiki,Điện Thoại - Máy Tính Bảng,Điện thoại Smartphone,"Điện thoại Samsung Galaxy A06 5G (4/128GB), Màn Hình Cực Đại HD+ 6.7”, 5G Kết nối cực nhanh - Hàng chính hãng",https://tiki.vn/product-p277553639.html?spid=277553641,3920000,3.9,33,25690,Samsung,4/29/2026 13:40
"Điện thoại Samsung Galaxy A26 5G (8/128GB), Mặt lưng kính, AI-Circle to Search, Camera HDR chụp đêm sáng rõ - Hàng chính hãng",277777809,tiki,Điện Thoại - Máy Tính Bảng,Điện thoại Smartphone,"Điện thoại Samsung Galaxy A26 5G (8/128GB), Mặt lưng kính, AI-Circle to Search, Camera HDR chụp đêm sáng rõ - Hàng chính hãng",https://tiki.vn/product-p277777809.html?spid=277777811,6990000,5,29,4442,Samsung,4/29/2026 13:40
Điện Thoại Samsung Galaxy A57 5G ( 8GB/128GB) - Hàng Chính Hãng,279257510,tiki,Điện Thoại - Máy Tính Bảng,Điện thoại Smartphone,Điện Thoại Samsung Galaxy A57 5G ( 8GB/128GB) - Hàng Chính Hãng,https://tiki.vn/product-p279257510.html?spid=279257512,12490000,0,0,0,Samsung,4/29/2026 13:40
Điện Thoại Samsung Galaxy A16 5G (4GB/128GB) -  Đã Kích Hoạt Bảo Hành Điện Tử -  Hàng Chính Hãng,278974811,tiki,Điện Thoại - Máy Tính Bảng,Điện thoại Smartphone,Điện Thoại Samsung Galaxy A16 5G (4GB/128GB) -  Đã Kích Hoạt Bảo Hành Điện Tử -  Hàng Chính Hãng,https://tiki.vn/product-p278974811.html?spid=278974813,4990000,5,1,18,Samsung,4/27/2026 5:15
Tai nghe nhét tai Samsung EO-IC100 Type C - Hàng Chính Hãng,279185974,tiki,Điện Thoại - Máy Tính Bảng,Điện thoại Smartphone,Tai nghe nhét tai Samsung EO-IC100 Type C - Hàng Chính Hãng,https://tiki.vn/product-p279185974.html?spid=279185975,550000,5,3,31,Samsung,4/27/2026 5:15
Điện Thoại Samsung Galaxy A36 5G - Hàng Chính Hãng,277466537,tiki,Điện Thoại - Máy Tính Bảng,Điện thoại Smartphone,Điện Thoại Samsung Galaxy A36 5G - Hàng Chính Hãng,https://tiki.vn/product-p277466537.html?spid=277466539,8140000,5,23,1501,Samsung,4/29/2026 13:40
Củ Sạc Samsung Không Kèm Cáp 25W - Hàng Chính Hãng,277574339,tiki,Điện Thoại - Máy Tính Bảng,Điện thoại Smartphone,Củ Sạc Samsung Không Kèm Cáp 25W - Hàng Chính Hãng,https://tiki.vn/product-p277574339.html?spid=277574341,540000,4.8,37,292,Samsung,4/29/2026 13:40
Điện Thoại Samsung Galaxy A37 5G (8GB/128GB) - Hàng Chính Hãng,279257463,tiki,Điện Thoại - Máy Tính Bảng,Điện thoại Smartphone,Điện Thoại Samsung Galaxy A37 5G (8GB/128GB) - Hàng Chính Hãng,https://tiki.vn/product-p279257463.html?spid=279257465,10990000,5,1,3,Samsung,4/29/2026 13:40
Apple iPhone 17e,279204182,tiki,Điện Thoại - Máy Tính Bảng,Điện thoại Smartphone,Apple iPhone 17e,https://tiki.vn/product-p279204182.html?spid=279204275,17250000,0,0,4,Apple,4/29/2026 13:40
Điện Thoại Samsung Galaxy S26 Ultra (12GB/256GB) - Hàng Chính Hãng,279185853,tiki,Điện Thoại - Máy Tính Bảng,Điện thoại Smartphone,Điện Thoại Samsung Galaxy S26 Ultra (12GB/256GB) - Hàng Chính Hãng,https://tiki.vn/product-p279185853.html?spid=279185857,33190000,0,0,0,Samsung,4/29/2026 13:40
