title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Keo Tản Nhiệt ARCTICC MX4 - 4g - Hàng Nhập Khẩu,275867088,tiki,Laptop - Máy Vi Tính - Linh kiện,Linh Kiện Máy Tính - Phụ Kiện Máy Tính,Hệ Thống Tản Nhiệt,https://tiki.vn/product-p275867088.html?spid=275867089,190000,4.5,4,21,LuckyJQR,4/27/2026 5:12
Kệ đỡ giá đỡ đế tản nhiệt cho ipad máy tính bảng hợp kim nhôm gấp gọn xoay 360 độ nhiều nấc độ cao K31- Hàng chính hãng,278504554,tiki,Laptop - Máy Vi Tính - Linh kiện,Linh Kiện Máy Tính - Phụ Kiện Máy Tính,Linh Kiện Máy Tính Khác,https://tiki.vn/product-p278504554.html?spid=277816037,139000,1,1,11,SUZIN,4/27/2026 5:12
Pin dùng cho Laptop Dell Inspiron 15 3567 N3567 - Hàng Nhập Khẩu  MIBAT950,200007898,tiki,Laptop - Máy Vi Tính - Linh kiện,Linh Kiện Máy Tính - Phụ Kiện Máy Tính,Linh Kiện Thay Thế Cho Laptop,https://tiki.vn/product-p200007898.html?spid=200007899,574321,0,0,1,MISUFUJl,4/27/2026 5:12
Bàn phím dành cho Laptop MSI GF63 GF65 GS65 ĐEN ĐỎ LED - hàng nhập khẩu,269900607,tiki,Laptop - Máy Vi Tính - Linh kiện,Linh Kiện Máy Tính - Phụ Kiện Máy Tính,Linh Kiện Thay Thế Cho Laptop,https://tiki.vn/product-p269900607.html?spid=269900608,550000,0,0,1,MINHHA,4/27/2026 5:12
Bàn phím dành cho Laptop HP Probook 440 G9 445 G9 hàng nhập khẩu,274406613,tiki,Laptop - Máy Vi Tính - Linh kiện,Linh Kiện Máy Tính - Phụ Kiện Máy Tính,Linh Kiện Thay Thế Cho Laptop,https://tiki.vn/product-p274406613.html?spid=274406614,550000,0,0,0,MINHHA,4/27/2026 5:12
"Bộ nhớ Ram máy tính laptop 4GB DDR4 PC4 - 2666v Micron, samsung - Hàng chính hãng",279268299,tiki,Laptop - Máy Vi Tính - Linh kiện,Linh Kiện Máy Tính - Phụ Kiện Máy Tính,RAM Máy Tính,https://tiki.vn/product-p279268299.html?spid=279268301,920000,0,0,0,CARECAM,4/29/2026 13:37
Vỏ Máy Tính Case VSP Aqual X2-M Đen – Hàng Chính Hãng,279004045,tiki,Laptop - Máy Vi Tính - Linh kiện,Linh Kiện Máy Tính - Phụ Kiện Máy Tính,Vỏ Case - Thùng Máy,https://tiki.vn/product-p279004045.html?spid=279004046,364000,0,0,0,T-WOLF,4/29/2026 13:37
Vỏ Máy Tính Case VSP ES7 Trắng/Đen – Hàng Chính Hãng,279004006,tiki,Laptop - Máy Vi Tính - Linh kiện,Linh Kiện Máy Tính - Phụ Kiện Máy Tính,Vỏ Case - Thùng Máy,https://tiki.vn/product-p279004006.html?spid=279004344,676000,0,0,0,T-WOLF,4/29/2026 13:37
Card đồ họa Nvidia NVLink Bridge A100 Ampere 2-Way 2-Slot x16 - Hàng chính hãng,278898178,tiki,Laptop - Máy Vi Tính - Linh kiện,Linh Kiện Máy Tính - Phụ Kiện Máy Tính,Card Màn Hình - VGA,https://tiki.vn/product-p278898178.html?spid=278898179,10000000,0,0,0,nVIDIA,4/29/2026 13:37
"Đế tản nhiệt Razer Laptop Cooling Pad | 14"" đến 18"" inch | 3 Cổng USB-A 2.0 Kết Nối | Nhiệt Độ Mát lên tới 16 Độ | Hàng Chính Hãng",278036314,tiki,Laptop - Máy Vi Tính - Linh kiện,Linh Kiện Máy Tính - Phụ Kiện Máy Tính,Linh Kiện Máy Tính Khác,https://tiki.vn/product-p278036314.html?spid=278036315,5390000,0,0,0,Razer,4/29/2026 13:37
FAN CASE MAGIC ULTRA SNOW MAN F-125 - Hàng chính hãng,277998556,tiki,Laptop - Máy Vi Tính - Linh kiện,Linh Kiện Máy Tính - Phụ Kiện Máy Tính,Hệ Thống Tản Nhiệt,https://tiki.vn/product-p277998556.html?spid=277998595,120000,0,0,0,Magic,4/29/2026 13:37
Giá đỡ màn hình HyperWork Alpha Pro | GMA02 - Hàng Chính Hãng,277740792,tiki,Laptop - Máy Vi Tính - Linh kiện,Linh Kiện Máy Tính - Phụ Kiện Máy Tính,Linh Kiện Máy Tính Khác,https://tiki.vn/product-p277740792.html?spid=277740793,1120000,0,0,0,HyperWork,4/29/2026 13:37
Chuột không dây HyperWork Silentium | MS01 - Hàng Chính Hãng - Tặng kèm lót chuột,277677699,tiki,Laptop - Máy Vi Tính - Linh kiện,Linh Kiện Máy Tính - Phụ Kiện Máy Tính,Linh Kiện Máy Tính Khác,https://tiki.vn/product-p277677699.html?spid=277678108,549000,0,0,0,HyperWork,4/29/2026 13:37
Card đồ họa Nvidia Tesla T4 16GB GDDR6 PCIe 3.0 Passive Cooling - Hàng chính hãng,277570437,tiki,Laptop - Máy Vi Tính - Linh kiện,Linh Kiện Máy Tính - Phụ Kiện Máy Tính,Card Màn Hình - VGA,https://tiki.vn/product-p277570437.html?spid=277570438,35000000,0,0,0,nVIDIA,4/29/2026 13:37
Card đồ họa Nvidia Quadro RTX A2000 12GB GDDR6 PCIe 4.0 - Hàng Chính Hãng,277570392,tiki,Laptop - Máy Vi Tính - Linh kiện,Linh Kiện Máy Tính - Phụ Kiện Máy Tính,Card Màn Hình - VGA,https://tiki.vn/product-p277570392.html?spid=277570393,16500000,0,0,0,nVIDIA,4/29/2026 13:37
"Adapter sạc laptop Lenovo135w đầu tròn kim, dùng cho laptop lenovo thinkpad X201,X220,X230,T410,T420, T420s,T430,T430s, T510,T520, T530, W510, W520, W530 - Hàng chính hãng",276067103,tiki,Laptop - Máy Vi Tính - Linh kiện,Linh Kiện Máy Tính - Phụ Kiện Máy Tính,Linh Kiện Thay Thế Cho Laptop,https://tiki.vn/product-p276067103.html?spid=276067104,570000,0,0,0,Lenovo,4/29/2026 13:37
