title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"Bao da Xiaomi Redmi Pad 2 Pro , Pocoo Pad M1 12.1 inch viền dẻo, xoay 360 độ, có khay để bút (màu đen)",278971315,tiki,Thiết Bị Số - Phụ Kiện Số,Phụ Kiện Điện Thoại và Máy Tính Bảng,Bao Da - Ốp Lưng,https://tiki.vn/product-p278971315.html?spid=278971323,120000,0.0,0,0,OEM,2026-04-28 10:06:10
Đẳng Cấp Sim Mobifone Đẹp Đuôi Phát Tài 8383 Làm Ăn Thuận Lợi,278963284,tiki,Thiết Bị Số - Phụ Kiện Số,Phụ Kiện Điện Thoại và Máy Tính Bảng,SIM Điện Thoại,https://tiki.vn/product-p278963284.html?spid=278963288,299000,0.0,0,0,Mobifone,2026-04-28 10:06:10
Bao Case Ốp Double Lock Có Khóa Chống Thất Lạc Rơi Tai Nghe cho Airpods Pro 3 - Hàng Chính Hãng,278903589,tiki,Thiết Bị Số - Phụ Kiện Số,Phụ Kiện Điện Thoại và Máy Tính Bảng,Hộp Đựng - Túi Đựng Phụ Kiện,https://tiki.vn/product-p278903589.html?spid=278903593,149000,0.0,0,0,DEVO,2026-04-28 10:06:10
"Ốp lưng LIKGUS độ giống iPhone 17 Pro Max, dành cho iPhone 13 Pro Max, 14 Pro Max, 15 Pro Max, 16 Pro Max cao cấp - Hàng Chính Hãng",278746158,tiki,Thiết Bị Số - Phụ Kiện Số,Phụ Kiện Điện Thoại và Máy Tính Bảng,Bao Da - Ốp Lưng,https://tiki.vn/product-p278746158.html?spid=278746155,160000,0.0,0,5,CA,2026-04-28 10:06:10
"Ốp lưng cho iPhone Air, iPhone 17, iPhone 17 Pro, iPhone 17 Pro Max Memumi Slim Case Magnetic siêu mỏng - Hàng Chính Hãng",278718966,tiki,Thiết Bị Số - Phụ Kiện Số,Phụ Kiện Điện Thoại và Máy Tính Bảng,Bao Da - Ốp Lưng,https://tiki.vn/product-p278718966.html?spid=278719029,250000,0.0,0,0,CA,2026-04-28 10:06:10
"Cáp Sạc Nhanh C to C ANKER 543 A80E5 240W (0.9m, 480Mbps, Nylon Braided Cable)- Hàng Chính Hãng",278639202,tiki,Thiết Bị Số - Phụ Kiện Số,Phụ Kiện Điện Thoại và Máy Tính Bảng,Dây Sạc - Dây Cáp,https://tiki.vn/product-p278639202.html?spid=278639204,239000,0.0,0,8,ANKER,2026-04-28 10:06:10
"Kính Cường Lực Dành Cho iPhone 17, iPhone Air, iPhone 17 Pro, iPhone 17 Pro Max Wi WU GT-008 Trong Suốt, Chống Vân Tay - Hàng Chính Hãng",278575703,tiki,Thiết Bị Số - Phụ Kiện Số,Phụ Kiện Điện Thoại và Máy Tính Bảng,Miếng dán màn hình,https://tiki.vn/product-p278575703.html?spid=278575728,59000,0.0,0,0,CA,2026-04-28 10:06:10
"Ốp Dẻo Chống Sốc Cho Samsung Tab S10 FE, S10 FE Plus, S10 Plus - Trong Suốt Chống Sốc 4 góc",278001565,tiki,Thiết Bị Số - Phụ Kiện Số,Phụ Kiện Điện Thoại và Máy Tính Bảng,Bao Da - Ốp Lưng,https://tiki.vn/product-p278001565.html?spid=278001567,90000,0.0,0,0,OEM,2026-04-28 10:06:10
Kamera Nội Soi 6 LED Cắm Điện Thoại - MáyTính 3in1 Dài 2m Siêu Nét – Hàng Cao Cấp Đa Năng Giá Tốt,277944848,tiki,Thiết Bị Số - Phụ Kiện Số,Phụ Kiện Điện Thoại và Máy Tính Bảng,Dụng Cụ Sửa Chữa và Vệ Sinh,https://tiki.vn/product-p277944848.html?spid=277944849,256000,5.0,1,3,OEM,2026-04-28 10:06:10
"Bao da dạng ví dành cho Samsung Galaxy S25 , S25 Plus , S25 Ultra hiệu Forwenw cao cấp - Hàng chính hãng",277867466,tiki,Thiết Bị Số - Phụ Kiện Số,Phụ Kiện Điện Thoại và Máy Tính Bảng,Bao Da - Ốp Lưng,https://tiki.vn/product-p277867466.html?spid=277589702,165000,5.0,1,1,GREENCASE,2026-04-28 10:06:10
