title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"Găng Tay Chống Nắng Hở 3 Ngón, 5 Ngón Nam Nữ Dài / Xỏ Hở Ngón Chống Tia UV Mùa Hè Có Vân Chống Trượt",2659882317,lazada,Thời trang & Phụ kiện Nữ,Phụ kiện nữ,Găng tay nữ,https://www.lazada.vn/products/pdp-i2659882317.html,75050,4.9,38,227,No Brand,2026-05-06 09:44:48
"Găng tay golf SR Hàn Quốc-găng tay đánh golf tay trái-glover golf korea-golf glover (left hand) size S, M, L, XL, XXL",1853295644,lazada,Thời trang & Phụ kiện Nữ,Phụ kiện nữ,Găng tay nữ,https://www.lazada.vn/products/pdp-i1853295644.html,150000,5.0,3,15,No Brand,2026-05-06 09:44:48
"Găng Tay Golf kenichi Hàng Xuất Hàn Chất Vải Mềm Mại, Thoáng Khí Kháng Khuẩn Golf Gloves",874872968,lazada,Thời trang & Phụ kiện Nữ,Phụ kiện nữ,Găng tay nữ,https://www.lazada.vn/products/pdp-i874872968.html,117600,4.9,122,859,No Brand,2026-05-06 09:44:48
găng tay phải đánh golf kenichi right hand golf gloves,2398880094,lazada,Thời trang & Phụ kiện Nữ,Phụ kiện nữ,Găng tay nữ,https://www.lazada.vn/products/pdp-i2398880094.html,120000,4.6,5,41,No Brand,2026-05-06 09:44:48
Gang tay golf nữ đủ size từ 18-19-20-21-22( chọn màu nhắn tin cho shop),2743643405,lazada,Thời trang & Phụ kiện Nữ,Phụ kiện nữ,Găng tay nữ,https://www.lazada.vn/products/pdp-i2743643405.html,175000,5.0,3,20,No Brand,2026-05-06 09:44:48
Găng Tay Chống Nắng UPF50+ Chống Tia UVA UVB Mỏng Nhẹ Thun Lạnh Thoáng Khí Chống Trượt Lái Xe Mở Đầu Ngón Tay Cảm Ứng,2488467888,lazada,Thời trang & Phụ kiện Nữ,Phụ kiện nữ,Găng tay nữ,https://www.lazada.vn/products/pdp-i2488467888.html,57000,4.9,196,750,No Brand,2026-05-06 09:44:48
"Găng Tay Mùa Hè Chống Nắng ,Chống Tia UV, Mát Mẻ Cho Nam và Nữ",2741616391,lazada,Thời trang & Phụ kiện Nữ,Phụ kiện nữ,Găng tay nữ,https://www.lazada.vn/products/pdp-i2741616391.html,9900,3.8,19,167,LETSON,2026-05-06 09:44:48
[HCM]5 đôi Găng tay bao tay vải cotton  không cắt ngón  cắt 2 ngón và cắt 5 ngón  nhiều lựa chọn co giãn  thoáng mát  ảnh thật bảo đảm giao đúng hàng,933914995,lazada,Thời trang & Phụ kiện Nữ,Phụ kiện nữ,Găng tay nữ,https://www.lazada.vn/products/pdp-i933914995.html,55440,4.9,665,2800,No Brand,2026-05-06 09:44:48
"Ống Tay Chống Nắng, Găng Tay Chống Nắng Hàn Quốc Let's slim  Tiện Ích Việt Nam ❌SIÊU RẺ❌",2240530751,lazada,Thời trang & Phụ kiện Nữ,Phụ kiện nữ,Găng tay nữ,https://www.lazada.vn/products/pdp-i2240530751.html,15000,5.0,4,26,No Brand,2026-05-06 09:44:48
Tay áo chống nắng COACE Găng tay áo chống nắng chống tia UV chất vải cotton thoáng khí bảo vệ làn da phù hợp cho nam nữ,2679528003,lazada,Thời trang & Phụ kiện Nữ,Phụ kiện nữ,Găng tay nữ,https://www.lazada.vn/products/pdp-i2679528003.html,35000,5.0,3,17,No Brand,2026-05-06 09:44:48
Găng tay golf xỏ ngón chống nắng che mu tay,2143126324,lazada,Thời trang & Phụ kiện Nữ,Phụ kiện nữ,Găng tay nữ,https://www.lazada.vn/products/pdp-i2143126324.html,100000,5.0,2,23,No Brand,2026-05-06 09:44:48
"Combo 5 đôi găng tay dập in bông hồng ,vải cotton 100% co giãn , thấm hút mồ hôi tốt , nhiều màu , ảnh thật",986608066,lazada,Thời trang & Phụ kiện Nữ,Phụ kiện nữ,Găng tay nữ,https://www.lazada.vn/products/pdp-i986608066.html,120000,4.9,86,298,No Brand,2026-05-06 09:44:48
Găng Tay Xe Máy Oakley Có Gù Ngón Cụt,792072530,lazada,Thời trang & Phụ kiện Nữ,Phụ kiện nữ,Găng tay nữ,https://www.lazada.vn/products/pdp-i792072530.html,61232,4.8,782,3600,No Brand,2026-05-06 09:44:48
ANGUSS Họa tiết cánh tay hoa Tay áo hình xăm cánh tay hoa Thoáng khí Đàn hồi Tay áo chống nắng cho nam Găng tay đi xe đạp Dài Tay Tấm Che Nắng Nam/Nữ,2808791914,lazada,Thời trang & Phụ kiện Nữ,Phụ kiện nữ,Găng tay nữ,https://www.lazada.vn/products/pdp-i2808791914.html,32000,4.7,80,410,No Brand,2026-05-06 09:44:48
Găng tay Oakley ngón cụt,233268515,lazada,Thời trang & Phụ kiện Nữ,Phụ kiện nữ,Găng tay nữ,https://www.lazada.vn/products/pdp-i233268515.html,61232,4.8,61,188,No Brand,2026-05-06 09:44:48
"Combo 2  đôi Găng tay chống nắng nữ vải Thun lạnh thoáng mát, hở 2 ngón tiện lợi khi lái xe (nhiều màu giao ngẫu nhiên)",2240691545,lazada,Thời trang & Phụ kiện Nữ,Phụ kiện nữ,Găng tay nữ,https://www.lazada.vn/products/pdp-i2240691545.html,25928,5.0,10,36,No Brand,2026-05-06 09:44:48
Bịch 1kg Găng Tay Cao Su Ôm Tay Siêu Tiện Dụng,3024510831,lazada,Thời trang & Phụ kiện Nữ,Phụ kiện nữ,Găng tay nữ,https://www.lazada.vn/products/pdp-i3024510831.html,85000,5.0,1,13,No Brand,2026-05-06 09:44:48
JCAAAP 55cm sexy ren mỏng Rỗng trong suốt dài Găng tay thoáng khí Net sợi phụ nữ người đàn ông giai đoạn hiệu suất bên cosplay độ đàn hồi,3270244955,lazada,Thời trang & Phụ kiện Nữ,Phụ kiện nữ,Găng tay nữ,https://www.lazada.vn/products/pdp-i3270244955.html,28471,4.0,2,11,JCAAAP,2026-05-06 09:44:48
Găng tay golf nam nữ Fit39 chống trượt thoáng khí bám gậy chắc có cả hai tay GT028,2138312028,lazada,Thời trang & Phụ kiện Nữ,Phụ kiện nữ,Găng tay nữ,https://www.lazada.vn/products/pdp-i2138312028.html,210000,5.0,27,146,No Brand,2026-05-06 09:44:48
"Găng tay full ngón mùa đông, cảm ứng điện thoại đi xe máy cho nam nữ",1633228800,lazada,Thời trang & Phụ kiện Nữ,Phụ kiện nữ,Găng tay nữ,https://www.lazada.vn/products/pdp-i1633228800.html,59000,4.8,342,1500,No Brand,2026-05-06 09:44:48
8 đôi Găng Tay Nylon Chống Trượt Thoáng Khí Thoải Mái Có Thể Dùng Cho Màn Hình Cảm Ứng Tiện Dụng,2697129483,lazada,Thời trang & Phụ kiện Nữ,Phụ kiện nữ,Găng tay nữ,https://www.lazada.vn/products/pdp-i2697129483.html,10000,5.0,87,412,No Brand,2026-05-06 09:44:48
"Găng Tay Xe Máy, Đi Phượt thời trang cao cấp",308926472,lazada,Thời trang & Phụ kiện Nữ,Phụ kiện nữ,Găng tay nữ,https://www.lazada.vn/products/pdp-i308926472.html,69000,4.6,29,101,No Brand,2026-05-06 09:44:48
[HCM] 1 đôi Găng tay dài 70cm chống nắng  co giãn vải thun  cotton thun 4 chiều  giao màu ngẫu nhiên  lựa màu nhắn tin .,2231788978,lazada,Thời trang & Phụ kiện Nữ,Phụ kiện nữ,Găng tay nữ,https://www.lazada.vn/products/pdp-i2231788978.html,25740,4.8,27,183,No Brand,2026-05-06 09:44:48
YUEQIN2 Shop Phụ nữ mùa đông dày sang trọng Găng tay thời trang da lộn ấm áp ngoài trời guantes Lady màn hình cảm ứng lái xe Găng tay thể thao đi xe đạp găng tay,2858339022,lazada,Thời trang & Phụ kiện Nữ,Phụ kiện nữ,Găng tay nữ,https://www.lazada.vn/products/pdp-i2858339022.html,32147,5.0,23,140,No Brand,2026-05-06 09:44:48
Găng Tay Cao Su Màu Đen Không Bột Nitrile,1264532300,lazada,Thời trang & Phụ kiện Nữ,Phụ kiện nữ,Găng tay nữ,https://www.lazada.vn/products/pdp-i1264532300.html,130000,4.9,69,404,No Brand,2026-05-06 09:44:48
Găng Tay Chống Nắng Hàn Quốc Xỏ Ngón Let's Slim Dày Dặn Ngăn Tia UV. Co giãn tốt cho cả nam nữ đều dùng được.,2027000371,lazada,Thời trang & Phụ kiện Nữ,Phụ kiện nữ,Găng tay nữ,https://www.lazada.vn/products/pdp-i2027000371.html,6500,4.6,56,454,No Brand,2026-05-06 09:44:48
Gang tay chống  nắng-chống tía UV-găng tay chống nắng Bao Tay chất lụa lạnh,13339873181,lazada,Thời trang & Phụ kiện Nữ,Phụ kiện nữ,Găng tay nữ,https://www.lazada.vn/products/pdp-i13339873181.html,61000,0.0,0,0,No Brand,2026-05-06 09:44:48
10 đôi Găng Tay Phủ PU Lòng Bàn Tay Trắng size M(hàng đẹp Loại 1),2367658840,lazada,Thời trang & Phụ kiện Nữ,Phụ kiện nữ,Găng tay nữ,https://www.lazada.vn/products/pdp-i2367658840.html,56000,4.9,13,47,No Brand,2026-05-06 09:44:48
Bao tay golf chống nắng Titleist - Găng Ống Tay Golf - Xà Cạp Chống Nắng Golf,1283686526,lazada,Thời trang & Phụ kiện Nữ,Phụ kiện nữ,Găng tay nữ,https://www.lazada.vn/products/pdp-i1283686526.html,150000,3.0,2,8,No Brand,2026-05-06 09:44:48
"BLIVO Tay áo , Găng tay dài Vỏ cánh tay bóng rổ, Tay áo chống nắng chống tia cực tím Phụ kiện nhà bếp Tay áo chống nắng Nam Nữ",3142319287,lazada,Thời trang & Phụ kiện Nữ,Phụ kiện nữ,Găng tay nữ,https://www.lazada.vn/products/pdp-i3142319287.html,13900,5.0,8,97,No Brand,2026-05-06 09:44:48
Găng tay chống nắng UPF50+ chống tia UV thoáng khí chống trượt cho nam nữ khi hoạt động ngoài trời,3084007109,lazada,Thời trang & Phụ kiện Nữ,Phụ kiện nữ,Găng tay nữ,https://www.lazada.vn/products/pdp-i3084007109.html,71900,5.0,5,24,Vinix,2026-05-06 09:44:48
Găng Tay SND - Găng Tay Nam Nữ Thể Thao Bảo Vệ Cổ Tay,634554943,lazada,Thời trang & Phụ kiện Nữ,Phụ kiện nữ,Găng tay nữ,https://www.lazada.vn/products/pdp-i634554943.html,111149,5.0,36,145,No Brand,2026-05-06 09:44:48
Găng tay lái xe an toàn thiết kế nửa ngón chất lượng cao cho nam nữ,2305046022,lazada,Thời trang & Phụ kiện Nữ,Phụ kiện nữ,Găng tay nữ,https://www.lazada.vn/products/pdp-i2305046022.html,69000,4.7,207,699,No Brand,2026-05-06 09:44:48
