title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Kẹp tóc hình hoa Phụ kiện tóc Acrylic phụ nữ mới Mũ nón thời trang Rhinestone kẹp tóc,2734758740,lazada,Thời trang & Phụ kiện Nữ,Phụ kiện nữ,Phụ kiện tóc nữ,https://www.lazada.vn/products/pdp-i2734758740.html,35966,4.9,85,48,No Brand,2026-05-06 15:31:03
Set 50 kẹp tóc tone màu xanh dương nhiều kiểu dễ thương cho bé,2744610953,lazada,Thời trang & Phụ kiện Nữ,Phụ kiện nữ,Phụ kiện tóc nữ,https://www.lazada.vn/products/pdp-i2744610953.html,58000,4.8,32,190,No Brand,2026-05-06 15:31:03
CHENJ Mùa Hè Ngọt Ngào Lưới Vải Tuyn Sao Bong Bóng Tóc Claw Clip Cho Phụ Nữ Rắn Ponytail Clip Phụ Kiện Mũ,3047763127,lazada,Thời trang & Phụ kiện Nữ,Phụ kiện nữ,Phụ kiện tóc nữ,https://www.lazada.vn/products/pdp-i3047763127.html,16338,5.0,3,55,CHENJ,2026-05-06 15:31:03
Kẹp Búi Tóc Nơ Lưới Voan Bong Bóng Tiểu Thư 13cm Hàn Quốc – Kẹp Càng Cua Cài Tóc Nữ San Shop,3276284897,lazada,Thời trang & Phụ kiện Nữ,Phụ kiện nữ,Phụ kiện tóc nữ,https://www.lazada.vn/products/pdp-i3276284897.html,17000,5.0,1,5,No Brand,2026-05-06 15:31:03
Băng đô cài tóc tạo phồng tóc mái tiểu thư Hàn Quốc - Phụ kiện tóc thời trang cho bạn gái,3195079480,lazada,Thời trang & Phụ kiện Nữ,Phụ kiện nữ,Phụ kiện tóc nữ,https://www.lazada.vn/products/pdp-i3195079480.html,22000,4.7,17,103,No Brand,2026-05-06 15:31:03
NCVHRT Thanh Lịch Nửa Hat Headband Pháp Retro Tóc Hoop Bữa Ăn Tối Đảng Hairband Cho Phụ Nữ Cô Gái Khí Mũ Nón Phụ Kiện Tóc,2891279284,lazada,Thời trang & Phụ kiện Nữ,Phụ kiện nữ,Phụ kiện tóc nữ,https://www.lazada.vn/products/pdp-i2891279284.html,28778,4.9,47,197,NCVHRT,2026-05-06 15:31:03
"【YWCR】Trâm cài tóc Trung Quốc, Trâm cài tóc kim loại, Trâm cài tóc cổ điển, phụ kiện tóc phong cách dân tộc cho cô gái phụ nữ",2872660606,lazada,Thời trang & Phụ kiện Nữ,Phụ kiện nữ,Phụ kiện tóc nữ,https://www.lazada.vn/products/pdp-i2872660606.html,8491,5.0,1,16,No Brand,2026-05-06 15:31:03
Tóc giả búi kẹp ngoặm xoăn lơi búi cột xoăn trung niên cho nữ - Phụ kiện RYRY,2595868325,lazada,Thời trang & Phụ kiện Nữ,Phụ kiện nữ,Phụ kiện tóc nữ,https://www.lazada.vn/products/pdp-i2595868325.html,65960,4.5,6,36,No Brand,2026-05-06 15:31:03
"Kẹp Tóc Càng Cua Bảng Lớn Nơ Voan Đính Đá Zicon Lấp Lánh Thời Trang Hàn Quốc, Hottrend - Salmon",2846968546,lazada,Thời trang & Phụ kiện Nữ,Phụ kiện nữ,Phụ kiện tóc nữ,https://www.lazada.vn/products/pdp-i2846968546.html,42000,5.0,16,60,No Brand,2026-05-06 15:31:03
Kẹp Tóc 15 Chi Tiết hellokitty Siêu Cute Cho Mẹ Và Bé,3071938275,lazada,Thời trang & Phụ kiện Nữ,Phụ kiện nữ,Phụ kiện tóc nữ,https://www.lazada.vn/products/pdp-i3071938275.html,33000,5.0,1,19,No Brand,2026-05-06 15:31:03
"Miếng dán giữ mái tóc Hình chữ nhật 9x6cm Thời trang, Tiện dụng, Xinh xắn, Dễ thương, Cute",2331937925,lazada,Thời trang & Phụ kiện Nữ,Phụ kiện nữ,Phụ kiện tóc nữ,https://www.lazada.vn/products/pdp-i2331937925.html,2500,4.6,17,374,No Brand,2026-05-06 15:31:03
"Set 100 Dây Thun Cột Tóc, Chun Buộc Tóc Trơn Phong Cách Hàn Quốc Nhiều Màu Tiện Lợi",2027079763,lazada,Thời trang & Phụ kiện Nữ,Phụ kiện nữ,Phụ kiện tóc nữ,https://www.lazada.vn/products/pdp-i2027079763.html,9900,5.0,388,2700,No Brand,2026-05-06 15:31:03
"Kẹp Tóc Càng Cua Lớn Hoa Đôi Mẫu Đơn Đính Lông Vũ Tua Rua Hạt Ngọc Thanh Lịch, Hottrend -Salmon Shop",3026741677,lazada,Thời trang & Phụ kiện Nữ,Phụ kiện nữ,Phụ kiện tóc nữ,https://www.lazada.vn/products/pdp-i3026741677.html,85000,5.0,1,6,No Brand,2026-05-06 15:31:03
"Kẹp Tóc Hoa Trà Kiểu Pháp Đơn Giản, Thanh Lịch, Phụ Kiện Tóc Nữ, Kẹp Tóc BB, Kẹp Tóc Hai Bên, Kẹp Tóc Cổ Điển, Kẹp Tóc Hai Bên",13325519014,lazada,Thời trang & Phụ kiện Nữ,Phụ kiện nữ,Phụ kiện tóc nữ,https://www.lazada.vn/products/pdp-i13325519014.html,23100,0.0,0,15,No Brand,2026-05-06 15:31:03
SEA JJT Kẹp tóc kiểu dáng thanh lịch với hoa và đá lấp lánh cùng hạt ngọc trai cho kiểu tóc nửa búi thời thượng,3320697337,lazada,Thời trang & Phụ kiện Nữ,Phụ kiện nữ,Phụ kiện tóc nữ,https://www.lazada.vn/products/pdp-i3320697337.html,21560,4.8,5,44,SEA JJT,2026-05-06 15:31:03
Eshylala Tổng hợp tóc Bun Claw Clip với tóc ban nhạc tự nhiên tóc giả tóc Clip Fluffy nâu đen Bun đầu tóc giả phụ kiện tóc,3274119550,lazada,Thời trang & Phụ kiện Nữ,Phụ kiện nữ,Phụ kiện tóc nữ,https://www.lazada.vn/products/pdp-i3274119550.html,40501,5.0,6,20,Eshylala,2026-05-06 15:31:03
Trâm cài tóc hoa trắng kem cô dâu cổ trang đẹp T30,3127430860,lazada,Thời trang & Phụ kiện Nữ,Phụ kiện nữ,Phụ kiện tóc nữ,https://www.lazada.vn/products/pdp-i3127430860.html,39999,5.0,14,54,No Brand,2026-05-06 15:31:03
Băng Đô Cài Tóc Răng Thưa Chống Trượt Cho Nữ JS-006-VN,3052519729,lazada,Thời trang & Phụ kiện Nữ,Phụ kiện nữ,Phụ kiện tóc nữ,https://www.lazada.vn/products/pdp-i3052519729.html,58000,5.0,17,47,No Brand,2026-05-06 15:31:03
"A, Dây Cột Tóc Hoa Hồng Phong Cách sang trọng  Xinh Xắn cho nữ",1995948901,lazada,Thời trang & Phụ kiện Nữ,Phụ kiện nữ,Phụ kiện tóc nữ,https://www.lazada.vn/products/pdp-i1995948901.html,19980,5.0,24,179,No Brand,2026-05-06 15:31:03
"Kẹp Tóc Càng Cua Hoa Mẫu Đơn Đính Lông Vũ Tua Rua Hạt Ngọc Thanh Lịch, Hottrend - Salmon Shop",2862128007,lazada,Thời trang & Phụ kiện Nữ,Phụ kiện nữ,Phụ kiện tóc nữ,https://www.lazada.vn/products/pdp-i2862128007.html,45000,5.0,13,45,No Brand,2026-05-06 15:31:03
