title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
0-4-7 tuổi 100% cotton bé gái ngắn tay áo giản dị áo thun + quần sooc ren thể thao hai mảnh bộ thời trang,2290121649,lazada,Thời trang & Phụ kiện Trẻ Em,Quần áo thể thao bé gái,,https://www.lazada.vn/products/pdp-i2290121649.html,128050,4.9,157,222,No Brand,2026-05-04 23:30:35
Bộ đồ trẻ em mới mùa hè bé nam nữ áo sơ mi ngắn tay Quần Short 2 cái/bộ trẻ em quần áo trẻ nhỏ trẻ sơ sinh thể thao 0-5 lứa tuổi,2664216993,lazada,Thời trang & Phụ kiện Trẻ Em,Quần áo thể thao bé gái,,https://www.lazada.vn/products/pdp-i2664216993.html,112122,5.0,13,25,No Brand,2026-05-04 23:30:35
Thời Trang Mùa Hè Trẻ Em Linen bé trai bé gái Quần Áo gấu phim hoạt hình Cầu Vồng T-Shirt quần sọt BIB 2 cái/bộ Trẻ Sơ Sinh Trẻ Em Toddler Bộ Đồ Thể Thao Thiết Lập,2297008232,lazada,Thời trang & Phụ kiện Trẻ Em,Quần áo thể thao bé gái,,https://www.lazada.vn/products/pdp-i2297008232.html,112365,5.0,15,43,No Brand,2026-05-04 23:30:35
"Bộ Quần Áo Bóng Đá Trẻ Em Các Đội Tuyển Nổi Tiếng, Vải Thun Lạnh Thể Thao Thoáng Mát",3180461621,lazada,Thời trang & Phụ kiện Trẻ Em,Quần áo thể thao bé gái,,https://www.lazada.vn/products/pdp-i3180461621.html,99750,5.0,3,12,No Brand,2026-05-04 23:30:35
"Bộ Quần Áo Trẻ Em Strivend Jersey Kid Bayern Kem, Vải Stri-Mesh Co Giãn Cao, Thoáng Mát, Bền Màu",3243110700,lazada,Thời trang & Phụ kiện Trẻ Em,Quần áo thể thao bé gái,,https://www.lazada.vn/products/pdp-i3243110700.html,200000,5.0,3,7,Bulbal,2026-05-04 23:30:35
Bộ Quần Áo Thể Thao Trẻ Em Cotton Minky Mom Phong Cách Cầu Thủ Nhí 7- 27 kg TN-IN216,3146182121,lazada,Thời trang & Phụ kiện Trẻ Em,Quần áo thể thao bé gái,,https://www.lazada.vn/products/pdp-i3146182121.html,98010,5.0,5,36,Minky mom,2026-05-04 23:30:35
"Quần Năm Tấc Tập Yoga Cạp Cao Màu Trơn Cho Bé Gái 3-13 Tuổi, Khiêu Vũ Thể Thao Quần Short Quần Legging Hàn Quốc Xu Hướng Phong Cách Ins Thường Ngày Thân Thiện Với Làn Da Thoải Mái Cho Trẻ Em",1255235404,lazada,Thời trang & Phụ kiện Trẻ Em,Quần áo thể thao bé gái,,https://www.lazada.vn/products/pdp-i1255235404.html,82309,5.0,28,99,No Brand,2026-05-04 23:30:35
Leggings for Girls Shark Pants Sports Leggings Thin Section Big Girls White Yoga Pants,2070495665,lazada,Thời trang & Phụ kiện Trẻ Em,Quần áo thể thao bé gái,,https://www.lazada.vn/products/pdp-i2070495665.html,133962,4.8,13,40,No Brand,2026-05-04 23:30:35
【Leafish】quần Jogger Trẻ Em Quần Phong Cách Thể Thao Bé Trai Bé Gái Vải Cotton 100-160Cm Quần Dài Chống Muỗi Cho Trẻ Em Mùa Xuân Hè,2084264586,lazada,Thời trang & Phụ kiện Trẻ Em,Quần áo thể thao bé gái,,https://www.lazada.vn/products/pdp-i2084264586.html,81107,4.8,102,117,No Brand,2026-05-04 23:30:35
"3-14Y Bộ đồ hai mảnh thể thao cotton nguyên chất dành cho bé gái, quần áo rộng rãi mùa hè dành cho trẻ em lớn hơn",2749113029,lazada,Thời trang & Phụ kiện Trẻ Em,Quần áo thể thao bé gái,,https://www.lazada.vn/products/pdp-i2749113029.html,149000,3.0,2,7,No Brand,2026-05-04 23:30:35
