title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"Bộ Quần Áo Bóng Đá Trẻ Em Clb Chất liệu thấm hút, siêu nhẹ, logo Thêu cao cấp . Nhiều màu lựa chọn",1356225633,lazada,Thời trang & Phụ kiện Trẻ Em,Quần áo thể thao bé trai,,https://www.lazada.vn/products/pdp-i1356225633.html,69000,5.0,1132,3500,Bulbal,2026-05-04 18:30:40
"Bộ quần áo bé trai mùa hè 14-52kg mẫu chữ FA-CLUB. Chất liệu thoáng mát, co dãn tốt. Thiết kế mới 2025. kids sport",3038468824,lazada,Thời trang & Phụ kiện Trẻ Em,Quần áo thể thao bé trai,,https://www.lazada.vn/products/pdp-i3038468824.html,99000,4.9,332,1100,No Brand,2026-05-04 18:30:40
"Freeship. Set bộ quần áo bé trai thun lạnh QC 15-50kg chữ WANYU. Thiết kế thể thao, năng động.",2192186314,lazada,Thời trang & Phụ kiện Trẻ Em,Quần áo thể thao bé trai,,https://www.lazada.vn/products/pdp-i2192186314.html,79000,4.9,1002,3700,No Brand,2026-05-04 18:30:40
"Quần Áo Bóng Đá Trẻ Em CLB Real Marid Màu Trắng 2025 - Chất Vải Thun Mè Cao Cấp , Nhận In Tên Số",3282804835,lazada,Thời trang & Phụ kiện Trẻ Em,Quần áo thể thao bé trai,,https://www.lazada.vn/products/pdp-i3282804835.html,99000,5.0,4,29,No Brand,2026-05-04 18:30:40
Set đồ bóng rổ trẻ em các CLB NBA nổi tiếng - Áo ba lỗ + quần short thể thao bé trai bé gái 10kg-45kg | Lakers Bulls Heat Celtics Raptors Cavaliers Mavericks Warriors Thunder Grizzlies,13341758382,lazada,Thời trang & Phụ kiện Trẻ Em,Quần áo thể thao bé trai,,https://www.lazada.vn/products/pdp-i13341758382.html,69000,5.0,190,964,Bulbal,2026-05-04 18:30:40
Quần Áo Bóng Đá Trẻ Em Đội Tuyển Nhật Bản Màu Vàng Kem 2025 - Chất Vải Thun Mè Cao Cấp,3238597289,lazada,Thời trang & Phụ kiện Trẻ Em,Quần áo thể thao bé trai,,https://www.lazada.vn/products/pdp-i3238597289.html,99000,5.0,2,5,No Brand,2026-05-04 18:30:40
"Quần Áo Bóng Đá Trẻ Em Đội Tuyển TÂY BAN NHA Màu Vàng Kem 2025 - Chất Vải Thun Mè Cao Cấp , Nhận In Tên Số",3294447421,lazada,Thời trang & Phụ kiện Trẻ Em,Quần áo thể thao bé trai,,https://www.lazada.vn/products/pdp-i3294447421.html,99000,0.0,0,0,No Brand,2026-05-04 18:30:40
"Quần Áo Bóng Đá Trẻ Em CLB Man City Màu Hồng 2026 - Chất Vải Thun Mè Cao Cấp , Nhận In Tên Số",3298766834,lazada,Thời trang & Phụ kiện Trẻ Em,Quần áo thể thao bé trai,,https://www.lazada.vn/products/pdp-i3298766834.html,99000,0.0,0,0,No Brand,2026-05-04 18:30:40
Set bộ quần áo bé trai 15-45kg mẫu Z-POT thể thao thun lạnh. Chất liệu thoáng mát,3029628189,lazada,Thời trang & Phụ kiện Trẻ Em,Quần áo thể thao bé trai,,https://www.lazada.vn/products/pdp-i3029628189.html,69000,5.0,6,87,No Brand,2026-05-04 18:30:40
"12KG -40KG Set Bộ Mã M60. M61 cho Bé Trai chất Liệu cotton co giãn 4 chiều, mềm mịn, thoáng mát thấm hút mồ hôi tốt",2772593946,lazada,Thời trang & Phụ kiện Trẻ Em,Quần áo thể thao bé trai,,https://www.lazada.vn/products/pdp-i2772593946.html,55000,4.8,39,148,No Brand,2026-05-04 18:30:40
Quần Áo Bóng Đá Trẻ Em Đội Tuyển Việt Nam Màu Đỏ 2025 - Chất Vải Thun Mè Cao Cấp,3210303322,lazada,Thời trang & Phụ kiện Trẻ Em,Quần áo thể thao bé trai,,https://www.lazada.vn/products/pdp-i3210303322.html,99000,0.0,0,15,No Brand,2026-05-04 18:30:40
"Bộ Quần Áo Bóng Đá Trẻ Em CLB ReaL MAD-RID 2017, Áo Đá Banh Ronaldo - Vải Mè Thái Cao Cấp",3327606173,lazada,Thời trang & Phụ kiện Trẻ Em,Quần áo thể thao bé trai,,https://www.lazada.vn/products/pdp-i3327606173.html,115000,0.0,0,0,No Brand,2026-05-04 18:30:40
"Quần Áo Bóng Đá, Đồ Đá Banh Trẻ Em ĐT BỒ và VN  VẢI MÈ THÁI THOÁNG MÁT",3213095617,lazada,Thời trang & Phụ kiện Trẻ Em,Quần áo thể thao bé trai,,https://www.lazada.vn/products/pdp-i3213095617.html,69000,0.0,0,53,No Brand,2026-05-04 18:30:40
"Bộ đồ bóng rổ bé trai, Bộ đồ ba lỗ mùa hè thể thao, Bộ quần áo bóng đá trẻ em HALO98 Store- SHOHOKO 11, SPORT23",2868007350,lazada,Thời trang & Phụ kiện Trẻ Em,Quần áo thể thao bé trai,,https://www.lazada.vn/products/pdp-i2868007350.html,125000,0.0,0,5,No Brand,2026-05-04 18:30:40
Bộ Ba Lỗ 9-40Kg CANAXIMUOI Thun Lạnh Cao Cấp Cho Bé Trai-Gái,3084805756,lazada,Thời trang & Phụ kiện Trẻ Em,Quần áo thể thao bé trai,,https://www.lazada.vn/products/pdp-i3084805756.html,75000,0.0,0,69,No Brand,2026-05-04 18:30:40
"Bộ quần áo trẻ em mùa hè. Bộ quần áo trẻ em bé trai mùa hè cotton thoáng mát, in hình khủng long dễ thương - HT043",2239005946,lazada,Thời trang & Phụ kiện Trẻ Em,Quần áo thể thao bé trai,,https://www.lazada.vn/products/pdp-i2239005946.html,65000,0.0,0,410,No Brand,2026-05-04 18:30:40
"Bộ quần áo thể thao cho bé trai 13-50kg, set bộ cộc tay vải thun lạnh mềm mát SỐ 6",3015269302,lazada,Thời trang & Phụ kiện Trẻ Em,Quần áo thể thao bé trai,,https://www.lazada.vn/products/pdp-i3015269302.html,192000,0.0,0,71,No Brand,2026-05-04 18:30:40
]Đồ Thể Thao Đá Bóng Barca Kem – Đồ đá banh trẻ em Mới,937628014,lazada,Thời trang & Phụ kiện Trẻ Em,Quần áo thể thao bé trai,,https://www.lazada.vn/products/pdp-i937628014.html,105000,0.0,0,10,No Brand,2026-05-04 18:30:40
