title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"Vụn đá thạch anh Vàng (Citrine Quartz) may mắn, là vụn đá thanh tẩy trong Tarot, Reiki, thiền định, phong thủy",2534375428,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Đá Quý,https://www.lazada.vn/products/pdp-i2534375428.html,240000,0.0,0,20,No Brand,2026-05-06 16:29:57
[HCM]Vòng tay nữ trang đá quý Ngọc Bích Nguyên Khối TỰ NHIÊN  Xanh 79,1540116752,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Đá Quý,https://www.lazada.vn/products/pdp-i1540116752.html,151050,4.9,7,38,No Brand,2026-05-06 16:29:57
Phấn Đánh Bóng Kim Cương Đá Xanh Thạch Anh Măng Đá Bột Đánh Bóng Bột Đánh Bóng Đá Quý Cho Máy Móc Phần Cứng Khác,2831523984,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Đá Quý,https://www.lazada.vn/products/pdp-i2831523984.html,122200,4.9,48,497,No Brand,2026-05-06 16:29:57
"Bột Xoàn Đành Bóng Ngọc Bích, Mã Não, Cẩm Thạch, Đá Quý, Kim Loại. Loại Bỏ Trầy Xước Bề Mặt, Đánh Bóng Gương...",2845537307,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Đá Quý,https://www.lazada.vn/products/pdp-i2845537307.html,94000,4.9,15,33,No Brand,2026-05-06 16:29:57
Aquamarine Tự Nhiên Hạt Tròn Đá Quý Màu Xanh Cho DIY Vòng Tay Dây Chuyền Mặt Dây Chuyền Trang Sức Làm Phụ Kiện,2912450873,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Đá Quý,https://www.lazada.vn/products/pdp-i2912450873.html,134250,4.9,9,81,No Brand,2026-05-06 16:29:57
1KG Vụn Thạch Anh Tự Nhiên Theo Mệnh,2630265024,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Đá Quý,https://www.lazada.vn/products/pdp-i2630265024.html,90000,5.0,11,48,No Brand,2026-05-06 16:29:57
FoMing 3X4Mm Hạt Đá Quý Mặt Tự Nhiên Vòng Cổ Tuyên Bố 3 Sợi,2091668095,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Đá Quý,https://www.lazada.vn/products/pdp-i2091668095.html,205700,4.7,22,118,No Brand,2026-05-06 16:29:57
Cân vàng bạc đá quý chính xác cân 5 số,3060219508,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Đá Quý,https://www.lazada.vn/products/pdp-i3060219508.html,310000,5.0,1,0,No Brand,2026-05-06 16:29:57
Đá Thạch Anh vụn Ngũ sắc 1 kg,2425018406,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Đá Quý,https://www.lazada.vn/products/pdp-i2425018406.html,95000,5.0,1,11,No Brand,2026-05-06 16:29:57
1kg  Đá vụn thạch anh tự nhiên các màu - đá trang trí nhà cửa các màu,2332241964,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Đá Quý,https://www.lazada.vn/products/pdp-i2332241964.html,68000,4.9,105,561,No Brand,2026-05-06 16:29:57
Bán lẻ viên đá thạch anh tóc đen thiên nhiên 6li 8li 10li 12li 14li làm vòng handmade xỏ DIY bảo kiểm định đá quý toàn quốc,1557955690,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Đá Quý,https://www.lazada.vn/products/pdp-i1557955690.html,18810,4.7,11,164,No Brand,2026-05-06 16:29:57
Đá CZ Cubic Zirconia loại 7A - kim cương nhân tạo - Siêu Cứng cao cấp nhập khẩu Thụy Sỹ,2674120206,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Đá Quý,https://www.lazada.vn/products/pdp-i2674120206.html,11028,4.8,12,59,No Brand,2026-05-06 16:29:57
445Cie-ĐÁ CITRINE THẠCH ANH VÀNG THIÊN NHIÊN ( thông số trong ảnh chụp) 4.45 Carat,3243639198,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Đá Quý,https://www.lazada.vn/products/pdp-i3243639198.html,160000,0.0,0,0,No Brand,2026-05-06 16:29:57
"Đá Ruby Tự Nhiên Lớn, Cắt Oval 13x18mm, VVS, Đá Garnet Sri Lanka, Đá Rời Để Làm Đồ Trang Sức",2730181061,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Đá Quý,https://www.lazada.vn/products/pdp-i2730181061.html,351200,5.0,5,17,No Brand,2026-05-06 16:29:57
vòng tay nam đá mã não tứ quý size 18li,3088766738,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Đá Quý,https://www.lazada.vn/products/pdp-i3088766738.html,249000,0.0,0,0,No Brand,2026-05-06 16:29:57
