title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Dây Chuyền Bạc  Kim Cương Sáng  Lấp Lánh  Sang Trọng Quí Phái DCGAIBACZIRCON17,3293484937,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Trang Sức Kim Cương,https://www.lazada.vn/products/pdp-i3293484937.html,36860,0.0,0,0,No Brand,2026-05-06 10:51:08
"FC [Giao hàng nhanh + Hộp trang sức miễn phí] Nhẫn Moissanite nhập khẩu từ Mỹ, nhẫn kim cương viền 5 hàng",13381014887,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Trang Sức Kim Cương,https://www.lazada.vn/products/pdp-i13381014887.html,174789,0.0,0,0,No Brand,2026-05-06 10:51:08
Dây Chuyền Bạc S925 Trái Tim Kim Cương Zircon Nữ Tính Quí Phái DCBACTRAITIM030,384594810,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Trang Sức Kim Cương,https://www.lazada.vn/products/pdp-i384594810.html,32010,0.0,0,324,No Brand,2026-05-06 10:51:08
"Nhẫn Moissanite 1 Carat Kim cương dành cho nữ, nhẫn freesize",2998345462,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Trang Sức Kim Cương,https://www.lazada.vn/products/pdp-i2998345462.html,115448,0.0,0,0,No Brand,2026-05-06 10:51:08
Dây Chuyền Bạc  Kim Cương Sáng  Lấp Lánh  Sang Trọng Quí Phái DCGAIBACZIRCON7,3293580033,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Trang Sức Kim Cương,https://www.lazada.vn/products/pdp-i3293580033.html,28420,0.0,0,0,No Brand,2026-05-06 10:51:08
Nhẫn trang sức bạc cao cấp đính kim cương Moissanite Trắng (Quà tặng phái nữ 2023),2205614374,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Trang Sức Kim Cương,https://www.lazada.vn/products/pdp-i2205614374.html,1400000,0.0,0,0,No Brand,2026-05-06 10:51:08
"=high-quality-- Nhẫn kim cương toàn phần hai lớp khảm có thể tháo rời của Nữ hoàng, đa năng, phiên bản cao cấp, thời trang và không phai màu.",13364651333,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Trang Sức Kim Cương,https://www.lazada.vn/products/pdp-i13364651333.html,446803,0.0,0,0,No Brand,2026-05-06 10:51:08
nhẫn vàng 18k thật Nhẫn kim cương của phụ nữ Mẫu đan xen Nhẫn kim cương Trang sức đính hôn,1761234923,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Trang Sức Kim Cương,https://www.lazada.vn/products/pdp-i1761234923.html,82000,0.0,0,1200,No Brand,2026-05-06 10:51:08
Nhẫn nữ kim cương moissanite GRA 5.5mm chính hãng PHONG LUXURY.,2739365460,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Trang Sức Kim Cương,https://www.lazada.vn/products/pdp-i2739365460.html,900000,0.0,0,0,No Brand,2026-05-06 10:51:08
Nhẫn Kim Cương Giả Của Phụ Nữ Mạ Vàng Trắng Nhẫn Đính Hôn Âu Mỹ Vòng Xoắn Xoắn,2234249904,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Trang Sức Kim Cương,https://www.lazada.vn/products/pdp-i2234249904.html,74969,0.0,0,69,No Brand,2026-05-06 10:51:08
𝗡𝗵𝗮̂̃𝗻 nam kim cương nhân tạo siêu sáng và bền Kami N419,1941557080,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Trang Sức Kim Cương,https://www.lazada.vn/products/pdp-i1941557080.html,65550,0.0,0,85,No Brand,2026-05-06 10:51:08
Kim cương Moissanite màu Trắng 4.0 - 10.0 ly viên Tròn Hàng Mỹ (kèm Kiểm Định GRA),2686372087,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Trang Sức Kim Cương,https://www.lazada.vn/products/pdp-i2686372087.html,357000,0.0,0,15,No Brand,2026-05-06 10:51:08
"=high-quality-- Phiên Bản Cao GVC Vòng tay kim cương toàn phần màu xanh lam, hình hoa bướm, bầu trời sao, cỏ bốn lá lấp lánh mới của Jijia.",13364501736,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Trang Sức Kim Cương,https://www.lazada.vn/products/pdp-i13364501736.html,470778,0.0,0,0,No Brand,2026-05-06 10:51:08
Vòng cổ vàng 18k đích thực của phụ nữ mặt dây chuyền tròn kim cương đầy đủ của phụ nữ trang sức sang trọng cho quà tặng sinh nhật của bạn gái,2433850163,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Trang Sức Kim Cương,https://www.lazada.vn/products/pdp-i2433850163.html,119000,0.0,0,14,No Brand,2026-05-06 10:51:08
Nhẫn nam sợi carbon kim cương,243220696,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Trang Sức Kim Cương,https://www.lazada.vn/products/pdp-i243220696.html,200000,0.0,0,0,No Brand,2026-05-06 10:51:08
Dây chuyền liền mặt kim cương nhân tạo 6li – Ms33,3049607794,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Trang Sức Kim Cương,https://www.lazada.vn/products/pdp-i3049607794.html,950000,0.0,0,0,No Brand,2026-05-06 10:51:08
Nhẫn nữ bạc S925 Bạch kim Kim cương,243223770,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Trang Sức Kim Cương,https://www.lazada.vn/products/pdp-i243223770.html,340000,0.0,0,0,No Brand,2026-05-06 10:51:08
