title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
[FreeShipMax] Áo Bra Nữ 2 Dây Hoa Hồng Nổi Có Đệm Ngực Trend Mới 586,2199235640,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo hai dây,https://www.lazada.vn/products/pdp-i2199235640.html,39501,4.7,11,50,No Brand,2026-05-06 16:05:48
"Áo Corset Không Dây Kiểu Y2K Nữ, Màu Trắng, Mùa Hè, Kiểu Trễ Vai, Không Tay, Chất Liệu Polyester Co Giãn Cao, Ôm Sát Body.",2562450834,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo hai dây,https://www.lazada.vn/products/pdp-i2562450834.html,120000,5.0,24,26,No Brand,2026-05-06 16:05:48
Áo hai dây cotton nguyên chất kiểu mới cho nữ mặc trong mùa hè cỡ lớn màu đen và trắng vừa vặn mặc ngoài áo dệt kim đáy,3142194042,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo hai dây,https://www.lazada.vn/products/pdp-i3142194042.html,142324,5.0,2,0,狄嘉伦,2026-05-06 16:05:48
"Áo ba Lỗ, Hai Dây Nữ Khuy Cài Kèm Mút Ngực Croptop Kiểu Dáng Trẻ Trung (Freesize dưới 52Kg)",2798564722,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo hai dây,https://www.lazada.vn/products/pdp-i2798564722.html,67620,5.0,2,7,No Brand,2026-05-06 16:05:48
"Áo Corset Không Dây, Hai Dây Đeo Vai, Sọc Retro, Ôm Sát Body, Gợi Cảm Dành Cho Nữ, Chất Liệu Polyester Pha, Không Chứa Hóa Chất Gây Hại.",3332132382,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo hai dây,https://www.lazada.vn/products/pdp-i3332132382.html,346400,0.0,0,14,No Brand,2026-05-06 16:05:48
C18 Áo Bra Hai Dây KATHY BR Nhún Eo Có Mút Ngực Chất Cotton Có Dãn,2770639992,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo hai dây,https://www.lazada.vn/products/pdp-i2770639992.html,57230,5.0,6,28,Kathy Bra,2026-05-06 16:05:48
C17 Áo Bra Nhún Eo Cổ U Hai Dây KATHY BRA Có Đệm Mút Chất Cotton mát Co dãn Dày Dặn Siu Tôn Dáng Màu Basic Mix ĐồXinh,2770888521,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo hai dây,https://www.lazada.vn/products/pdp-i2770888521.html,62370,4.4,14,63,Kathy Bra,2026-05-06 16:05:48
Áo Cổ Vuông 2 Dây Viền Nhỏ Cotton - Tharo Clothing [AO00287],3175211000,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo hai dây,https://www.lazada.vn/products/pdp-i3175211000.html,65000,4.9,22,74,No Brand,2026-05-06 16:05:48
"Nữ Ice Lụa Dây Đeo Vai  Áo Hai Dây Rộng Rãi Mỏng Cộc Tay, Không Tay Áo Khoác Ngoài Mới Mùa Hè Áo Lót Mỏng Dây Đeo Vai Áo Ba Lỗ Dành Cho Nữ",2389576362,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo hai dây,https://www.lazada.vn/products/pdp-i2389576362.html,80840,4.9,107,844,No Brand,2026-05-06 16:05:48
Áo Hai Dây Dáng Ôm Hở Lưng Quyến Rũ Thời Trang Hàn Quốc Cho Nữ,2188639641,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo hai dây,https://www.lazada.vn/products/pdp-i2188639641.html,28710,4.6,165,714,No Brand,2026-05-06 16:05:48
KEYINGNG  Áo Ba Lỗ Hai Dây Mặc Trong 100% Cotton Nữ Mùa Hè Có Đệm Ngực Liền Một Màu Đen Phối Trong Màu Đen Đơn Giản,3120065015,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo hai dây,https://www.lazada.vn/products/pdp-i3120065015.html,75000,5.0,49,79,KEYINGNG,2026-05-06 16:05:48
Áo Hai Dây Dệt Kim Thời Trang Mùa Hè Cho Nữ,2042056523,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo hai dây,https://www.lazada.vn/products/pdp-i2042056523.html,18620,4.0,183,883,No Brand,2026-05-06 16:05:48
K203. Áo 2 dây ren hoa croptop sẵn đệm ôm dáng thiết kế lưng ren hoa,3065300758,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo hai dây,https://www.lazada.vn/products/pdp-i3065300758.html,95000,5.0,3,0,No Brand,2026-05-06 16:05:48
KEYINGNG   Áo Ba Lỗ Hai Vai Lụa Satin Áo Hai Dây Nữ Áo Hai Dây Mặc Trong Khí Chất Mẫu Ngắn Cổ Chữ V Ôm Dáng Mới Mùa Xuân Hè,13359470780,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo hai dây,https://www.lazada.vn/products/pdp-i13359470780.html,111000,5.0,6,8,KEYINGNG,2026-05-06 16:05:48
Bonnie Cathy Áo Hai Dây Mùa Hè Phối Bên Trong Mẫu Ngắn Màu Trơn Phong Cách Hàn Quốc Mẫu Mới Áo Hai Dây Nữ Ôm Sát Lưng Đẹp Ống Ngực Mặc Bên Ngoài,13326621545,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo hai dây,https://www.lazada.vn/products/pdp-i13326621545.html,77600,5.0,10,16,Bonnie Cathy,2026-05-06 16:05:48
