title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
IQAngel trẻ em ngắn tay cotton nguyên chất thoáng khí thoải mái cinnamooll babycinnamoroll cô gái dễ thương mùa hè Áo phông in hình,3086959531,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Áo bé gái,https://www.lazada.vn/products/pdp-i3086959531.html,44100,5.0,57,91,IQANGEL,2026-05-05 10:12:19
"áo thun gia đinh, áo trắng bé gái, bé trai áo gấu hello cute mới nhất size 5-90kg",2412509882,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Áo bé gái,https://www.lazada.vn/products/pdp-i2412509882.html,29700,4.9,1346,4600,No Brand,2026-05-05 10:12:19
áo ba lỗ cotton xược xuất hàn siêu mịn mát cho bé trai-bé gái(5-25kg),2348673865,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Áo bé gái,https://www.lazada.vn/products/pdp-i2348673865.html,44100,4.8,54,236,No Brand,2026-05-05 10:12:19
"Combo 5 áo thun ba lỗ lưới hàng xuất xịn mát mẻ bé trai , bé gái",3018794356,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Áo bé gái,https://www.lazada.vn/products/pdp-i3018794356.html,33000,5.0,4,22,No Brand,2026-05-05 10:12:19
Áo thun trẻ em IQAngel dễ thương mùa hè Áo tay ngắn thời trang vải cotton ngắn tay thường ngày kuromi,3087145128,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Áo bé gái,https://www.lazada.vn/products/pdp-i3087145128.html,44100,5.0,32,75,IQANGEL,2026-05-05 10:12:19
"áo lá học sinh lm046 áo bara cotton  co giãn tốt, thấm hút mồ hôi ,mát lạnh ,đệm may liền 25kg-55kg",2598307982,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Áo bé gái,https://www.lazada.vn/products/pdp-i2598307982.html,36575,5.0,137,906,No Brand,2026-05-05 10:12:19
(17-70kg) Áo sơ mi trắng học sinh tay ngắn cộc tay viền chân cổ xanh đồng phục học sinh bé trai bé gái tiểu học,2369011424,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Áo bé gái,https://www.lazada.vn/products/pdp-i2369011424.html,54000,5.0,331,1500,No Brand,2026-05-05 10:12:19
"Áo thun bé gái, áo bé gái phối nơ xinh xắn thun cotton 4 chiều mềm đẹp co giãn tốt cho bé 10-38kg",2761689632,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Áo bé gái,https://www.lazada.vn/products/pdp-i2761689632.html,59900,4.8,22,94,No Brand,2026-05-05 10:12:19
[HCM]áo thun thái bé trai gái  size 6-27kg  vải 100% cotton xược mịn mát,785702730,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Áo bé gái,https://www.lazada.vn/products/pdp-i785702730.html,16200,4.6,849,9300,No Brand,2026-05-05 10:12:19
Áo Thun Cotton Trẻ Em in Họa Tiết Kpop Demon Hunters Thường Ngày Tay Ngắn Dáng Rộng Mùa Hè Cho Bé Trai Và Bé Gái,3332789596,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Áo bé gái,https://www.lazada.vn/products/pdp-i3332789596.html,68000,5.0,2,138,No Brand,2026-05-05 10:12:19
