title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Bộ Đầm Công Chúa Phong Cách Mới Có Nơ Hình Bướm cho Bé Gái,13333069654,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Đầm bé gái,https://www.lazada.vn/products/pdp-i13333069654.html,124000,0.0,0,0,No Brand,2026-05-05 06:11:54
3-14Y Quần áo trẻ em phong cách Hàn Quốc Váy bé gái cô gái mới Váy tay bay màu trắng,2749019307,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Đầm bé gái,https://www.lazada.vn/products/pdp-i2749019307.html,158000,0.0,0,51,No Brand,2026-05-05 06:11:54
Váy Công Chúa nhiều tầng cho Bé Gái Cute Dễ Thương 10-35 kg,2117685944,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Đầm bé gái,https://www.lazada.vn/products/pdp-i2117685944.html,165000,0.0,0,44,No Brand,2026-05-05 06:11:54
Váy Bồng Tulle Trắng Cho Bé Gái Váy Ngắn Khiêu Vũ Váy Khiêu Vũ Ballet Váy Tập Luyện Váy Khiêu Vũ Váy Trẻ Em Váy Ngắn Cotton Mùa Hè,3253022424,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Đầm bé gái,https://www.lazada.vn/products/pdp-i3253022424.html,69350,0.0,0,164,No Brand,2026-05-05 06:11:54
Đầm Bé Gái 9-35KG Sọc Ngang Tay Ngắn Họa Tiết Dâu Tây Phong Cách Hàn Quốc,13330448322,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Đầm bé gái,https://www.lazada.vn/products/pdp-i13330448322.html,75050,0.0,0,13,No Brand,2026-05-05 06:11:54
Váy bé gái 15-55 catties Váy bé gái 10 tuổi 2023 phiên bản Hàn Quốc thời trang trẻ em mùa hè mới quần áo trẻ em,2747915821,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Đầm bé gái,https://www.lazada.vn/products/pdp-i2747915821.html,159000,0.0,0,70,No Brand,2026-05-05 06:11:54
Đầm bé gái sát nách dễ thương. Váy đầm bé gái cổ hải quân điệu đà. Váy 3 màu dễ thương cho bé gái mặc hè. Cotton co giãn thoáng mát - HG055,2238763541,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Đầm bé gái,https://www.lazada.vn/products/pdp-i2238763541.html,65000,0.0,0,999,No Brand,2026-05-05 06:11:54
Mqatz cô gái trang phục Halloween cho trẻ em công chúa Belle váy cosplay 3-10 Tuổi Ngủ vẻ đẹp bữa tiệc lễ hội công chúa trang phục smr053,2374126177,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Đầm bé gái,https://www.lazada.vn/products/pdp-i2374126177.html,118287,0.0,0,62,No Brand,2026-05-05 06:11:54
Váy Mùa Hè Cho Bé Gái Váy Hở Lưng Cho Bé Gái Váy Công Chúa Cho Bé Gái Váy Cho Bé Gái Mùa Xuân Thu Váy Cho Bé Gái,2830581736,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Đầm bé gái,https://www.lazada.vn/products/pdp-i2830581736.html,177660,0.0,0,14,No Brand,2026-05-05 06:11:54
"đầm công chúa bé gái , váy cho bé gái màu hồng từ 8-40kg ( mã 069 )",2951275079,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Đầm bé gái,https://www.lazada.vn/products/pdp-i2951275079.html,220000,0.0,0,0,No Brand,2026-05-05 06:11:54
"Đầm công chúa bé gái,váy công chúa hoa hồng đính ngọc cho bé yêu tặng kèm bờm D89",2394148904,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Đầm bé gái,https://www.lazada.vn/products/pdp-i2394148904.html,139000,0.0,0,154,No Brand,2026-05-05 06:11:54
Đầm Cho Bé Gái / Đầm cho bé / Đầm Công Chúa Cho Bé Cánh Tiên Hồng Cam,319028236,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Đầm bé gái,https://www.lazada.vn/products/pdp-i319028236.html,105000,0.0,0,316,No Brand,2026-05-05 06:11:54
Váy Kuromi cho bé gái Váy công chúa Hóa trang Kuromi Halloween cho bé,2890557158,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Đầm bé gái,https://www.lazada.vn/products/pdp-i2890557158.html,125000,0.0,0,12,No Brand,2026-05-05 06:11:54
2024 Cô Gái Quần đùi thời trang tay áo Elsa Váy công chúa em bé váy lưới ngọt ngào,2667818477,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Đầm bé gái,https://www.lazada.vn/products/pdp-i2667818477.html,150000,0.0,0,33,No Brand,2026-05-05 06:11:54
3-14Y Váy công chúa in họa tiết thời trang mùa hè cho bé gái trung bình và lớn,3068263375,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Đầm bé gái,https://www.lazada.vn/products/pdp-i3068263375.html,155000,0.0,0,8,No Brand,2026-05-05 06:11:54
Váy nhung 2 dây cho bé gái 10-30kg,2085231612,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Đầm bé gái,https://www.lazada.vn/products/pdp-i2085231612.html,108125,0.0,0,339,No Brand,2026-05-05 06:11:54
Đầm công chúa trẻ em - xám nơ,353760205,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Đầm bé gái,https://www.lazada.vn/products/pdp-i353760205.html,162000,0.0,0,44,No Brand,2026-05-05 06:11:54
"Đầm Công Chúa Bé Gái Màu Hồng Phấn Dễ Thương Phối Nơ – Váy Dự Tiệc, Sinh Nhật Cho Bé Từ 1-10 Tuổi",3068780346,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Đầm bé gái,https://www.lazada.vn/products/pdp-i3068780346.html,135000,0.0,0,5,No Brand,2026-05-05 06:11:54
Váy cho bé gái váy polo trẻ em kiểu phương tây Quần áo trẻ em váy bé gái size đại đầm ngắn tay nữ cho bé đến 12t,2299011240,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Đầm bé gái,https://www.lazada.vn/products/pdp-i2299011240.html,131000,0.0,0,74,No Brand,2026-05-05 06:11:54
Cô gái váy trẻ em váy cô gái Váy Váy Hàn Quốc cô gái thời trang công chúa váy trẻ em bộ hai,2751551231,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Đầm bé gái,https://www.lazada.vn/products/pdp-i2751551231.html,166000,0.0,0,111,No Brand,2026-05-05 06:11:54
Gấu lãnh đạo bé gái Ren Váy công chúa Mới Mùa Hè Thời Trang Lưới Váy cộc tay cho quần áo trẻ em 2-7 năm trẻ em quần áo dự tiệc,2714698163,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Đầm bé gái,https://www.lazada.vn/products/pdp-i2714698163.html,181000,0.0,0,33,No Brand,2026-05-05 06:11:54
15-55Kg bé gái đại học jk phù hợp với gió phù hợp với trẻ em trung và lớn váy mùa hè thắt nơ trẻ em Xingdailu thời trang,2747927779,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Đầm bé gái,https://www.lazada.vn/products/pdp-i2747927779.html,168000,0.0,0,9,No Brand,2026-05-05 06:11:54
Váy Công Chúa Unicorn In Hoa Văn Đồ Chơi Cho Bé Gái Vải Mesh Tulle Dành Cho Tiệc 3-8 Tuổi,3264081332,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Đầm bé gái,https://www.lazada.vn/products/pdp-i3264081332.html,196744,0.0,0,0,No Brand,2026-05-05 06:11:54
Đầm Bèo Tầng 3 Màu Cổ Trụ Cho Bé Gái,2842059504,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Đầm bé gái,https://www.lazada.vn/products/pdp-i2842059504.html,99000,0.0,0,8,No Brand,2026-05-05 06:11:54
"Váy đầm chất thô mềm mại thoải mái size đại cho bé gái10kg đến 36kg-đầm cho bé gái mùa hè 1 tuổi đến 5 tuổi siêu xinh-Đầm chân váy xòe rộng thoải mái tạo dáng đẹp,thấm hút mồ hôi tốt-Đầm cho bé gái thiết kế cổ sen đáng yêu",1835257534,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Đầm bé gái,https://www.lazada.vn/products/pdp-i1835257534.html,94000,0.0,0,240,No Brand,2026-05-05 06:11:54
Váy công chúa cánh bướm tiên siêu xinh cho bé gái,2013097822,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Đầm bé gái,https://www.lazada.vn/products/pdp-i2013097822.html,158400,0.0,0,14,No Brand,2026-05-05 06:11:54
Đầm body nơ xinh TẶNG Turban và vớ đồng bộ chất và màu siêu dịu mát cho bé yêu size từ sơ sinh đến 12kg,1375010621,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Đầm bé gái,https://www.lazada.vn/products/pdp-i1375010621.html,90825,0.0,0,25,No Brand,2026-05-05 06:11:54
"Váy Elsa Lấp Lánh Cao Cho Bé Gái Dễ Thương, Chất Mát Mẻ Kim Tuyến Đẹp 2022",2105475800,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Đầm bé gái,https://www.lazada.vn/products/pdp-i2105475800.html,199000,0.0,0,13,No Brand,2026-05-05 06:11:54
Váy bé gái 15-55kg Váy bé gái 10 tuổi mùa hè 2023 Váy trẻ em lớn mới Váy trẻ em mùa hè trắng,2748199077,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Đầm bé gái,https://www.lazada.vn/products/pdp-i2748199077.html,158000,0.0,0,17,No Brand,2026-05-05 06:11:54
3-14Y Váy bé gái váy mùa hè 2025 váy trẻ em mùa hè mới cao cấp phong cách Hàn Quốc thời trang cho bé,3068406024,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Đầm bé gái,https://www.lazada.vn/products/pdp-i3068406024.html,210000,0.0,0,0,No Brand,2026-05-05 06:11:54
Váy mùa hè cho bé gái 15-55 kg 2023 công chúa polo phong cách nước ngoài mới cho bé gái Váy mùa hè thời trang cho trẻ em,2766630205,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Đầm bé gái,https://www.lazada.vn/products/pdp-i2766630205.html,154000,0.0,0,16,No Brand,2026-05-05 06:11:54
MUSASI Mềm mại Váy tutu ballet cho bé gái Đầm sequin Dây đeo chéo Váy ballet cho trẻ em Chuyên nghiệp Áo dài tay Váy tiên nữ Ballerina Thể dục dụng cụ,13362919376,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Đầm bé gái,https://www.lazada.vn/products/pdp-i13362919376.html,185587,0.0,0,0,No Brand,2026-05-05 06:11:54
[HỎA TỐC] Váy công chúa Kuromi cho bé gái Halloween Váy Kuromi sinh nhật cho bé gái,3092168716,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Đầm bé gái,https://www.lazada.vn/products/pdp-i3092168716.html,125000,0.0,0,7,No Brand,2026-05-05 06:11:54
3-14Y Váy công chúa tay bồng cho bé gái mùa hè thời trang mới,3068316367,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Đầm bé gái,https://www.lazada.vn/products/pdp-i3068316367.html,160000,0.0,0,17,No Brand,2026-05-05 06:11:54
Váy bé gái phong cách thời trang mùa hè trẻ em váy hở lưng bé gái váy váy mùa hè mới váy công chúa lông tơ,2766371911,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Đầm bé gái,https://www.lazada.vn/products/pdp-i2766371911.html,165000,0.0,0,28,No Brand,2026-05-05 06:11:54
(3-18kg) Đầm Váy Lolita Bèo Tầng Cổ Ngọc NHÍM XÙ KIDS Cho Bé Gái 1 Tuổi Đến 4 Tuổi Chất Lụa V114,1524018529,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Đầm bé gái,https://www.lazada.vn/products/pdp-i1524018529.html,150000,0.0,0,20,No Brand,2026-05-05 06:11:54
15-55KG Bé Gái Cao Cấp Đầm Công Chúa Mùa Hè Ngọt Ngào Trẻ Em Váy Tutu Hàn Quốc Màu Kem Tay Phồng Đầm Pháp,2748076757,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Đầm bé gái,https://www.lazada.vn/products/pdp-i2748076757.html,169000,0.0,0,0,No Brand,2026-05-05 06:11:54
Đầm váy nơ xinh chất cotton siêu mềm mịn cực sang cho bé từ sơ sinh đến 14kg,2124584668,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Đầm bé gái,https://www.lazada.vn/products/pdp-i2124584668.html,85635,0.0,0,32,No Brand,2026-05-05 06:11:54
