title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
💥 Áo khoác da cá bé trai từ 23-35kg,1641070215,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé trai,Áo khoác bé trai,https://www.lazada.vn/products/pdp-i1641070215.html,89000,0.0,0,0,No Brand,2026-05-05 03:57:57
"Áo khoác Gió 2 lớp Lót Lông Cho Bé Trai, Bé Gái in hình Hi - Baby siêu đẹp, Vải gió chống nước, Lót Lông dày dặn",3251627822,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé trai,Áo khoác bé trai,https://www.lazada.vn/products/pdp-i3251627822.html,51930,0.0,0,23,No Brand,2026-05-05 03:57:57
"(18-52kg) Áo nỉ hoodie cho bé trai, áo khoác nỉ bé trai, trẻ em nam mẫu SER, áo thu đông bé trai từ 5-16 tuổi, chất nỉ bông dày dặn",3188986351,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé trai,Áo khoác bé trai,https://www.lazada.vn/products/pdp-i3188986351.html,89000,0.0,0,9,No Brand,2026-05-05 03:57:57
"Áo Khoác Nỉ, Áo Hoodie Khóa Vải Nỉ Bông Cotton Ấm Áp Mềm Mịn, Hình Trái Tim Love Art Nhỏ Xinh Dành Cho Bé",2864164690,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé trai,Áo khoác bé trai,https://www.lazada.vn/products/pdp-i2864164690.html,79596,0.0,0,136,No Brand,2026-05-05 03:57:57
"Áo Khoác Gió Trẻ Em 2 Lớp Thêu Ngựa, Vải Gió Nhăn Cao Cấp Chống Gió, Chống Nắng Form Chuẩn Siêu Đẹp",3300857156,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé trai,Áo khoác bé trai,https://www.lazada.vn/products/pdp-i3300857156.html,51600,0.0,0,0,No Brand,2026-05-05 03:57:57
"Áo khoác cho bé có mũ mẫu họa tiết dễ thương cho bé trai, bé gái từ sơ sinh đến 11 kg",246000648,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé trai,Áo khoác bé trai,https://www.lazada.vn/products/pdp-i246000648.html,40095,0.0,0,2800,No Brand,2026-05-05 03:57:57
"Áo khoác chống nắng hình Capybara cho bé trai bé gái BABYMALL, áo choàng chống nắng cho bé chống UV",3053056748,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé trai,Áo khoác bé trai,https://www.lazada.vn/products/pdp-i3053056748.html,102900,0.0,0,115,No Brand,2026-05-05 03:57:57
"3-14Y Áo khoác bóng chày trẻ em, mẫu mới xuân thu 2025, dáng rộng, thoải mái và đa năng cho cả bé trai và bé gái.",3266180549,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé trai,Áo khoác bé trai,https://www.lazada.vn/products/pdp-i3266180549.html,220000,0.0,0,0,No Brand,2026-05-05 03:57:57
"Áo khoác chất nỉ bông 14-48kg cho cả bé trai và bé gái mẫu DOLLZII . Áo khoác bé trai, Áo khoác bé gái, Áo Khoác giữ ấm - A08",3186313440,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé trai,Áo khoác bé trai,https://www.lazada.vn/products/pdp-i3186313440.html,125000,0.0,0,11,No Brand,2026-05-05 03:57:57
Áo khoác Parka có đệm thu đông mới dành cho bé trai 10-45kg mẫu NÚI   Áo khoác cotton lót lông cừu thời trang dành cho trẻ lớn,3211863580,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé trai,Áo khoác bé trai,https://www.lazada.vn/products/pdp-i3211863580.html,169000,0.0,0,0,No Brand,2026-05-05 03:57:57
[Hoàn tiền 6%] Áo khoác jean cho bé trai gái 8-45kg,937444954,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé trai,Áo khoác bé trai,https://www.lazada.vn/products/pdp-i937444954.html,75050,0.0,0,384,No Brand,2026-05-05 03:57:57
"ÁO KHOÁC CÓ NÓN Cho Bé Sơ Sinh HỌA TIẾT Chất Cotton có nhiều hình  vải mềm mại, không bị hầm bí",1260920975,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé trai,Áo khoác bé trai,https://www.lazada.vn/products/pdp-i1260920975.html,66000,0.0,0,386,No Brand,2026-05-05 03:57:57
