title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"Áo thun dài tay sọc ngang đen trắng, form rộng unisex, họa tiết mèo Kitty dễ thương",3254786259,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo form dài,https://www.lazada.vn/products/pdp-i3254786259.html,65000,0.0,0,34,No Brand,2026-05-03 16:42:46
"{HCM} Áo dài cách tân suôn rộng lập thể, mặc là đẹp- dáng nào cũng xinh AD048 - KHÁNH LINH STYLE",3292173870,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo form dài,https://www.lazada.vn/products/pdp-i3292173870.html,209000,0.0,0,350,No Brand,2026-05-03 16:42:46
Áo khoác nữ cadigan form dài,2008579807,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo form dài,https://www.lazada.vn/products/pdp-i2008579807.html,89000,0.0,0,25,No Brand,2026-05-03 16:42:46
Áo Sơ Mi Nam Lụa Thái Dài Tay Chất Chống Nhăn Xù Đẹp Form Ôm VNO60,3107018565,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo form dài,https://www.lazada.vn/products/pdp-i3107018565.html,79000,0.0,0,30,No Brand,2026-05-03 16:42:46
"Áo sweater trơn nam nữ form rộng, áo tay dài unisex nỉ bông dày mềm mịn",2053054432,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo form dài,https://www.lazada.vn/products/pdp-i2053054432.html,49000,0.0,0,24,No Brand,2026-05-03 16:42:46
"Áo Thun Nữ Gu Bigsize Tay Dài, Chất Thun Tăm - Freesize 45-85Kg,Áo Kiểu Thắt Nơ, Ống Loe Form Ôm Tôn Dáng MS566",3302853578,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo form dài,https://www.lazada.vn/products/pdp-i3302853578.html,99000,0.0,0,9,No Brand,2026-05-03 16:42:46
Áo kiểu trung niên nữ mẫu áo trung niên form rộng dài tay lịch sự trang nhã B9,2247510354,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo form dài,https://www.lazada.vn/products/pdp-i2247510354.html,141000,0.0,0,20,No Brand,2026-05-03 16:42:46
"Áo Polo Nam Trung Niên Dài Tay Cao Cấp , Vải Thun Mịn, Sọc Chìm Sang Trọng, Form Đứng Lịch Lãm (2612)",3134405624,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo form dài,https://www.lazada.vn/products/pdp-i3134405624.html,239900,0.0,0,6,No Brand,2026-05-03 16:42:46
"(ÁO LẺ)Áo dài nam cách tân form suông Minh Anh ADNa03–Thiết kế cổ đứng lịch lãm, tone màu trung tính",3310123067,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo form dài,https://www.lazada.vn/products/pdp-i3310123067.html,558600,0.0,0,0,No Brand,2026-05-03 16:42:46
Áo sơ mi nam công sở dài tay form rộng cao cấp đẹp vải LỤA trơn mát VNO13,276844073,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo form dài,https://www.lazada.vn/products/pdp-i276844073.html,79000,0.0,0,1200,No Brand,2026-05-03 16:42:46
Áo thun dài tay in chữ form rộng ❤𝙘𝙝𝙖̂́𝙩 𝙡𝙪̛𝙤̛̣𝙣𝙜 𝙘𝙖𝙤❤Áo phông dài tay Unisex mặc phối bên trong,1711853334,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo form dài,https://www.lazada.vn/products/pdp-i1711853334.html,69000,0.0,0,30,No Brand,2026-05-03 16:42:46
Áo Sweater Nam Nữ Form Trơn Đủ Màu Chất Liệu Nỉ Bông Mềm Tay Dài Siêu Đẹp,1396094476,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo form dài,https://www.lazada.vn/products/pdp-i1396094476.html,89000,0.0,0,1300,No Brand,2026-05-03 16:42:46
Áo sơ mi nam trung niên form rộng dài tay công sở vải KATE họa tiết VNO113,2383769183,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo form dài,https://www.lazada.vn/products/pdp-i2383769183.html,150000,0.0,0,102,No Brand,2026-05-03 16:42:46
Áo Thun Dài Tay Unisex Local Brand Cotton 2 Chiều Mềm Mịn Form Regular Nam Nữ Basic Thời Trang,3247524087,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo form dài,https://www.lazada.vn/products/pdp-i3247524087.html,119999,0.0,0,0,No Brand,2026-05-03 16:42:46
