title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"Áo khoác nỉ 4 túi form rộng thêu chữ nón to trùm đầu dây kéo cao ,tay bo chun xỏ ngón thời trang PTY68 STORE",3141856308,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Áo khoác,https://www.lazada.vn/products/pdp-i3141856308.html,168500,0.0,0,203,No Brand,2026-05-05 06:28:09
"Áo Khoác Gió Balen Chữ In 5D - Chất Liệu Vải Gió Cao Cấp 2 Lớp Dày Dặn Cản Gió, Chống Nước Form Dáng Bomber Trẻ Trυng Phù Hợp Nam Và Nữ Hottrend 2025",3207979479,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Áo khoác,https://www.lazada.vn/products/pdp-i3207979479.html,49000,0.0,0,36,No Brand,2026-05-05 06:28:09
FREE SHIP - Áo Khoác Nỉ Hoodie Nam Nữ In Cờ Mỹ HOT HIT Nón 2 Lớp Chống Nắng Giữ Ấm Tốt,3251538471,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Áo khoác,https://www.lazada.vn/products/pdp-i3251538471.html,49000,0.0,0,58,No Brand,2026-05-05 06:28:09
Áo Khoác Chống Nắng Nam Cổ Lọ Gối Áo 2 Lớp Chống UV In Authentic Kiểu Cổ Đơn Sắc Việt Nam,3107975227,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Áo khoác,https://www.lazada.vn/products/pdp-i3107975227.html,127710,0.0,0,179,No Brand,2026-05-05 06:28:09
Áo Khoác Gió nam Nữ D  S  Q  Đen Trơn Bo Gân-Áo Bomber Gió 2 Lớp Hàng Đẹp Màu Đen Thời Trnag Nam Chất Liệu Gió Menswer ÁO Khoác Mùa Đông,3208003989,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Áo khoác,https://www.lazada.vn/products/pdp-i3208003989.html,59900,0.0,0,9,No Brand,2026-05-05 06:28:09
"Áo Khoác Bomber Nam/Nữ Form Rộng Unisex – Phong Cách Hàn Quốc, 4 Màu Cực Trendy Camavinga",3189247890,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Áo khoác,https://www.lazada.vn/products/pdp-i3189247890.html,130368,0.0,0,18,No Brand,2026-05-05 06:28:09
Áo khoác hoodie zip nỉ mũ 2 lớp mẫu mới form rộng basic cho anh em lựa chọn.,2508240621,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Áo khoác,https://www.lazada.vn/products/pdp-i2508240621.html,59888,0.0,0,82,No Brand,2026-05-05 06:28:09
Áo khoác nữ form lửng chất gân tăm mát mịn/Phối nẹp khoá thời trang xinh xắn/ 2 túi trong,3183982395,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Áo khoác,https://www.lazada.vn/products/pdp-i3183982395.html,63700,0.0,0,30,No Brand,2026-05-05 06:28:09
"Áo Khoác Nỉ, Áo Hoodie Khóa Vải Nỉ Cotton Ấm Áp Mềm Mịn, Hình Trái Tim Love Art Nhỏ Xinh Dành Cho Bé",2891839024,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Áo khoác,https://www.lazada.vn/products/pdp-i2891839024.html,81969,0.0,0,425,No Brand,2026-05-05 06:28:09
Áo Khoác Dù Thái Lan Cán Cao Cấp Phong Cách,1778077805,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Áo khoác,https://www.lazada.vn/products/pdp-i1778077805.html,137200,0.0,0,1500,No Brand,2026-05-05 06:28:09
Áo chống nắng nữ - Áo chống nắng hot nhất 50k,2706039140,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Áo khoác,https://www.lazada.vn/products/pdp-i2706039140.html,50000,0.0,0,81,No Brand,2026-05-05 06:28:09
"Áo Khoác Hoodie PREFACE In Nổi Siêu HOT Cho Nữ, Chống Nắng Giữ Ấm Khi Gió Lạnh Về - Jacket, Women Top",969644825,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Áo khoác,https://www.lazada.vn/products/pdp-i969644825.html,49000,0.0,0,224,No Brand,2026-05-05 06:28:09
