title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Áo cardigan dệt kim Fro áo dài tay bảo vệ khỏi ánh mặt trời rỗng rộng mùa hè ngoại cỡ nữ,3095265711,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo len và áo cardigan,https://www.lazada.vn/products/pdp-i3095265711.html,122918,5.0,4,18,No Brand,2026-05-06 15:40:20
Áo Cardigan Nữ Dệt Kim Áo Len Mỏng Áo Khoác Ngắn Mùa Xuân Và Mùa Thu 2022 Áo Ngắn Nữ Mới,2096716596,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo len và áo cardigan,https://www.lazada.vn/products/pdp-i2096716596.html,179000,5.0,1,0,No Brand,2026-05-06 15:40:20
"Áo Khoác Châu Âu, Áo Len Nam Mùa Thu Mới 2021, Áo Len Cardigan Thường Ngày Và Linh Hoạt, Thời Trang INS Và Áo Nam Phổ Biến.",1617270571,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo len và áo cardigan,https://www.lazada.vn/products/pdp-i1617270571.html,180000,4.8,123,403,No Brand,2026-05-06 15:40:20
Ielgy phong cách Nhật Bản và Hàn Quốc giản dị áo Cardigan dệt kim ngắn nữ mùa thu mới màu xám khóa kéo đôi áo khoác áo len dệt cổ tròn hợp thời trang,2408621459,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo len và áo cardigan,https://www.lazada.vn/products/pdp-i2408621459.html,367221,5.0,2,11,IELGY,2026-05-06 15:40:20
Người trung niên và người cao tuổi mặc áo Cardigan Đan Dài Tay làm cơ sở và áo khoác ngoài được in như một lớp ngoài,2716219646,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo len và áo cardigan,https://www.lazada.vn/products/pdp-i2716219646.html,114000,4.8,5,20,No Brand,2026-05-06 15:40:20
Áo Len Cardigan Ren Ngắn Chống Nắng Mùa Hè Đa Năng Cho Váy Áo Khoác Ngoài Bằng Vải Polyester Phong Cách Ngọt Ngào Có Chi Tiết Hoa,3093740809,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo len và áo cardigan,https://www.lazada.vn/products/pdp-i3093740809.html,111860,5.0,8,864,No Brand,2026-05-06 15:40:20
Áo cardigan dệt kim Phụ Nữ phong cách Hàn Quốc Rắn Phụ Nữ bảo vệ khỏi ánh mặt trời Khăn Choàng Giản Dị cỡ lỡn dài tay Mỏng ngắn cho nữ Áo Khoác,2911690253,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo len và áo cardigan,https://www.lazada.vn/products/pdp-i2911690253.html,94968,4.5,68,204,No Brand,2026-05-06 15:40:20
"Áo Len Cardigan Dệt Kim Chất Lượng Cao Cho Nữ, Áo Khoác Mỏng Mùa Hè, Đi Kèm Váy, Kiểu Dáng Mới 2024, Khăn Choàng Nhỏ, Ren",3252903682,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo len và áo cardigan,https://www.lazada.vn/products/pdp-i3252903682.html,175780,0.0,0,46,No Brand,2026-05-06 15:40:20
Áo Len Cardigan Ren Khoét Rỗng Ngắn Mùa Hè Mỏng Cho Nữ Áo Khoác Ngoài Đa Năng Tay Ngắn Bằng Cotton 100% Áo Khoác Ngoài Thường Ngày,2906417090,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo len và áo cardigan,https://www.lazada.vn/products/pdp-i2906417090.html,94940,4.9,11,201,No Brand,2026-05-06 15:40:20
Áo len cardigan dáng dài nữ phong cách Hàn Quốc freesize dưới 65kg,2005362812,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo len và áo cardigan,https://www.lazada.vn/products/pdp-i2005362812.html,179000,4.8,58,211,No Brand,2026-05-06 15:40:20
Áo Len Cardigan Ren Lưới Dài Vừa Phải Mùa Hè Cho Nữ Áo Khoác Ngoài Rộng Rãi Dài qua Đầu Gối Chống Nắng Áo Khoác Ngoài Cổ Chữ V Màu Trơn Phong Cách Hàn Quốc,2866969977,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo len và áo cardigan,https://www.lazada.vn/products/pdp-i2866969977.html,99000,4.2,5,905,No Brand,2026-05-06 15:40:20
Molan Nhật Bản và Hàn Quốc Áo len nam phổ biến giản dị Áo Khoác Cardigan đơn giản,2506066499,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo len và áo cardigan,https://www.lazada.vn/products/pdp-i2506066499.html,196000,5.0,36,56,MOLAN,2026-05-06 15:40:20
Set cardigan nữ CARDINA chất liệu len cotton phối áo trong tăm lạnh thiết kế đơn giản nữ tính lịch sự 4SAA01,2819410313,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo len và áo cardigan,https://www.lazada.vn/products/pdp-i2819410313.html,214000,5.0,45,126,Cardina,2026-05-06 15:40:20
Áo khoác Cardigan Nữ Chất Len Cao Cấp,826698874,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo len và áo cardigan,https://www.lazada.vn/products/pdp-i826698874.html,159000,4.7,152,945,No Brand,2026-05-06 15:40:20
Áo Cardigan Dệt Kim Cổ Lọ Phong Cách Mới Xuân Thu 2023 Cho Nữ Áo Khoác Len Có Đáy Ngắn Cổ Chữ V Cho Nữ,2593101633,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo len và áo cardigan,https://www.lazada.vn/products/pdp-i2593101633.html,190100,0.0,0,0,No Brand,2026-05-06 15:40:20
IELGY mùa thu và mùa đông khoá kéo đôi Áo len cardigan ve áo Nam Thường Ngày,3218924798,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo len và áo cardigan,https://www.lazada.vn/products/pdp-i3218924798.html,375478,4.7,3,0,IELGY,2026-05-06 15:40:20
IELGY Áo len cardigan dệt kim mùa thu và mùa đông mỏng cho nam công sở,3218959220,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo len và áo cardigan,https://www.lazada.vn/products/pdp-i3218959220.html,375478,5.0,3,9,IELGY,2026-05-06 15:40:20
Áo Len Cardigan Dệt Kim Cổ Chữ V Tay Ngắn Ice Silk Phong Cách Hàn Quốc Dáng Ôm Mùa Hè 2022 Màu Trơn Chất Lượng Hàng Đầu Cho Nữ,1895289898,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo len và áo cardigan,https://www.lazada.vn/products/pdp-i1895289898.html,150000,4.5,46,219,No Brand,2026-05-06 15:40:20
Áo Khoác Len Cardigan cúc ngọc,317384858,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo len và áo cardigan,https://www.lazada.vn/products/pdp-i317384858.html,139000,4.7,306,1400,No Brand,2026-05-06 15:40:20
NALLCHEER  Áo Len Dệt Kim Nam Cardigan Áo Len Màu Trơn Công Sở Cổ Chữ V Mẫu Mới Năm Áo Khoác Nam Dễ Phối Xuân Thu,3316790272,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo len và áo cardigan,https://www.lazada.vn/products/pdp-i3316790272.html,204000,5.0,6,6,NALLCHEER,2026-05-06 15:40:20
Áo khoác len nhẹ dài tay dáng dài GLA140 Cuocsongvang,335504628,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo len và áo cardigan,https://www.lazada.vn/products/pdp-i335504628.html,292000,5.0,7,29,Cuocsongvang,2026-05-06 15:40:20
Áo Khoác Áo len cardigan nữ mùa xuân và mùa thu nữ 2023 phiên bản Hàn Quốc mới Áo dệt kim cổ chữ V rộng và lười,2493148585,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo len và áo cardigan,https://www.lazada.vn/products/pdp-i2493148585.html,99808,4.6,7,19,No Brand,2026-05-06 15:40:20
LOMOGI Áo Len Cardigan Áo Len Nữ Ngắn Mùa Xuân Và Mùa Thu 2021 Áo Len Dệt Kim Dáng Rộng Thường Ngày Mới Áo Khoác Nhỏ Trang Phục Của Mẹ,1562985643,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo len và áo cardigan,https://www.lazada.vn/products/pdp-i1562985643.html,269337,0.0,0,0,LOMOGI,2026-05-06 15:40:20
Áo Len Cardigan Ngắn Thời Trang Cho Nữ Áo Khoác Ngoài Ren Đa Năng Phong Cách Hàn Quốc Mùa Xuân Hè Áo Khoác Ngoài Thường Ngày Bằng Cotton 100%,1502927307,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo len và áo cardigan,https://www.lazada.vn/products/pdp-i1502927307.html,51700,4.9,67,441,No Brand,2026-05-06 15:40:20
Áo Len Cardigan Dệt Kim Dài Tay Mỏng Phong Cách Bohemian Cho Nữ Mùa Hè Có Nơ Bướm Áo Khoác Ngoài Chống Nắng Kiểu Dáng Cổ Chữ V,3099825309,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo len và áo cardigan,https://www.lazada.vn/products/pdp-i3099825309.html,191760,5.0,5,277,No Brand,2026-05-06 15:40:20
Áo khoác len khoác cardigan nữ vải mỏng cổ tim viền màu đen trắng nhiều màu gài nút phong cách Hàn Quốc thanh lịch,2702990812,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo len và áo cardigan,https://www.lazada.vn/products/pdp-i2702990812.html,150000,5.0,3,7,No Brand,2026-05-06 15:40:20
LIVE GREAT | Áo len nam Áo len cardigan trung niên và cao tuổi áo len áo len dệt kim cổ chữ V kẻ sọc,2880394804,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo len và áo cardigan,https://www.lazada.vn/products/pdp-i2880394804.html,309000,0.0,0,0,LIVE GREAT,2026-05-06 15:40:20
áo khoác len cardigan nữ - QUẢNG CHÂU CAO CẤP,1524162309,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo len và áo cardigan,https://www.lazada.vn/products/pdp-i1524162309.html,165000,4.8,8,36,No Brand,2026-05-06 15:40:20
Áo cardigan len tăm cao cấp mùa hè C205,2909050608,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo len và áo cardigan,https://www.lazada.vn/products/pdp-i2909050608.html,98000,0.0,0,0,No Brand,2026-05-06 15:40:20
"(DEAL mở bán) Áo khoác cardigan dệt kim 3 sọc, Áo khoác len dệt kim ba màu girl phố kèm ảnh thật",3257190282,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo len và áo cardigan,https://www.lazada.vn/products/pdp-i3257190282.html,380000,0.0,0,0,No Brand,2026-05-06 15:40:20
Áo Len Cardigan Dệt Kim Có Mũ Trùm Đầu Hai Khóa Kéo Cho Nữ Mùa Xuân Thu Thường Ngày Rộng Rãi Áo Khoác Ngoài Bằng Lông Cừu,3198704782,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo len và áo cardigan,https://www.lazada.vn/products/pdp-i3198704782.html,228000,0.0,0,0,No Brand,2026-05-06 15:40:20
Áo Cardigan Len Ngắn Có Mũ và Hai Dây Kéo,13372000490,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo len và áo cardigan,https://www.lazada.vn/products/pdp-i13372000490.html,54600,5.0,1,26,No Brand,2026-05-06 15:40:20
Áo Len Cardigan Dệt Kim Tay Cánh Dơi Rộng Rãi Phong Cách Cổ Điển Xuân Hè Áo Khoác Chống Nắng Áo Khoác Len Mềm Mại Áo Khoác Ngoài,2665272740,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo len và áo cardigan,https://www.lazada.vn/products/pdp-i2665272740.html,158000,3.7,3,95,No Brand,2026-05-06 15:40:20
Áo cardigan nữ CARDINA chất len lông thỏ cổ tròn phối họa tiết dọc thân trẻ trυng 5DGN02,3171073977,lazada,Thời trang & Phụ kiện Nữ,Trang phục Nữ,Áo len và áo cardigan,https://www.lazada.vn/products/pdp-i3171073977.html,324000,4.9,12,28,Cardina,2026-05-06 15:40:20
