title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"Áo mưa vui nhộn cho trẻ em từ 2-7 tuổi, áo mưa chống gió có hình dạng động vật vui nhộn và nhiều họa tiết",3029054691,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé trai,Áo mưa bé trai,https://www.lazada.vn/products/pdp-i3029054691.html,51260,0.0,0,141,No Brand,2026-05-04 21:12:42
"Áo mưa BỘ cho bé nhựa dày dặn, áo mưa cho bé nhựa chống thấm tốt, mặc kín, có size cho bé 2-8 tuổi",1916396220,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé trai,Áo mưa bé trai,https://www.lazada.vn/products/pdp-i1916396220.html,77000,0.0,0,3800,No Brand,2026-05-04 21:12:42
Áo Mưa Bộ Trẻ Em Sơn Thủy  Có Lưng Che Cặp bộ áo mưa cho bé dễ thương baoho247,13361851212,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé trai,Áo mưa bé trai,https://www.lazada.vn/products/pdp-i13361851212.html,150000,0.0,0,0,No Brand,2026-05-04 21:12:42
Áo Mưa Trẻ Em Vải Dù Bít 2 Bên từ 6 đến 11 tuổi-Hàng cao cấp,2648227229,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé trai,Áo mưa bé trai,https://www.lazada.vn/products/pdp-i2648227229.html,56225,5.0,27,85,No Brand,2026-05-04 21:12:42
"Áo mưa cho bé - Áo mưa trẻ em 4-13 tuổi cao cấp có tấm chắn đeo được balo gọn gàng, có phản quang phía sau",3134908611,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé trai,Áo mưa bé trai,https://www.lazada.vn/products/pdp-i3134908611.html,95500,5.0,5,15,No Brand,2026-05-04 21:12:42
Seastina  Áo mưa nén áo mưa dùng một lần Áo Poncho du lịch phổ thông dành cho người lớn và trẻ em Unisex Áo Mưa di động bóng,3169131127,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé trai,Áo mưa bé trai,https://www.lazada.vn/products/pdp-i3169131127.html,11000,5.0,1,14,SeasTina,2026-05-04 21:12:42
Bộ Quần Áo Mưa  Cho Bé Size 2 Đến 8 Tuổi,265792124,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé trai,Áo mưa bé trai,https://www.lazada.vn/products/pdp-i265792124.html,55000,4.8,178,897,No Brand,2026-05-04 21:12:42
Áo Mưa Cho Bé Nhỏ Trẻ Em KOJMAC Raicoat Kids ( Tặng Túi Đựng Bộ Quần Áo Cao Cấp smally 2 3 4 5 6 7 8 10 11 12 tuổi đẹp ),2102928063,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé trai,Áo mưa bé trai,https://www.lazada.vn/products/pdp-i2102928063.html,156750,4.9,97,374,KOJMAC,2026-05-04 21:12:42
"Áo mưa TUỔI TEEN chính hãng Sơn Thủy, áo mưa choàng cho trẻ em 1m4-1m52, áo mưa trẻ em 12-16 tuổi baoho247",3307677983,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé trai,Áo mưa bé trai,https://www.lazada.vn/products/pdp-i3307677983.html,118000,0.0,0,0,No Brand,2026-05-04 21:12:42
"( CÁNH RƠI TRONG NỬA TRƯỚC) Sơn Thuỷ áo mưa trong suốt nửa trước, tiện lợi quan sát đồng hồ, tốc độ, điện thoại, chở trẻ em phía trước, siêu rộng",13314666205,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé trai,Áo mưa bé trai,https://www.lazada.vn/products/pdp-i13314666205.html,230000,0.0,0,0,No Brand,2026-05-04 21:12:42
"Áo mưa cho bé, áo mưa trẻ em, áo mưa choàng cao cấp cho bé kèm kính chắn có ngăn đeo cặp tiện lợi",2502323104,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé trai,Áo mưa bé trai,https://www.lazada.vn/products/pdp-i2502323104.html,179000,5.0,5,10,No Brand,2026-05-04 21:12:42
