title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"Áo ngực Triumph D 151 HP VV Không Gọng, Mỏng Nhẹ, Không Đệm Mút (Quả Ngực Nhọn)",2141945007,lazada,Thời trang & Phụ kiện Nữ,Đồ ngủ và nội y,Áo ngực,https://www.lazada.vn/products/pdp-i2141945007.html,323250,4.9,553,2200,Triumph,2026-05-06 09:58:41
Áo Lót Triumph Maximizer 280 WHU Có Gọng Mút Nâng,2514074392,lazada,Thời trang & Phụ kiện Nữ,Đồ ngủ và nội y,Áo ngực,https://www.lazada.vn/products/pdp-i2514074392.html,558750,4.9,211,865,Triumph,2026-05-06 09:58:41
"Áo lót ren nâng ngực đẹp mút dày 3,5cm (hàng bán chạy tại shop) [Ảnh .t.h.ậ.t. [Chính hãng^ UYÊN VŨ SHOP ^",1415800606,lazada,Thời trang & Phụ kiện Nữ,Đồ ngủ và nội y,Áo ngực,https://www.lazada.vn/products/pdp-i1415800606.html,37345,4.9,1068,5500,No Brand,2026-05-06 09:58:41
"Áo Ngực Cotton Không Gọng Nâng Ngực, Áo Lót Học Sinh Mút Mỏng Mềm Mại Thoáng Mát Hàng Loại 1 AL490",3199755983,lazada,Thời trang & Phụ kiện Nữ,Đồ ngủ và nội y,Áo ngực,https://www.lazada.vn/products/pdp-i3199755983.html,32870,4.8,28,263,No Brand,2026-05-06 09:58:41
Áo ngực su đúc bàn tay không gọng nâng ngực họa tiết lá xinh xắn DORIS - A01,2420097605,lazada,Thời trang & Phụ kiện Nữ,Đồ ngủ và nội y,Áo ngực,https://www.lazada.vn/products/pdp-i2420097605.html,75000,4.9,1424,4500,Doris,2026-05-06 09:58:41
Áo Lót Trơn Mút Mỏng 1cm form đẹp MS866 [Siêu Sale [Ảnh .t.h.ậ.t. [Chính hãng^ UYÊN VŨ SHOP ^,1415814513,lazada,Thời trang & Phụ kiện Nữ,Đồ ngủ và nội y,Áo ngực,https://www.lazada.vn/products/pdp-i1415814513.html,35659,4.9,1009,6900,No Brand,2026-05-06 09:58:41
"Set 3 Áo Lót Ngực 💥 HÀNG CAO CẤP 💥 Áo Lót Su Đúc Đệm Bàn Tay 3,5p, Siêu Nâng Đẩy, Tạo Rãnh, Không Gọng, Chống Rách",3121887861,lazada,Thời trang & Phụ kiện Nữ,Đồ ngủ và nội y,Áo ngực,https://www.lazada.vn/products/pdp-i3121887861.html,39000,4.5,4,13,No Brand,2026-05-06 09:58:41
Áo Ngực áo lót cài trước mút mỏng Thông hơi MS726 [Siêu Sale [Ảnh .t.h.ậ.t.^ UYÊN VŨ SHOP ^,1415805530,lazada,Thời trang & Phụ kiện Nữ,Đồ ngủ và nội y,Áo ngực,https://www.lazada.vn/products/pdp-i1415805530.html,53350,4.9,705,4000,No Brand,2026-05-06 09:58:41
Áo ngực cài trước đệm lót mỏng nâng ngực 2.5cm Nữ Bra Nhung Tua Rua 1501,2064798884,lazada,Thời trang & Phụ kiện Nữ,Đồ ngủ và nội y,Áo ngực,https://www.lazada.vn/products/pdp-i2064798884.html,62370,5.0,682,3200,No Brand,2026-05-06 09:58:41
Áo lót không gọng mỏng nhẹ 5555 form nhỏ,2909870816,lazada,Thời trang & Phụ kiện Nữ,Đồ ngủ và nội y,Áo ngực,https://www.lazada.vn/products/pdp-i2909870816.html,28710,4.8,104,622,No Brand,2026-05-06 09:58:41
