title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"Áo polo bé trai , Áo thun cộc tay có cổ cho bé chất cotton size 20 - 65kg - Áo POLO TEDDY 3",2364996649,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé trai,Áo thun bé trai,https://www.lazada.vn/products/pdp-i2364996649.html,99000,4.6,66,215,No Brand,2026-05-04 23:52:00
Áo Polo Cờ Đỏ Sao Vàng Việt Nam cho bé trai bé gái BABYMALL áo chất cotton co dãn thấm hút mồ hôi,3121356114,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé trai,Áo thun bé trai,https://www.lazada.vn/products/pdp-i3121356114.html,88900,5.0,2,19,No Brand,2026-05-04 23:52:00
[Hoàn tiền 6%] Combo 5 áo ba lỗ chất thun cotton borip co giãn thấm hút tốt cho bé trai/gái 8-22kg,2228259381,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé trai,Áo thun bé trai,https://www.lazada.vn/products/pdp-i2228259381.html,84550,5.0,3,22,No Brand,2026-05-04 23:52:00
Áo thun Lá cờ đỏ sao vàng em bé Việt Nam tay ngắn bé trai bé gái 9-28kg BERNIE tổng hợp nhiều mẫu,3165141282,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé trai,Áo thun bé trai,https://www.lazada.vn/products/pdp-i3165141282.html,97020,5.0,29,71,BERNIE,2026-05-04 23:52:00
HOÀN TIỀN 20% - Áo bé trai cộc tay STAR áo thun cho bé chất cotton size 8-65Kg,2187468667,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé trai,Áo thun bé trai,https://www.lazada.vn/products/pdp-i2187468667.html,69000,4.8,517,1700,No Brand,2026-05-04 23:52:00
Áo Thun Cotton in Họa Tiết Mùa Hè Cho Bé Trai Tay Ngắn Dáng Rộng Thoải Mái Thoáng Khí Vải Cotton Nguyên Chất,3134180529,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé trai,Áo thun bé trai,https://www.lazada.vn/products/pdp-i3134180529.html,49820,5.0,5,305,No Brand,2026-05-04 23:52:00
Áo thun ba lỗ sát nách chất cotton size đại 10-50kg cho bé trai/gái mặc mát mùa hè,2239264532,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé trai,Áo thun bé trai,https://www.lazada.vn/products/pdp-i2239264532.html,25085,4.9,225,942,No Brand,2026-05-04 23:52:00
COMBO 5 Áo phông trắng tay ngắn chất mát cho bé gái / trai (7-26kg),393982463,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé trai,Áo thun bé trai,https://www.lazada.vn/products/pdp-i393982463.html,134368,4.9,242,851,No Brand,2026-05-04 23:52:00
"Áo thun trẻ em labubu cho bé trai bé gái,từ 6kg-30kg.ALBB08",2832685609,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé trai,Áo thun bé trai,https://www.lazada.vn/products/pdp-i2832685609.html,28500,4.9,79,324,No Brand,2026-05-04 23:52:00
Áo thun polo cổ bẻ tay ngắn bé trai  thêu ngựa kiếm (từ 14 kg đến 42kg),2090239719,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé trai,Áo thun bé trai,https://www.lazada.vn/products/pdp-i2090239719.html,66000,5.0,9,54,No Brand,2026-05-04 23:52:00
[HCM]combo 5 áo thun cotton mịn mát cho bé gái bé trai,282354782,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé trai,Áo thun bé trai,https://www.lazada.vn/products/pdp-i282354782.html,71100,4.7,97,424,No Brand,2026-05-04 23:52:00
"Áo phông cổ tròn cộc tay, thêu ngựa bay cho bé trai bé gái.Chất liệu cotton lạnh siêu mềm",2565247532,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé trai,Áo thun bé trai,https://www.lazada.vn/products/pdp-i2565247532.html,84000,5.0,4,18,No Brand,2026-05-04 23:52:00
Áo thun cổ bẻ bé trai in gấu(từ 14kg-42kg),2476493835,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé trai,Áo thun bé trai,https://www.lazada.vn/products/pdp-i2476493835.html,89000,5.0,39,120,No Brand,2026-05-04 23:52:00
LANBAO áo thun bé trai size đại Quần áo trẻ em bé trai áo thun tay ngắn Big Boy nửa tay áo thời trang trẻ em hàng đầu Hàn Quốc áo thun bé trai áo thun bé trai 14 tuổi,1953179453,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé trai,Áo thun bé trai,https://www.lazada.vn/products/pdp-i1953179453.html,88811,4.4,62,341,No Brand,2026-05-04 23:52:00
