title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
[20H 4.5-2H 5.5-MUA 3 GIẢM 30%] adidas Gym & Training & Phong cách sống Ba Lô Trẻ em Hồng H44525,3069202445,lazada,Thời trang & Phụ kiện Trẻ Em,Túi Trẻ Em,Ba Lô Trẻ Em,https://www.lazada.vn/products/pdp-i3069202445.html,450000,0.0,0,21,No Brand,2026-05-05 03:50:44
Balo Trẻ Em Mèo Kitty Dễ Thương Cho Bé Gái Đi Chơi Tết,2125787677,lazada,Thời trang & Phụ kiện Trẻ Em,Túi Trẻ Em,Ba Lô Trẻ Em,https://www.lazada.vn/products/pdp-i2125787677.html,59000,0.0,0,117,No Brand,2026-05-05 03:50:44
"Balo Học Sinh Cấp 1, Cấp 2 Dễ Thương Xinh Xắn Cho Bé Gái Tặng Kèm Gấu Bông Hình Con Thỏ Và Phụ Kiện",2798835290,lazada,Thời trang & Phụ kiện Trẻ Em,Túi Trẻ Em,Ba Lô Trẻ Em,https://www.lazada.vn/products/pdp-i2798835290.html,233800,0.0,0,17,No Brand,2026-05-05 03:50:44
MUSASI Hello Kitty Ba lô Sanrio Hoạt hình Cinnamoroll Cặp sách trẻ em Dễ thương Sức chứa lớn Túi sách,13362576728,lazada,Thời trang & Phụ kiện Trẻ Em,Túi Trẻ Em,Ba Lô Trẻ Em,https://www.lazada.vn/products/pdp-i13362576728.html,64438,0.0,0,7,No Brand,2026-05-05 03:50:44
Phong Cách Mới 1-3-6 Lớp Kuromi Trường Tiểu Học Túi Nam Nữ Nhẹ Giảm Gánh Nặng Trẻ Em Ba Lô,2726043929,lazada,Thời trang & Phụ kiện Trẻ Em,Túi Trẻ Em,Ba Lô Trẻ Em,https://www.lazada.vn/products/pdp-i2726043929.html,225000,0.0,0,29,No Brand,2026-05-05 03:50:44
Ba lô đi học cho bé lớp 3- lớp 6 chống gù đệm vai tặng kèm móc khóa sticker 118,2663319301,lazada,Thời trang & Phụ kiện Trẻ Em,Túi Trẻ Em,Ba Lô Trẻ Em,https://www.lazada.vn/products/pdp-i2663319301.html,210000,0.0,0,1300,No Brand,2026-05-05 03:50:44
"Balo chống gù nam nữ cấp 1, ba lô cặp chống gù học sinh tiểu học lớp 1 đến lớp 5 nhiều mẫu bé trai gái",2335539913,lazada,Thời trang & Phụ kiện Trẻ Em,Túi Trẻ Em,Ba Lô Trẻ Em,https://www.lazada.vn/products/pdp-i2335539913.html,277440,0.0,0,178,No Brand,2026-05-05 03:50:44
"Balo học sinh chống nước, chống gù hàng cao cấp có size cho cấp 1 đến cấp 3 hàng đẹp bền",2259239394,lazada,Thời trang & Phụ kiện Trẻ Em,Túi Trẻ Em,Ba Lô Trẻ Em,https://www.lazada.vn/products/pdp-i2259239394.html,152640,0.0,0,16,No Brand,2026-05-05 03:50:44
JIFANPAUL | Balo Học Sinh Trẻ Em,3197741527,lazada,Thời trang & Phụ kiện Trẻ Em,Túi Trẻ Em,Ba Lô Trẻ Em,https://www.lazada.vn/products/pdp-i3197741527.html,294000,0.0,0,31,No Brand,2026-05-05 03:50:44
JIFANPAUL | Balo Đi Học Chống Nước Mới Siêu Nhẹ,3196123763,lazada,Thời trang & Phụ kiện Trẻ Em,Túi Trẻ Em,Ba Lô Trẻ Em,https://www.lazada.vn/products/pdp-i3196123763.html,272000,0.0,0,0,No Brand,2026-05-05 03:50:44
Balo Trẻ Em Dung Lượng Lớn,13363538964,lazada,Thời trang & Phụ kiện Trẻ Em,Túi Trẻ Em,Ba Lô Trẻ Em,https://www.lazada.vn/products/pdp-i13363538964.html,599000,0.0,0,264,No Brand,2026-05-05 03:50:44
"Ba lô đeo vai đi học cho bé mẫu giáo, tiểu học, in hoạ tiết capybara đáng yêu",3195092760,lazada,Thời trang & Phụ kiện Trẻ Em,Túi Trẻ Em,Ba Lô Trẻ Em,https://www.lazada.vn/products/pdp-i3195092760.html,95000,0.0,0,7,No Brand,2026-05-05 03:50:44
"Balo Chống Gù Cho Bé Trai Gái Siêu Nhẹ Chống Nước, Ba lô cấp 1, Cặp Sách Học Sinh Tiểu Học, Tặng Kèm Thú Bông Và Sticker",2651998454,lazada,Thời trang & Phụ kiện Trẻ Em,Túi Trẻ Em,Ba Lô Trẻ Em,https://www.lazada.vn/products/pdp-i2651998454.html,208000,0.0,0,633,No Brand,2026-05-05 03:50:44
Paulweekend phim hoạt hình kuromi Balo trẻ em dễ thương Ba Lô Trường Mẫu Giáo sinh viên Cặp học sinh,3057576117,lazada,Thời trang & Phụ kiện Trẻ Em,Túi Trẻ Em,Ba Lô Trẻ Em,https://www.lazada.vn/products/pdp-i3057576117.html,102000,0.0,0,90,No Brand,2026-05-05 03:50:44
5 Túi Trẻ Em Mickey Dễ Thương Hoạt Hình Có Thể Tháo Rời Búp Bê Sang Trọng Cặp Sách Nhỏ Ba Lô Trẻ Em Nam Và Nữ,13334083783,lazada,Thời trang & Phụ kiện Trẻ Em,Túi Trẻ Em,Ba Lô Trẻ Em,https://www.lazada.vn/products/pdp-i13334083783.html,156000,0.0,0,8,No Brand,2026-05-05 03:50:44
"Ba Lô Nhồi Bông Người Nhện Cho Trẻ Em, Ba Lô Mini Unisex, Cặp Sách Mẫu Giáo, Chủ Đề Phim Hoạt Hình",3314076916,lazada,Thời trang & Phụ kiện Trẻ Em,Túi Trẻ Em,Ba Lô Trẻ Em,https://www.lazada.vn/products/pdp-i3314076916.html,164050,0.0,0,12,No Brand,2026-05-05 03:50:44
ELACCENT ⚡cặp học sinh ba lô học sinh ba lô cho bé gái cặp sách cho bé gái Ba Lô Trẻ Em Dài Ba Lô Hình Kỳ Lân Mới Túi Đi Học Búp Bê Vải Nhung Lông Hoạt Hình Mẫu Giáo Nhẹ,2247675020,lazada,Thời trang & Phụ kiện Trẻ Em,Túi Trẻ Em,Ba Lô Trẻ Em,https://www.lazada.vn/products/pdp-i2247675020.html,135240,0.0,0,283,No Brand,2026-05-05 03:50:44
