title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Bông tai vàng 18k chính hãng nữ trang sức gạch tròn quà sinh nhật xa hoa của phụ nữ,2224004922,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Bông Tai Thời Trang,https://www.lazada.vn/products/pdp-i2224004922.html,89000,0.0,0,3100,No Brand,2026-05-06 16:37:34
Đôi Bông Tai Nữ Đẹp 18K Mạ Vàng Đính Đá Moissanite - Đeo Không Phai - Lokalo - Mang Y Vàng Thậ.t - Dễ Phối Thời Trang - Hàng Xuất Khẩu - Bông Tai Xuping 1025522u34,1882221963,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Bông Tai Thời Trang,https://www.lazada.vn/products/pdp-i1882221963.html,64000,0.0,0,30,No Brand,2026-05-06 16:37:34
"Bông tai sang chảnh đi đám cưới - phụ kiện trang sức bông tai, KB973.45951 bong tai dài đính đá, bong tai nữ, bông tai, bong tai nữ kiểu sang chảnh, bông tai dài, bông tai nữ dài, BSTKTB - [NaLa Shop]",3223409617,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Bông Tai Thời Trang,https://www.lazada.vn/products/pdp-i3223409617.html,75000,0.0,0,0,No Brand,2026-05-06 16:37:34
Đôi bông tai nữ kim tài châu mạ vàng 18k Lokalo edit3.4.23 đeo dễ thương xinh đẹp,1989994332,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Bông Tai Thời Trang,https://www.lazada.vn/products/pdp-i1989994332.html,53350,4.8,209,1200,No Brand,2026-05-06 16:37:34
HENLI Cá tính Ngọt ngào Tiệc tùng Nữ Thiết kế thời trang Hạt tròn Bông tai phong cách Hàn Quốc Bông tai nữ Bông tai dạng núm Khóa Tai tráng men,2280893231,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Bông Tai Thời Trang,https://www.lazada.vn/products/pdp-i2280893231.html,56000,4.8,29,116,No Brand,2026-05-06 16:37:34
Đôi Bông Tai Nữ Đẹp 18K Mạ Vàng Đính Đá Moissanite - Lokalo - Mang Y Vàng Thậ.t - Dễ Phối Thời Trang - Hàng Xuất Khẩu - Bông Tai Xuping 26522u50,1883832475,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Bông Tai Thời Trang,https://www.lazada.vn/products/pdp-i1883832475.html,69300,4.9,14,54,No Brand,2026-05-06 16:37:34
PCWFKEF Hot Sale 1 cặp Sterling nhỏ Rose Flower Vòng Hoop Bông tai AAA Zircon cho phụ nữ nữ quyến rũ tham gia đám cưới đồ trang sức,3094322038,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Bông Tai Thời Trang,https://www.lazada.vn/products/pdp-i3094322038.html,14357,4.6,5,48,PCWFKEF,2026-05-06 16:37:34
"Bông tai đính đá đi làm UU101.45748 - đôi bông tai nữ, phụ kiện trang sức bông tai, bông tai thời trang, bông tai đi tiệc, bông tai dài dự tiệc, hoa tai tua rua dài, hoa tay nữ đẹp, BSTKL - [NaLa Shop]",3064064567,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Bông Tai Thời Trang,https://www.lazada.vn/products/pdp-i3064064567.html,75048,4.6,18,76,No Brand,2026-05-06 16:37:34
Huitan Màu Vàng Hoa U Hoop Bông Tai Nữ Cao Cấp Cưới Lấp Lánh Đính Đá Cubic Zirconia Hợp Thời Trang Hình Học Trang Sức Thời Trang,2622872526,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Bông Tai Thời Trang,https://www.lazada.vn/products/pdp-i2622872526.html,56250,5.0,112,207,No Brand,2026-05-06 16:37:34
Đôi Bông Tai Nữ Đẹp 18K Hình Bướm Xinh Mạ Vàng Đính Đá Moissanite - Bông Tai Kiểu Dài - Lokalo - Mang Y Vàng Thậ.t - Dễ Phối Thời Trang - Hàng Xuất Khẩu - Bông Tai Xuping 326522u50,1883809496,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Bông Tai Thời Trang,https://www.lazada.vn/products/pdp-i1883809496.html,86240,5.0,3,37,No Brand,2026-05-06 16:37:34
Bông Tai Nữ Titan Xi Mã Vàng Hình Bông Hoa Đính Đá Trăng Lấp Lánh Khuyên Tai Nữ Thời Trang Sức B22V37 | Berry Jewelry,2649069395,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Bông Tai Thời Trang,https://www.lazada.vn/products/pdp-i2649069395.html,56640,5.0,19,62,The Voem Korea,2026-05-06 16:37:34
