title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Trẻ em thời trang đàn hồi màu trơn Cà Vạt cho đồng phục học sinh và mặc giản dị,13380936921,lazada,Thời Trang & Phụ Kiện Nam,Phụ Kiện Nam,Cà Vạt,https://www.lazada.vn/products/pdp-i13380936921.html,3000,0.0,0,0,YONUO,2026-05-01 02:11:37
Zuoguan trẻ em thời trang đàn hồi màu trơn Cà Vạt cho đồng phục học sinh và mặc giản dị,13380003425,lazada,Thời Trang & Phụ Kiện Nam,Phụ Kiện Nam,Cà Vạt,https://www.lazada.vn/products/pdp-i13380003425.html,3000,0.0,0,0,ZUOGUAN,2026-05-01 02:11:37
JCAAAP Cà vạt kẻ sọc cổ điển thời trang mới dệt hoa văn Cà Vạt Lụa cho nam,2750685522,lazada,Thời Trang & Phụ Kiện Nam,Phụ Kiện Nam,Cà Vạt,https://www.lazada.vn/products/pdp-i2750685522.html,3121,5.0,7,0,JCAAAP,2026-05-01 02:11:37
Hangdian trẻ em thời trang đàn hồi màu trơn Cà Vạt cho đồng phục học sinh và mặc giản dị,13379917939,lazada,Thời Trang & Phụ Kiện Nam,Phụ Kiện Nam,Cà Vạt,https://www.lazada.vn/products/pdp-i13379917939.html,7000,0.0,0,0,HANGDIAN,2026-05-01 02:11:37
"Zuoguan Thanh Lịch Kiểu Pháp Paisley khăn cho phụ nữ, cà vạt đa năng với họa tiết hoa retro, hoàn hảo cho tóc, túi hoặc trang phục giọng",13381026904,lazada,Thời Trang & Phụ Kiện Nam,Phụ Kiện Nam,Cà Vạt,https://www.lazada.vn/products/pdp-i13381026904.html,9000,0.0,0,0,ZUOGUAN,2026-05-01 02:11:37
"VINTLOOK Cà vạt trẻ em màu đơn giản có dây đàn hồi, phù hợp cho đồng phục học sinh và mặc thường ngày",13383050008,lazada,Thời Trang & Phụ Kiện Nam,Phụ Kiện Nam,Cà Vạt,https://www.lazada.vn/products/pdp-i13383050008.html,10000,0.0,0,0,VINTLOOK,2026-05-01 02:11:37
"MrJJvialy Cà vạt trẻ em màu đơn giản có dây đàn hồi, phù hợp cho đồng phục học sinh và mặc thường ngày",13382159086,lazada,Thời Trang & Phụ Kiện Nam,Phụ Kiện Nam,Cà Vạt,https://www.lazada.vn/products/pdp-i13382159086.html,10000,0.0,0,0,MrJJvialy,2026-05-01 02:11:37
SỈ Cà vạt nam nữ học sinh và cho bé giá tại xưởng có nhận đặt theo yêu cầu,2310772922,lazada,Thời Trang & Phụ Kiện Nam,Phụ Kiện Nam,Cà Vạt,https://www.lazada.vn/products/pdp-i2310772922.html,10497,5.0,6,0,No Brand,2026-05-01 02:11:37
Okady chấm bi thanh lịch khăn của phụ nữ phụ kiện thời trang phong cách cổ điển Cà Vạt cho giản dị và trang phục trang trọng,13341496017,lazada,Thời Trang & Phụ Kiện Nam,Phụ Kiện Nam,Cà Vạt,https://www.lazada.vn/products/pdp-i13341496017.html,11000,0.0,0,0,OKADY,2026-05-01 02:11:37
"Cà Vạt Học Sinh Bản Ngắn 28cm Cá Tính, Cà Vạt Trẻ Em Chụp Kỷ Yếu",3171090901,lazada,Thời Trang & Phụ Kiện Nam,Phụ Kiện Nam,Cà Vạt,https://www.lazada.vn/products/pdp-i3171090901.html,12000,0.0,0,0,No Brand,2026-05-01 02:11:37
Mouca Cà Vạt Nam kẹp màu đen cà vạt an toàn cho Nam Nữ cà vạt quần áo phi giới tính,2604589477,lazada,Thời Trang & Phụ Kiện Nam,Phụ Kiện Nam,Cà Vạt,https://www.lazada.vn/products/pdp-i2604589477.html,12225,5.0,5,0,No Brand,2026-05-01 02:11:37
STAR FRUIT ChấM Bi thanh lịch khăn của phụ nữ phụ kiện thời trang phong cách cổ điển Cà Vạt cho giản dị và trang phục trang trọng,13363434213,lazada,Thời Trang & Phụ Kiện Nam,Phụ Kiện Nam,Cà Vạt,https://www.lazada.vn/products/pdp-i13363434213.html,13000,0.0,0,0,STAR FRUIT,2026-05-01 02:11:37
🔥 48 chiếc cà vạt tóc màu gradient đàn hồi cao tím hồng vàng vàng xanh đen (1pack / 48 ~ 50 chiếc) YVETTERY,2329774972,lazada,Thời Trang & Phụ Kiện Nam,Phụ Kiện Nam,Cà Vạt,https://www.lazada.vn/products/pdp-i2329774972.html,13500,4.875,16,0,No Brand,2026-05-01 02:11:37
