title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
G5664 Dây Thun quần (Ghun) 1GM-5GM/10M Ghiều dài GA625,2746106748,lazada,Thời Trang & Phụ Kiện Nam,Phụ Kiện Nam,Dây Đai Quần Nam,https://www.lazada.vn/products/pdp-i2746106748.html,18000,0.0,0,0,No Brand,2026-05-01 02:11:13
"Thắt Lưng Quần Màu Trơn, Dây Đeo Ba Kẹp, Đàn Hồi Co Giãn Cho Nam Và Nữ, Bán Hàng Trực Tiếp Tại Nhà Máy Dành Cho Người Lớn",3117061557,lazada,Thời Trang & Phụ Kiện Nam,Phụ Kiện Nam,Dây Đai Quần Nam,https://www.lazada.vn/products/pdp-i3117061557.html,21100,0.0,0,0,No Brand,2026-05-01 02:11:13
Dây Đai Half Belt Thắt Lưng Dây Nịt Quần Thun Co Giãn Không Khoá LeGaXi,475564497,lazada,Thời Trang & Phụ Kiện Nam,Phụ Kiện Nam,Dây Đai Quần Nam,https://www.lazada.vn/products/pdp-i475564497.html,23000,4.814180929095355,409,0,LeGaXi,2026-05-01 02:11:13
Dây đai yếm quần chữ Y dành cho nam giới,2509922571,lazada,Thời Trang & Phụ Kiện Nam,Phụ Kiện Nam,Dây Đai Quần Nam,https://www.lazada.vn/products/pdp-i2509922571.html,25000,0.0,0,0,No Brand,2026-05-01 02:11:13
Đai đeo quần nam chữ Y 2.5cm - dây yếm quần nam cao cấp bản nhỏ .,2499522084,lazada,Thời Trang & Phụ Kiện Nam,Phụ Kiện Nam,Dây Đai Quần Nam,https://www.lazada.vn/products/pdp-i2499522084.html,25000,5.0,1,0,No Brand,2026-05-01 02:11:13
"Dây Đai Quần Chữ Y, Suspenders 3 Móc Cài",3114695048,lazada,Thời Trang & Phụ Kiện Nam,Phụ Kiện Nam,Dây Đai Quần Nam,https://www.lazada.vn/products/pdp-i3114695048.html,27000,5.0,10,0,No Brand,2026-05-01 02:11:13
Dây Đai Chữ Y TRƠN Nam Nữ Yếm Quần Cạp Chống Trượt 3 Kẹp Cố Định Điều Chỉnh Lễ Hội Party Sinh Nhật HCM Legaxi,2041148396,lazada,Thời Trang & Phụ Kiện Nam,Phụ Kiện Nam,Dây Đai Quần Nam,https://www.lazada.vn/products/pdp-i2041148396.html,28000,4.9523809523809526,21,0,LeGaXi,2026-05-01 02:11:13
Dây Nịt Chữ Y Bé Nam Nữ Gắn Quần Thắt Qua Vai Lưng Co Giãn Tùy Chỉnh Nẹp TpHCM Legaxi,2040742083,lazada,Thời Trang & Phụ Kiện Nam,Phụ Kiện Nam,Dây Đai Quần Nam,https://www.lazada.vn/products/pdp-i2040742083.html,30000,0.0,0,0,LeGaXi,2026-05-01 02:11:13
Dây Đai Chữ Y Nam Nữ Yếm Quần Cạp Chống Trượt 3 Kẹp Cố Định Điều Chỉnh Lễ Hội Party Sinh Nhật HCM Zaba,2040971778,lazada,Thời Trang & Phụ Kiện Nam,Phụ Kiện Nam,Dây Đai Quần Nam,https://www.lazada.vn/products/pdp-i2040971778.html,34999,0.0,0,0,LeGaXi,2026-05-01 02:11:13
Dây Đai Nịt Quần Đeo Vai Chữ Y Cho Nam Và Nữ Legaxi,201169390,lazada,Thời Trang & Phụ Kiện Nam,Phụ Kiện Nam,Dây Đai Quần Nam,https://www.lazada.vn/products/pdp-i201169390.html,35000,4.804232804232805,189,0,LeGaXi,2026-05-01 02:11:13
