title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Dép Không Trượt Cho Nhà & Ngoài Trời,13364577009,lazada,Thời Trang & Phụ Kiện Nam,Giày Dép Nam,Dép & Sandal,https://www.lazada.vn/products/pdp-i13364577009.html,29400,0.0,0,0,No Brand,2026-05-01 02:09:43
Dép sandal tập đi Doraemon cho các bé từ 0-1.5 tuổi có kèn.,2418505543,lazada,Thời Trang & Phụ Kiện Nam,Giày Dép Nam,Dép & Sandal,https://www.lazada.vn/products/pdp-i2418505543.html,29999,4.7,10,0,No Brand,2026-05-01 02:09:43
Dép sandal tập đi cho các bé từ 0-1.5 tuổi có kèn.,2418554795,lazada,Thời Trang & Phụ Kiện Nam,Giày Dép Nam,Dép & Sandal,https://www.lazada.vn/products/pdp-i2418554795.html,29999,5.0,46,0,No Brand,2026-05-01 02:09:43
Dép Quai Hậu Chống Trượt Đế Mềm Dùng Ngoài Trời Bền,13355241858,lazada,Thời Trang & Phụ Kiện Nam,Giày Dép Nam,Dép & Sandal,https://www.lazada.vn/products/pdp-i13355241858.html,33000,0.0,0,0,SummerTaste,2026-05-01 02:09:43
Dép Sandal Gót Đế Dày Có Khóa Cài Chống TrượtThoải Mái,13369999901,lazada,Thời Trang & Phụ Kiện Nam,Giày Dép Nam,Dép & Sandal,https://www.lazada.vn/products/pdp-i13369999901.html,33500,0.0,0,0,No Brand,2026-05-01 02:09:43
Dép Mule Đế Bằng Có Khóa Dễ Mặc,13367724843,lazada,Thời Trang & Phụ Kiện Nam,Giày Dép Nam,Dép & Sandal,https://www.lazada.vn/products/pdp-i13367724843.html,34000,0.0,0,0,XUNSHIDA,2026-05-01 02:09:43
"SIÊU NHẸ CHO BÉSANDAL QUAI MỀM, DÉP TẬP ĐI CÓ QUAI HẬU BẰNG THUN CO GIẢN SIÊU NHẸ CHO BÉ",2376553962,lazada,Thời Trang & Phụ Kiện Nam,Giày Dép Nam,Dép & Sandal,https://www.lazada.vn/products/pdp-i2376553962.html,35000,5.0,2,0,No Brand,2026-05-01 02:09:43
Dép Hè Thoáng Khí Không Trượt,13355808925,lazada,Thời Trang & Phụ Kiện Nam,Giày Dép Nam,Dép & Sandal,https://www.lazada.vn/products/pdp-i13355808925.html,35500,0.0,0,0,No Brand,2026-05-01 02:09:43
Dép Đế Mềm Chống Thấm Thiết Kế Mới Hè,13367653494,lazada,Thời Trang & Phụ Kiện Nam,Giày Dép Nam,Dép & Sandal,https://www.lazada.vn/products/pdp-i13367653494.html,36500,0.0,0,0,zifanna,2026-05-01 02:09:43
"Dép Quai Hậu Không Trơn, Chống Hôi, Thoáng Khí, Đế Mềm",13366985789,lazada,Thời Trang & Phụ Kiện Nam,Giày Dép Nam,Dép & Sandal,https://www.lazada.vn/products/pdp-i13366985789.html,37000,0.0,0,0,KIAPURDEN,2026-05-01 02:09:43
"(TĂNG 1 SIZE ) Dép nữ quai hậu đi học siêu xinh, Dép nữ xăng đan học sinh cao 5cm quay chéo đế đúc -xăng đan độn đế 5cm",2742262201,lazada,Thời Trang & Phụ Kiện Nam,Giày Dép Nam,Dép & Sandal,https://www.lazada.vn/products/pdp-i2742262201.html,37440,5.0,1,0,OEM,2026-05-01 02:09:43
Dép Xăng Đan Mùa Hè Phong Cách Tiên Nữ Dễ Thương,13370219402,lazada,Thời Trang & Phụ Kiện Nam,Giày Dép Nam,Dép & Sandal,https://www.lazada.vn/products/pdp-i13370219402.html,37500,0.0,0,0,KIAPURDEN,2026-05-01 02:09:43
Dép Đế Dày Phong Cách La Mã Mùa Hè Quai Đơn,13370982352,lazada,Thời Trang & Phụ Kiện Nam,Giày Dép Nam,Dép & Sandal,https://www.lazada.vn/products/pdp-i13370982352.html,38000,0.0,0,0,No Brand,2026-05-01 02:09:43
"Dép sandal bé gái, dép quai hậu tập đi chất cao su mềm êm chân chống trơn trượt hình bướm hàng Quảng Châu",3089204775,lazada,Thời Trang & Phụ Kiện Nam,Giày Dép Nam,Dép & Sandal,https://www.lazada.vn/products/pdp-i3089204775.html,38000,0.0,0,0,No Brand,2026-05-01 02:09:43
"Dép sandal quai hậu bé trai, Sandal bé trai học sinh thiết kế quai dán dễ dàng mang tháo",1725214346,lazada,Thời Trang & Phụ Kiện Nam,Giày Dép Nam,Dép & Sandal,https://www.lazada.vn/products/pdp-i1725214346.html,39000,3.5555555555555554,9,0,No Brand,2026-05-01 02:09:43
