title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"[DIRAY 8102G] Đồng Hồ Nam Thủy Quân Lục Chiến | Điện Tử – Đèn LED – Chống Nước 30M | Bé Trai Năng Động, Học Sinh Thể Thao",3033984256,lazada,Thời trang & Phụ kiện Trẻ Em,Đồng hồ trẻ em,Đồng hồ bé trai,https://www.lazada.vn/products/pdp-i3033984256.html,184000,0.0,0,0,DIRAY,2026-05-04 22:24:02
Đồng hồ thông minh trẻ em lắp sim nghe gọi định vị chống nước y31- dành cho bé trai và bé gái,2262383702,lazada,Thời trang & Phụ kiện Trẻ Em,Đồng hồ trẻ em,Đồng hồ bé trai,https://www.lazada.vn/products/pdp-i2262383702.html,450000,5.0,1,5,No Brand,2026-05-04 22:24:02
WGB Đồng hồ trẻ em máy chiếu sáng 24 hình ảnh kuromi sanrio spiderman elsa kitty đồ chơi đồng hồ thông minh cho bé,2806554146,lazada,Thời trang & Phụ kiện Trẻ Em,Đồng hồ trẻ em,Đồng hồ bé trai,https://www.lazada.vn/products/pdp-i2806554146.html,152345,0.0,0,0,No Brand,2026-05-04 22:24:02
Đồng hồ định vị trẻ em Q12 lắp sim nghe gọi định vị chống nước IP6,1322045796,lazada,Thời trang & Phụ kiện Trẻ Em,Đồng hồ trẻ em,Đồng hồ bé trai,https://www.lazada.vn/products/pdp-i1322045796.html,236180,4.8,436,1800,No Brand,2026-05-04 22:24:02
"GỌI VIDEO CALL Đồng hồ thông minh Nghe Gọi định vị trẻ em cao cấp Y36 nghe gọi video. chống nước IP67, tiếng việt",2492787502,lazada,Thời trang & Phụ kiện Trẻ Em,Đồng hồ trẻ em,Đồng hồ bé trai,https://www.lazada.vn/products/pdp-i2492787502.html,185000,5.0,12,46,No Brand,2026-05-04 22:24:02
"[DIRAY 8222] Đồng Hồ Trẻ Em Chính Hãng | Điện Tử Thể Thao – Đèn LED – Chống Nước 30M | Học Sinh, Bé Trai Bé Gái",3033813033,lazada,Thời trang & Phụ kiện Trẻ Em,Đồng hồ trẻ em,Đồng hồ bé trai,https://www.lazada.vn/products/pdp-i3033813033.html,174000,5.0,1,0,DIRAY,2026-05-04 22:24:02
Đồng Hồ Thể Thao Dành Cho Học Sinh SYNOKE Dành Cho Trẻ Em Đồng Hồ Kỹ Thuật Số Chống Nước 50M Đầy Màu Sắc Có Đèn Báo Thức Phía Sau Đồng Hồ Bấm Giờ Cho Bé Trai Và Bé Gái,2609275052,lazada,Thời trang & Phụ kiện Trẻ Em,Đồng hồ trẻ em,Đồng hồ bé trai,https://www.lazada.vn/products/pdp-i2609275052.html,126400,4.8,46,103,Synoke,2026-05-04 22:24:02
Đồng hồ Thông Minh Y95 Lắp Sim định vị trẻ em,2007825648,lazada,Thời trang & Phụ kiện Trẻ Em,Đồng hồ trẻ em,Đồng hồ bé trai,https://www.lazada.vn/products/pdp-i2007825648.html,200000,4.5,11,62,No Brand,2026-05-04 22:24:02
Đồng hồ đeo tay trẻ em conan,794324611,lazada,Thời trang & Phụ kiện Trẻ Em,Đồng hồ trẻ em,Đồng hồ bé trai,https://www.lazada.vn/products/pdp-i794324611.html,78000,4.8,117,572,No Brand,2026-05-04 22:24:02
"Đồng hồ trẻ em điện tử đa chức năng kết hợp hiệu ứng đèn Led chính hãng Coobos, chống trầy xước, chống nước tốt, bảo hành 2 năm",453800728,lazada,Thời trang & Phụ kiện Trẻ Em,Đồng hồ trẻ em,Đồng hồ bé trai,https://www.lazada.vn/products/pdp-i453800728.html,73391,4.7,297,1400,No Brand,2026-05-04 22:24:02
Đồng hồ điện tử trẻ em chất lượng cao Đồng hồ kỹ thuật số trẻ em có thể biến đổi robot 2 trong 1 Quà tặng trẻ em,2599757556,lazada,Thời trang & Phụ kiện Trẻ Em,Đồng hồ trẻ em,Đồng hồ bé trai,https://www.lazada.vn/products/pdp-i2599757556.html,39200,4.9,7,98,No Brand,2026-05-04 22:24:02
New Đồng Hồ Nữ Chống Nước Phiên Bản Hàn Quốc Đồng Hồ Trẻ Em Bé Trai Bé Gái Đồng Hồ Điện  Tử Khí Chất Thanh Lịch Thể Thao  Thời  Trang Đơn Giản,2324787330,lazada,Thời trang & Phụ kiện Trẻ Em,Đồng hồ trẻ em,Đồng hồ bé trai,https://www.lazada.vn/products/pdp-i2324787330.html,64000,0.0,0,0,No Brand,2026-05-04 22:24:02
Đồng Hồ Thể Thao Trẻ Em MINGRUI 8540 Chính Hãng Không Vô Nước Dành Cho Bé Trai Bé Gái,3239343265,lazada,Thời trang & Phụ kiện Trẻ Em,Đồng hồ trẻ em,Đồng hồ bé trai,https://www.lazada.vn/products/pdp-i3239343265.html,129000,0.0,0,0,No Brand,2026-05-04 22:24:02
Đồng hồ trẻ em kim W07 màu hồng tai mèo hình thú giá tốt,143862447,lazada,Thời trang & Phụ kiện Trẻ Em,Đồng hồ trẻ em,Đồng hồ bé trai,https://www.lazada.vn/products/pdp-i143862447.html,135000,4.6,56,382,No Brand,2026-05-04 22:24:02
