title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"(Loại 1) Giày Thể Thao Siêu Nhẹ Cho Bé Trai Bé Gái 1910, Giày Đi Học Cho Bé Gái, Giày Bé Trai Phối Lưới Thoáng Khí Đế Mềm Chống Trượt",2346166830,lazada,Thời trang & Phụ kiện Trẻ Em,Giày dép thể thao bé gái,,https://www.lazada.vn/products/pdp-i2346166830.html,102000,0.0,0,530,No Brand,2026-05-05 09:56:13
Dép Sandal Học Sinh Cho Bé Từ 1 - 25 Tuổi Dáng Thể Thao Quai Mềm Đế Êm HKT Shop SD867,985912710,lazada,Thời trang & Phụ kiện Trẻ Em,Giày dép thể thao bé gái,,https://www.lazada.vn/products/pdp-i985912710.html,79000,0.0,0,831,No Brand,2026-05-05 09:56:13
ACE thời trang🔥(Size26-37)2024 mùa xuân và mùa thu ánh sáng mới bé kuromi cô gái giày thể thao có đế mềm cô gái clunkysneaker Kasut budak perempuan25021902,3012930337,lazada,Thời trang & Phụ kiện Trẻ Em,Giày dép thể thao bé gái,,https://www.lazada.vn/products/pdp-i3012930337.html,213808,0.0,0,9,No Brand,2026-05-05 09:56:13
"(Fullbox) Giày Thể Thao Bé Trai Bé Gái, Giày Bé Trai Thoáng Khí, Giầy Bé Gái Phối Dây Màu Cực Chất D02",2660761712,lazada,Thời trang & Phụ kiện Trẻ Em,Giày dép thể thao bé gái,,https://www.lazada.vn/products/pdp-i2660761712.html,83000,0.0,0,126,No Brand,2026-05-05 09:56:13
ORNGMALL Giày Thể Thao Cho Trẻ Em Nam Nữ Giày Dẻo Xăng Đan Giày Nước Cho Trẻ Em Mùa Hè Chơi Ngoài Trời Lỗ Cho Bé Gái Và Bé Trai Xăng Đan Giày Không Thấm Nước Cho Trẻ Em 26-35,2244085741,lazada,Thời trang & Phụ kiện Trẻ Em,Giày dép thể thao bé gái,,https://www.lazada.vn/products/pdp-i2244085741.html,139000,0.0,0,158,No Brand,2026-05-05 09:56:13
Giày thể thao bé gái da mềm êm chân giày đi học cho bé gái - Mẫu mới BC149,1414900059,lazada,Thời trang & Phụ kiện Trẻ Em,Giày dép thể thao bé gái,,https://www.lazada.vn/products/pdp-i1414900059.html,195000,0.0,0,24,No Brand,2026-05-05 09:56:13
Ready Stock Giày Chạy Bộ Cho Bé Trai Và Bé Gái Mới Mùa Hè 2024 Giày Thể Thao Cổ Thấp Lưới Thường Ngày Xu Hướng Thời Trang Phong Cách Hàn Quốc Cho Bé Trai Bé Gái 5,2260160779,lazada,Thời trang & Phụ kiện Trẻ Em,Giày dép thể thao bé gái,,https://www.lazada.vn/products/pdp-i2260160779.html,119000,0.0,0,104,No Brand,2026-05-05 09:56:13
"106 Giày Bata Bé Trai Bé Gái Sọc Hi, Giày Thể Dục Cho Bé, Giày Biểu Diễn, Giày Chạy Bộ Da Pu Siêu Mềm, Giày Thể Thao Bé Trai, Giày Lười Cho Bé [ giaydeptreemkieusashop ]",2872873518,lazada,Thời trang & Phụ kiện Trẻ Em,Giày dép thể thao bé gái,,https://www.lazada.vn/products/pdp-i2872873518.html,135000,0.0,0,9,No Brand,2026-05-05 09:56:13
"Giày thể thao màu trắng thể dục,bé gái, bé trai - Giày đi học bé trai , bé gái TT270",2769746834,lazada,Thời trang & Phụ kiện Trẻ Em,Giày dép thể thao bé gái,,https://www.lazada.vn/products/pdp-i2769746834.html,149000,0.0,0,16,No Brand,2026-05-05 09:56:13
"GB4 /// Giày thể thao đế mềm mới cho trẻ em, giày dừa lưới thời trang cho bé trai và bé gái",2943953925,lazada,Thời trang & Phụ kiện Trẻ Em,Giày dép thể thao bé gái,,https://www.lazada.vn/products/pdp-i2943953925.html,69000,0.0,0,73,No Brand,2026-05-05 09:56:13
Giày đi học bé trai bé gái Giày thể thao màu trắng cho bé ON107,1964067712,lazada,Thời trang & Phụ kiện Trẻ Em,Giày dép thể thao bé gái,,https://www.lazada.vn/products/pdp-i1964067712.html,195000,0.0,0,177,No Brand,2026-05-05 09:56:13
Giày Thể Thao Biti's Trẻ Em Xanh Navy BSB009400XNH,3251311709,lazada,Thời trang & Phụ kiện Trẻ Em,Giày dép thể thao bé gái,,https://www.lazada.vn/products/pdp-i3251311709.html,584000,0.0,0,40,No Brand,2026-05-05 09:56:13
Bé Sáng Dạ Tất Hướng Có Mùa Gái Giày Quang Lăn Chạy Trẻ Unisex Giày 0 Thao Cho Bánh Xoay Em Các Hè Bộ Xe Mùa Nút Xu Cả Thể vNFdYOf2,2790497161,lazada,Thời trang & Phụ kiện Trẻ Em,Giày dép thể thao bé gái,,https://www.lazada.vn/products/pdp-i2790497161.html,175367,0.0,0,0,No Brand,2026-05-05 09:56:13
Giày thể thao bé gái in hình công chúa Giày học sinh đi học giày cho bé gái - Mẫu mới ON66,1734897640,lazada,Thời trang & Phụ kiện Trẻ Em,Giày dép thể thao bé gái,,https://www.lazada.vn/products/pdp-i1734897640.html,199000,0.0,0,558,No Brand,2026-05-05 09:56:13
Giày thể thao bé gái Giày đi học bé gái dây buộc thoáng khí êm chân - Mẫu mới ON110,2045271052,lazada,Thời trang & Phụ kiện Trẻ Em,Giày dép thể thao bé gái,,https://www.lazada.vn/products/pdp-i2045271052.html,209000,0.0,0,95,No Brand,2026-05-05 09:56:13
"Giày thể thao bé gái , giày đi học cho bé - AB220",1729360555,lazada,Thời trang & Phụ kiện Trẻ Em,Giày dép thể thao bé gái,,https://www.lazada.vn/products/pdp-i1729360555.html,168000,0.0,0,1300,No Brand,2026-05-05 09:56:13
"Giày thể thao công chúa bé gái , giày đi học bé gái SD49",1848654081,lazada,Thời trang & Phụ kiện Trẻ Em,Giày dép thể thao bé gái,,https://www.lazada.vn/products/pdp-i1848654081.html,199000,0.0,0,63,No Brand,2026-05-05 09:56:13
Giày thể thao bé gái Bita's GVBG.114 (Kem + Xám),3244739359,lazada,Thời trang & Phụ kiện Trẻ Em,Giày dép thể thao bé gái,,https://www.lazada.vn/products/pdp-i3244739359.html,204000,0.0,0,34,No Brand,2026-05-05 09:56:13
"Giày thể thao màu trắng thể dục,bé gái, bé trai  - Giày đi học bé trai , bé gái TT270",3050879312,lazada,Thời trang & Phụ kiện Trẻ Em,Giày dép thể thao bé gái,,https://www.lazada.vn/products/pdp-i3050879312.html,168000,0.0,0,0,No Brand,2026-05-05 09:56:13
"Giày thể thao bé gái phối màu, thoáng mát êm chân Giày đi học bé gái Giày cho bé gái -  Mẫu mới LGG114",2065147543,lazada,Thời trang & Phụ kiện Trẻ Em,Giày dép thể thao bé gái,,https://www.lazada.vn/products/pdp-i2065147543.html,199000,0.0,0,384,No Brand,2026-05-05 09:56:13
Dép Sục thể thao siêu nhẹ cho bé gái hình cô gái tóc nơ siêu cao cấp hàng mềm cho bé đi biển siêu đẹp,2485773027,lazada,Thời trang & Phụ kiện Trẻ Em,Giày dép thể thao bé gái,,https://www.lazada.vn/products/pdp-i2485773027.html,67803,0.0,0,82,No Brand,2026-05-05 09:56:13
Hốc hồng bé trai và bé gái giày thể thao trẻ em giày dừa Giày lưới mới mẫu giáo siêu nhẹ Giày gấu,3259222857,lazada,Thời trang & Phụ kiện Trẻ Em,Giày dép thể thao bé gái,,https://www.lazada.vn/products/pdp-i3259222857.html,68600,0.0,0,24,No Brand,2026-05-05 09:56:13
"Giày thể thao bé trai , bé gái dạng lưới thoáng mát , êm chân - giày đi học bé gái, bé trai - Mẫu mới nhất GG82",1724083872,lazada,Thời trang & Phụ kiện Trẻ Em,Giày dép thể thao bé gái,,https://www.lazada.vn/products/pdp-i1724083872.html,169000,0.0,0,29,No Brand,2026-05-05 09:56:13
