title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Sandal đi học bé trai quai mềm đi êm chân,2337466934,lazada,Thời trang & Phụ kiện Trẻ Em,Giày bé trai,Giày đi học bé trai,https://www.lazada.vn/products/pdp-i2337466934.html,126420,0.0,0,21,No Brand,2026-05-05 04:04:02
"Giày Bé Gái, Giày Bé Trai Phong Cách Thể Thao Năng Động Đi Chơi, Đi Học Hình Ngôi Sao 5811 New Size 26-37",3123283640,lazada,Thời trang & Phụ kiện Trẻ Em,Giày bé trai,Giày đi học bé trai,https://www.lazada.vn/products/pdp-i3123283640.html,97000,0.0,0,14,No Brand,2026-05-05 04:04:02
"(Fullbox) Giày Thể Thao Bé Trai Bé Gái, Giày Bé Trai Thoáng Khí, Giầy Bé Gái Phối Dây Màu Cực Chất D02",2660761712,lazada,Thời trang & Phụ kiện Trẻ Em,Giày bé trai,Giày đi học bé trai,https://www.lazada.vn/products/pdp-i2660761712.html,83000,0.0,0,126,No Brand,2026-05-05 04:04:02
Giày bé trai 2024 mới thoáng khí đế mềm phát sáng ban đêm Giày thể thao bé trai giày chạy bộ học sinh nút xoay mùa hè,2935325680,lazada,Thời trang & Phụ kiện Trẻ Em,Giày bé trai,Giày đi học bé trai,https://www.lazada.vn/products/pdp-i2935325680.html,238262,0.0,0,0,No Brand,2026-05-05 04:04:02
Giày Trẻ Em Cho Bé Trai Bé Gái Giày Thể Thao Da Giày Thể Thao Trẻ Em Giày Thường Ngày Cho Trẻ Em Velcro Giày Thể Thao Đi Học Cho Trẻ Em Giày Chạy Bộ (Kích Thước: 29-40),2027370641,lazada,Thời trang & Phụ kiện Trẻ Em,Giày bé trai,Giày đi học bé trai,https://www.lazada.vn/products/pdp-i2027370641.html,249000,0.0,0,1100,No Brand,2026-05-05 04:04:02
"Sandal bé trai bé gái, xăng đan đi học cho bé - Mẫu mới nhất BN121",2175027948,lazada,Thời trang & Phụ kiện Trẻ Em,Giày bé trai,Giày đi học bé trai,https://www.lazada.vn/products/pdp-i2175027948.html,189000,0.0,0,90,No Brand,2026-05-05 04:04:02
"Sandal bé trai bé gái, xăng đan đi học cho bé - Mẫu mới nhất BC121",2175128907,lazada,Thời trang & Phụ kiện Trẻ Em,Giày bé trai,Giày đi học bé trai,https://www.lazada.vn/products/pdp-i2175128907.html,195000,0.0,0,22,No Brand,2026-05-05 04:04:02
Giày sandal quai dán bảo vệ mũi chân cho bé trai bé gái siêu đẹp chất cao su mềm,2486483753,lazada,Thời trang & Phụ kiện Trẻ Em,Giày bé trai,Giày đi học bé trai,https://www.lazada.vn/products/pdp-i2486483753.html,78302,0.0,0,24,No Brand,2026-05-05 04:04:02
"M78 Giày Thể Thao Cho Bé Trai Bé Gái 3 Tuổi Đến 10 Tuổi Lót Lông Êm Chân,Đế Cao Su Chống Trơn Trượt [giaydeptreemkieusashop]",2414315421,lazada,Thời trang & Phụ kiện Trẻ Em,Giày bé trai,Giày đi học bé trai,https://www.lazada.vn/products/pdp-i2414315421.html,125000,0.0,0,49,No Brand,2026-05-05 04:04:02
"Giày Thể Thao Bé Gái Bé Trai Đế Độn Quai Rút Phong Cách Hàn Quốc, Giày Thể Thao Cho Bé Gái Đi Học Đi Chơi Nhập Quảng Châu Cao Cấp",1998041132,lazada,Thời trang & Phụ kiện Trẻ Em,Giày bé trai,Giày đi học bé trai,https://www.lazada.vn/products/pdp-i1998041132.html,129000,0.0,0,7,No Brand,2026-05-05 04:04:02
"Giày Thể Thao Da Thời Trang Cho Bé Trai, Đi Học, Chơi Thể Thao, Đi Chơi Thường Ngày, Thoáng Khí, Đế Cao Su, Giày Chạy Bộ Cho Trẻ Em 7-12 Tuổi",2626780359,lazada,Thời trang & Phụ kiện Trẻ Em,Giày bé trai,Giày đi học bé trai,https://www.lazada.vn/products/pdp-i2626780359.html,231200,0.0,0,429,No Brand,2026-05-05 04:04:02
"Giày Đi Mưa Da Chống Thấm Cho Trẻ Em, Thiết Kế Cầu Vồng Wishpond Dành Cho Bé Gái Và Bé Trai, Giày Đi Mưa Học Sinh Dễ Thương, Cung Cấp Sỉ",3201319953,lazada,Thời trang & Phụ kiện Trẻ Em,Giày bé trai,Giày đi học bé trai,https://www.lazada.vn/products/pdp-i3201319953.html,123200,0.0,0,0,No Brand,2026-05-05 04:04:02
Sandal cho bé trai ( in Người nhện ) - giày xăng đan đi học bé trai BC63,1412371565,lazada,Thời trang & Phụ kiện Trẻ Em,Giày bé trai,Giày đi học bé trai,https://www.lazada.vn/products/pdp-i1412371565.html,139000,0.0,0,14,No Brand,2026-05-05 04:04:02
Giày lưới cho bé trai bé gái học sinh tiểu trung học đi học đi biển mùa hè êm nhẹ thoáng khí dáng thể thao GH33,1935637634,lazada,Thời trang & Phụ kiện Trẻ Em,Giày bé trai,Giày đi học bé trai,https://www.lazada.vn/products/pdp-i1935637634.html,149000,0.0,0,57,No Brand,2026-05-05 04:04:02
Giày quai chéo khoá trơn đơn giản cho bé đi học chất liệu eva siêu mềm,2775764942,lazada,Thời trang & Phụ kiện Trẻ Em,Giày bé trai,Giày đi học bé trai,https://www.lazada.vn/products/pdp-i2775764942.html,67803,0.0,0,327,No Brand,2026-05-05 04:04:02
Giày quai hậu cho bé trai đi học từ 5-14 tuổi ( xăng đan / sandal ),1483863756,lazada,Thời trang & Phụ kiện Trẻ Em,Giày bé trai,Giày đi học bé trai,https://www.lazada.vn/products/pdp-i1483863756.html,140000,0.0,0,58,No Brand,2026-05-05 04:04:02
"Giày Bé Gái Giày Bé Trai, Giày Đi Chơi, Đi Học B66 Phong Cách Thể Thao Năng Động Nhập Quảng Châu Chất Lượng B66 B77 New Size 26-37",2808305067,lazada,Thời trang & Phụ kiện Trẻ Em,Giày bé trai,Giày đi học bé trai,https://www.lazada.vn/products/pdp-i2808305067.html,107000,0.0,0,5,No Brand,2026-05-05 04:04:02
"Giày định hình chân cho bé UOVO NHÍM SHOP Sandal bé trai bít mũi rọ cao cấp thoáng mùa hè Giày chống bàn chân bẹt cho bé trai 2 - 12 tuổi đi học, dạo phố, đi biển, mang hằng ngày ST36",603190097,lazada,Thời trang & Phụ kiện Trẻ Em,Giày bé trai,Giày đi học bé trai,https://www.lazada.vn/products/pdp-i603190097.html,585000,0.0,0,224,No Brand,2026-05-05 04:04:02
