title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
(CP-01) Giày Thể Thao Sneaker Nam XPROWIN CP3001 Chính hãng,3310594966,lazada,Thời Trang & Phụ Kiện Nam,Giày Dép Nam,Giày Sneaker,https://www.lazada.vn/products/pdp-i3310594966.html,499,0.0,0,0,Xprowin,2026-05-01 02:09:17
Hobibear đàn hồi không có Tie dây giày với khóa kim loại clip cho Casual Sneakers và giày vải,13385635601,lazada,Thời Trang & Phụ Kiện Nam,Giày Dép Nam,Giày Sneaker,https://www.lazada.vn/products/pdp-i13385635601.html,11000,0.0,0,0,HOBIBEAR,2026-05-01 02:09:17
Giày Sneakers Bệt Màu Trắng,13360068260,lazada,Thời Trang & Phụ Kiện Nam,Giày Dép Nam,Giày Sneaker,https://www.lazada.vn/products/pdp-i13360068260.html,20000,0.0,0,0,No Brand,2026-05-01 02:09:17
Sneaker chèn Giày đàn hồi lót mặt kép cho chạy cho leo núi cho đi bộ đường dài cho đi bộ,13360773384,lazada,Thời Trang & Phụ Kiện Nam,Giày Dép Nam,Giày Sneaker,https://www.lazada.vn/products/pdp-i13360773384.html,23100,0.0,0,0,No Brand,2026-05-01 02:09:17
Giày Thể Thao Đa Năng Màu Trắng Có Dây Đế Dày cho Nữ,13364854488,lazada,Thời Trang & Phụ Kiện Nam,Giày Dép Nam,Giày Sneaker,https://www.lazada.vn/products/pdp-i13364854488.html,34400,0.0,0,0,TALIQITAXINTA,2026-05-01 02:09:17
Giày Sneakers Nữ Thoải Mái Mới Xuân/Thu 2025,13367674917,lazada,Thời Trang & Phụ Kiện Nam,Giày Dép Nam,Giày Sneaker,https://www.lazada.vn/products/pdp-i13367674917.html,36800,0.0,0,0,zifanna,2026-05-01 02:09:17
"[Hoàn Tiền 15%]Giày thể thao nam , giày sneaker nam phong cách mẫu mới nhất",845398647,lazada,Thời Trang & Phụ Kiện Nam,Giày Dép Nam,Giày Sneaker,https://www.lazada.vn/products/pdp-i845398647.html,39000,4.441860465116279,43,0,No Brand,2026-05-01 02:09:17
"Giày nam nữ đi mưa siêu nhẹ kiểu dáng thời trang unisex phù hợp mọi lứa tuổi, đế ma sát chống trơn trượt",1864663913,lazada,Thời Trang & Phụ Kiện Nam,Giày Dép Nam,Giày Sneaker,https://www.lazada.vn/products/pdp-i1864663913.html,39000,4.855013550135501,738,0,Duwa,2026-05-01 02:09:17
Giày Đế Dày MLB Dành Cho Nam Và Nữ Giày Đế Dày Kiểu Cha Giày Đế Bằng Giày Đế Bằng Màu Trắng Và Đen Chất Lượng Gốc,2723031395,lazada,Thời Trang & Phụ Kiện Nam,Giày Dép Nam,Giày Sneaker,https://www.lazada.vn/products/pdp-i2723031395.html,39200,0.0,1,0,No Brand,2026-05-01 02:09:17
Paulweekend Giày chạy thể thao thoáng khí nam giày trắng Giày thường ngày xu hướng thời trang giày nam,3057583077,lazada,Thời Trang & Phụ Kiện Nam,Giày Dép Nam,Giày Sneaker,https://www.lazada.vn/products/pdp-i3057583077.html,40000,5.0,23,0,No Brand,2026-05-01 02:09:17
Giày Vải Đế Mềm Thoáng Khí Chống Trượt,13367224726,lazada,Thời Trang & Phụ Kiện Nam,Giày Dép Nam,Giày Sneaker,https://www.lazada.vn/products/pdp-i13367224726.html,40800,0.0,0,0,No Brand,2026-05-01 02:09:17
Giày Thể Thao Dễ Thở Mùa Xuân Mới,13364345754,lazada,Thời Trang & Phụ Kiện Nam,Giày Dép Nam,Giày Sneaker,https://www.lazada.vn/products/pdp-i13364345754.html,41200,0.0,0,0,XUNSHIDA,2026-05-01 02:09:17
Giày Đi Làm Chống Trượt Thoáng Khí,13367205409,lazada,Thời Trang & Phụ Kiện Nam,Giày Dép Nam,Giày Sneaker,https://www.lazada.vn/products/pdp-i13367205409.html,41600,0.0,0,0,No Brand,2026-05-01 02:09:17
