title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Mặt Dây Chuyền Hình Phật Quan Âm Bồ Tát Kích Thước 2.5 Cm,2614829098,lazada,Thời Trang & Phụ Kiện Nam,Trang Sức Nam,Mặt Dây Chuyền Nam,https://www.lazada.vn/products/pdp-i2614829098.html,10000,5.0,1,0,No Brand,2026-05-01 02:14:59
Mặt Dây Chuyền Lưỡi Thép Titan Chín Thời Trang Dây Chuyền Nam Dây Chuyền Áo Len Dài Đơn Giản Hàn Quốc Mặt Dây Chuyền Nam Trang Sức Bằng Thép Không Gỉ Cá Tính,1650568054,lazada,Thời Trang & Phụ Kiện Nam,Trang Sức Nam,Mặt Dây Chuyền Nam,https://www.lazada.vn/products/pdp-i1650568054.html,18000,4.8125,67,0,OEM,2026-05-01 02:14:59
【Hoa Cúc Nhỏ】mặt Dây Chuyền Răng Sói Bohemia Cho Nam Vòng Cổ Dệt Đính Cườm Bằng Da Trang Sức Quà Tặng,1414604074,lazada,Thời Trang & Phụ Kiện Nam,Trang Sức Nam,Mặt Dây Chuyền Nam,https://www.lazada.vn/products/pdp-i1414604074.html,20000,4.780952380952381,220,0,No Brand,2026-05-01 02:14:59
mặt dây chuyền thánh giá chúa,2763546881,lazada,Thời Trang & Phụ Kiện Nam,Trang Sức Nam,Mặt Dây Chuyền Nam,https://www.lazada.vn/products/pdp-i2763546881.html,20000,0.0,0,0,No Brand,2026-05-01 02:14:59
"Mặt Dây Chuyền Hình Trái Tim Lửa Retro, Men Gốm, Gai, Phụ Kiện Làm Đồ Trang Sức Tự Làm, Kiểu Dáng Thời Thượng, Xuyên Biên Giới, Hình Trái Tim, Cá Tính.",13329944874,lazada,Thời Trang & Phụ Kiện Nam,Trang Sức Nam,Mặt Dây Chuyền Nam,https://www.lazada.vn/products/pdp-i13329944874.html,21000,0.0,0,0,No Brand,2026-05-01 02:14:59
Retro DIY Kích Thước Lớn Mặt Dây Chuyền Hình Rồng Hợp Kim Kẽm Hình Học Thời Trang Phụ Kiện Trang Sức Mạ Điện Cá Tính Sáng Tạo,13346299386,lazada,Thời Trang & Phụ Kiện Nam,Trang Sức Nam,Mặt Dây Chuyền Nam,https://www.lazada.vn/products/pdp-i13346299386.html,22200,0.0,0,0,No Brand,2026-05-01 02:14:59
"Mặt Dây Chuyền Hình Cánh Thiên Thần Với Mặt Dây Chuyền Hình Trái Tim Đính Kim Cương Bằng Công Nghệ Chuyển Nhiệt, Trang Sức Thời Trang Unisex Trên Dây Chuyền Trơn.",13356381477,lazada,Thời Trang & Phụ Kiện Nam,Trang Sức Nam,Mặt Dây Chuyền Nam,https://www.lazada.vn/products/pdp-i13356381477.html,22800,0.0,0,0,No Brand,2026-05-01 02:14:59
"Mặt Dây Chuyền Hình Con Rắn Lớn Nhiều Màu Sắc, Hợp Kim Kẽm, Màu Bạc Cổ Điển, Dùng Làm Phụ Kiện Trang Sức Tự Làm, Halloween, Bán Sỉ.",13339073552,lazada,Thời Trang & Phụ Kiện Nam,Trang Sức Nam,Mặt Dây Chuyền Nam,https://www.lazada.vn/products/pdp-i13339073552.html,23400,0.0,0,0,No Brand,2026-05-01 02:14:59
"Mặt Dây Chuyền Kim Loại Thép Titan, Chưa Khắc Chữ, Cắt Laser, Dành Cho Huy Hiệu Quân Đội, Chất Liệu Thép Không Gỉ, Có Thể Khắc Laser.",13359877714,lazada,Thời Trang & Phụ Kiện Nam,Trang Sức Nam,Mặt Dây Chuyền Nam,https://www.lazada.vn/products/pdp-i13359877714.html,23400,0.0,0,0,No Brand,2026-05-01 02:14:59
"Mặt Dây Chuyền Hình Dơi Ma Cà Rồng Gothic Mạ Bạc, Kích Thước Lớn, Hợp Kim Kẽm, Phong Cách Punk, Phụ Kiện Tự Làm Halloween, Xu Hướng Thời Trang, Họa Tiết Động Vật",13355755073,lazada,Thời Trang & Phụ Kiện Nam,Trang Sức Nam,Mặt Dây Chuyền Nam,https://www.lazada.vn/products/pdp-i13355755073.html,24000,0.0,0,0,No Brand,2026-05-01 02:14:59
"Mặt Dây Chuyền Hình Học Bằng Thép Không Gỉ Mịn, Bề Mặt Gương, Tự Làm, Khắc Laser, Phụ Kiện Trang Sức Quân Đội",13323527881,lazada,Thời Trang & Phụ Kiện Nam,Trang Sức Nam,Mặt Dây Chuyền Nam,https://www.lazada.vn/products/pdp-i13323527881.html,24600,0.0,0,0,No Brand,2026-05-01 02:14:59
"Mặt Dây Chuyền Nam Thời Trang Kiểu Dây Xích Cuba Bằng Thép Titan, Phong Cách Hình Học, Một Lớp, Thép Không Gỉ, Trang Sức Thời Trang Xuyên Biên Giới",13347244390,lazada,Thời Trang & Phụ Kiện Nam,Trang Sức Nam,Mặt Dây Chuyền Nam,https://www.lazada.vn/products/pdp-i13347244390.html,24600,0.0,0,0,No Brand,2026-05-01 02:14:59
"Mặt Dây Chuyền Thẻ Quân Nhân In Hình Cầu Thủ Bóng Đá CR7 Bằng Thép Không Gỉ, Trang Sức Thể Thao Unisex Dành Cho Các Cuộc Thi Xuyên Biên Giới",13331682419,lazada,Thời Trang & Phụ Kiện Nam,Trang Sức Nam,Mặt Dây Chuyền Nam,https://www.lazada.vn/products/pdp-i13331682419.html,24600,0.0,0,0,No Brand,2026-05-01 02:14:59
"Mặt Dây Chuyền Sapphire Tự Nhiên Nhật Ký Ma Cà Rồng, Dây Chuyền Hợp Kim Kẽm, Kiểu Dáng Thanh Lịch Cổ Điển, Trang Sức Thương Mại Điện Tử Xuyên Biên Giới",13332574885,lazada,Thời Trang & Phụ Kiện Nam,Trang Sức Nam,Mặt Dây Chuyền Nam,https://www.lazada.vn/products/pdp-i13332574885.html,24600,0.0,0,0,No Brand,2026-05-01 02:14:59
CANAMEK XIMEN 1 cái động vật tự nhiên răng cá mập răng khoáng vật quà tặng trang trí mặt dây chuyền,13322104134,lazada,Thời Trang & Phụ Kiện Nam,Trang Sức Nam,Mặt Dây Chuyền Nam,https://www.lazada.vn/products/pdp-i13322104134.html,24902,0.0,0,0,CANAMEK,2026-05-01 02:14:59
"Mặt dây chuyền răng heo chưa bọc bạc, đeo cổ thời trang nam nữ trẻ nhỏ.",3205310898,lazada,Thời Trang & Phụ Kiện Nam,Trang Sức Nam,Mặt Dây Chuyền Nam,https://www.lazada.vn/products/pdp-i3205310898.html,25000,5.0,2,0,No Brand,2026-05-01 02:14:59
"Mặt Dây Chuyền Nam Bằng Thép Không Gỉ Kiểu Quân Đội, Nhỏ Gọn, Chống Mất, Có Dịch Vụ Khắc Chữ, Phụ Kiện Thời Trang Dành Cho Người Lớn",13357054703,lazada,Thời Trang & Phụ Kiện Nam,Trang Sức Nam,Mặt Dây Chuyền Nam,https://www.lazada.vn/products/pdp-i13357054703.html,25200,0.0,0,0,No Brand,2026-05-01 02:14:59
"Mặt Dây Chuyền Thẻ Quân Nhân Bằng Thép Titan Nhiều Màu Sắc Với Mặt Dây Chuyền Bằng Thép Không Gỉ, Thiết Kế Logo Độc Đáo, Khắc Chữ Miễn Phí, Phụ Kiện Thời Trang",13357017080,lazada,Thời Trang & Phụ Kiện Nam,Trang Sức Nam,Mặt Dây Chuyền Nam,https://www.lazada.vn/products/pdp-i13357017080.html,25200,0.0,0,0,No Brand,2026-05-01 02:14:59
"10 Miếng Mặt Dây Chuyền Ba Chiều Hợp Kim Bạc Phong Cách Cổ Điển Dùng Làm Phụ Kiện Trang Sức Tự Làm, Sản Xuất Tại Trung Quốc",13355685453,lazada,Thời Trang & Phụ Kiện Nam,Trang Sức Nam,Mặt Dây Chuyền Nam,https://www.lazada.vn/products/pdp-i13355685453.html,25200,0.0,0,0,No Brand,2026-05-01 02:14:59
"Mặt Dây Chuyền Tròn Bằng Thép Không Gỉ Tự Làm, Thẻ Quân Đội Khắc Laser, Chất Liệu Bảng Đèn Dùng Làm Phụ Kiện Trang Sức",13359905294,lazada,Thời Trang & Phụ Kiện Nam,Trang Sức Nam,Mặt Dây Chuyền Nam,https://www.lazada.vn/products/pdp-i13359905294.html,25200,0.0,0,0,No Brand,2026-05-01 02:14:59
"Mặt Dây Chuyền Hình Số La Mã Cổ Điển Cao Cấp, Khóa Thời Gian Với Đá Quý, Hợp Kim Kim Loại, Phụ Kiện Trang Sức Tự Làm, Phong Cách Punk, Thiết Kế Hình Thánh Giá Vương Miện",13359622644,lazada,Thời Trang & Phụ Kiện Nam,Trang Sức Nam,Mặt Dây Chuyền Nam,https://www.lazada.vn/products/pdp-i13359622644.html,25200,0.0,0,0,No Brand,2026-05-01 02:14:59
"Mặt Dây Chuyền Dean's Evil Force, Trang Sức Kim Loại Dành Cho Nam Giới, Phong Cách Siêu Nhiên",13331026779,lazada,Thời Trang & Phụ Kiện Nam,Trang Sức Nam,Mặt Dây Chuyền Nam,https://www.lazada.vn/products/pdp-i13331026779.html,26400,0.0,0,0,No Brand,2026-05-01 02:14:59
"Mặt Dây Chuyền Đàn Guitar Hợp Kim Nhiều Màu Sắc Dành Cho Nam, Chất Liệu Thép Không Gỉ, Phụ Kiện Trang Sức Tự Làm, Đồ Trang Trí Treo Nhạc Cụ",13340734738,lazada,Thời Trang & Phụ Kiện Nam,Trang Sức Nam,Mặt Dây Chuyền Nam,https://www.lazada.vn/products/pdp-i13340734738.html,26400,0.0,0,0,No Brand,2026-05-01 02:14:59
"Mặt Dây Chuyền Thẻ Kim Loại Hợp Kim Titan Thép Không Gỉ Tùy Chỉnh 4x4x40MM, Khắc Chữ, Phụ Kiện Trang Sức",13355679396,lazada,Thời Trang & Phụ Kiện Nam,Trang Sức Nam,Mặt Dây Chuyền Nam,https://www.lazada.vn/products/pdp-i13355679396.html,26400,0.0,0,0,No Brand,2026-05-01 02:14:59
"Mặt Dây Chuyền Hình La Bàn, Ngọn Lửa, Sao Sáu Cánh Phong Cách Retro Punk Hip Hop, Chất Liệu Hợp Kim Kẽm, Kiểu Dáng Hình Học, Dây Dài, Dành Cho Nam.",13380930376,lazada,Thời Trang & Phụ Kiện Nam,Trang Sức Nam,Mặt Dây Chuyền Nam,https://www.lazada.vn/products/pdp-i13380930376.html,27500,0.0,0,0,No Brand,2026-05-01 02:14:59
"Mặt Dây Chuyền Chữ Khắc Trên Kính Hình Tròn Bầu Dục, Khắc 6 Chữ, Sáng Bóng, Mang Ý Nghĩa Lòng Trắc Ẩn, Được Tối Ưu Hóa SEO Thương Mại Điện Tử.",13360586534,lazada,Thời Trang & Phụ Kiện Nam,Trang Sức Nam,Mặt Dây Chuyền Nam,https://www.lazada.vn/products/pdp-i13360586534.html,27600,0.0,0,0,No Brand,2026-05-01 02:14:59
"Mặt Dây Chuyền Hình Học Bằng Thép Không Gỉ Gương, Logo Laser Hình Vuông, Phụ Kiện Trang Sức Tự Làm, Thời Trang, Nguồn Gốc Trung Quốc",13356595969,lazada,Thời Trang & Phụ Kiện Nam,Trang Sức Nam,Mặt Dây Chuyền Nam,https://www.lazada.vn/products/pdp-i13356595969.html,27600,0.0,0,0,No Brand,2026-05-01 02:14:59
MẶT DÂY CHUYỀN XOÀN PHA LÊ MẠ VÀNG 18K SÁNG BÓNG LẤP LÁNH,2380762133,lazada,Thời Trang & Phụ Kiện Nam,Trang Sức Nam,Mặt Dây Chuyền Nam,https://www.lazada.vn/products/pdp-i2380762133.html,28000,5.0,4,0,OEM,2026-05-01 02:14:59
"Mặt Dây Chuyền Hình Hạt Đậu May Mắn Mạ Đồng, Vàng Sa Khoáng, Kiểu Giọt Dầu, Dùng Làm Phụ Kiện Tự Chế Vòng Tay Chiêu Tài, Thiết Kế Răng Hổ, Trang Sức Trang Trí.",13352070807,lazada,Thời Trang & Phụ Kiện Nam,Trang Sức Nam,Mặt Dây Chuyền Nam,https://www.lazada.vn/products/pdp-i13352070807.html,28200,0.0,0,0,No Brand,2026-05-01 02:14:59
"Mặt Dây Chuyền Cung Hoàng Đạo Pha Lê Phát Sáng Nam, Dây Đỏ May Mắn, Phong Cách Động Vật Trung Hoa, Trang Sức Cá Nhân Hóa, Theo Xu Hướng",13335486179,lazada,Thời Trang & Phụ Kiện Nam,Trang Sức Nam,Mặt Dây Chuyền Nam,https://www.lazada.vn/products/pdp-i13335486179.html,28200,0.0,0,0,No Brand,2026-05-01 02:14:59
"Mặt Dây Chuyền Hình Chữ Nhật Dài Bằng Thép Không Gỉ Đánh Bóng Gương, Lỗ Đơn, Phụ Kiện Trang Sức Tự Làm, Có Thể Khắc Tùy Chỉnh, Vật Trang Trí",13357747567,lazada,Thời Trang & Phụ Kiện Nam,Trang Sức Nam,Mặt Dây Chuyền Nam,https://www.lazada.vn/products/pdp-i13357747567.html,28200,0.0,0,0,No Brand,2026-05-01 02:14:59
"Mặt Dây Chuyền Hình Đầu Đại Bàng Bằng Nhựa Resin Phong Cách Retro Unisex, Dây Chuyền Áo Len, Trang Sức Hình Răng Sói, Trang Sức Cung Hoàng Đạo, Phụ Kiện Cho Mọi Dịp",13346508929,lazada,Thời Trang & Phụ Kiện Nam,Trang Sức Nam,Mặt Dây Chuyền Nam,https://www.lazada.vn/products/pdp-i13346508929.html,28200,0.0,0,0,No Brand,2026-05-01 02:14:59
"Mặt Dây Chuyền Nam Hình Dấu Hiệu Hòa Bình Bằng Nhựa Thời Trang, Dây Sợi Đen, Phong Cách Dân Tộc Thiểu Số Hiện Đại, Phụ Kiện Cá Tính",13324539155,lazada,Thời Trang & Phụ Kiện Nam,Trang Sức Nam,Mặt Dây Chuyền Nam,https://www.lazada.vn/products/pdp-i13324539155.html,28200,0.0,0,0,No Brand,2026-05-01 02:14:59
"Mặt Dây Chuyền Sao Trăng Mây Chòm Sao Bằng Thép Titan Gương, Phụ Kiện Làm Trang Sức Tự Làm, Chuỗi Hạt Dòng Thiên Văn, Dành Cho Bán Hàng Xuyên Biên Giới",13351287996,lazada,Thời Trang & Phụ Kiện Nam,Trang Sức Nam,Mặt Dây Chuyền Nam,https://www.lazada.vn/products/pdp-i13351287996.html,28800,0.0,0,0,No Brand,2026-05-01 02:14:59
