title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
nhẫn Mỹ phom nữ 1995 nhỏ gọn,3169981409,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Nhẫn Thời Trang,https://www.lazada.vn/products/pdp-i3169981409.html,123840,5.0,27,54,No Brand,2026-05-06 15:45:25
Nhẫn Nam cao cấp đính đá Đỏ thời trang Đẹp,2004089083,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Nhẫn Thời Trang,https://www.lazada.vn/products/pdp-i2004089083.html,91140,4.8,26,104,No Brand,2026-05-06 15:45:25
Nhẫn Phong Thủy Thần Tài Ông Địa Đá Vàng Cực Chất Tubi Cony - N236- 106  - Bền Màu - Hút Tài Hút Lộc - Bình An - TCH,2129404730,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Nhẫn Thời Trang,https://www.lazada.vn/products/pdp-i2129404730.html,84390,4.6,19,48,No Brand,2026-05-06 15:45:25
Đồng hồ nhẫn đeo ngón tay út ngón trỏ ngón cái nhẫn đính đá nam nữ phong thủy mạ vàng đẹp,2261794575,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Nhẫn Thời Trang,https://www.lazada.vn/products/pdp-i2261794575.html,69000,4.9,42,142,No Brand,2026-05-06 15:45:25
Nhẫn Nam Inox Cao Cấp Chữ Phước Rẻ Đẹp,1336690583,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Nhẫn Thời Trang,https://www.lazada.vn/products/pdp-i1336690583.html,70000,4.8,70,210,No Brand,2026-05-06 15:45:25
Nhẫn nam thép titan đính kim cương nhân tạo unisex cao cấp phong cách thời trang trẻ trung mã D2,2130339872,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Nhẫn Thời Trang,https://www.lazada.vn/products/pdp-i2130339872.html,25000,5.0,10,46,No Brand,2026-05-06 15:45:25
Nhẫn Nam Titan Khảm  Rồng  Đẳng Cấp Vĩnh Viễn Không Đen RBTITANRUBBY,277934243,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Nhẫn Thời Trang,https://www.lazada.vn/products/pdp-i277934243.html,37620,4.2,414,1900,NT Shop,2026-05-06 15:45:25
HR-Bạc S925 Nam Cá Tính Bạc May Mắn Độc Đoán Retro Nhẫn Xoay Được Món Quà May Mắn Trang Sức,2228445642,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Nhẫn Thời Trang,https://www.lazada.vn/products/pdp-i2228445642.html,127597,4.9,35,81,No Brand,2026-05-06 15:45:25
Nhẫn nam đính đá vàng 18k không bay màu thời trang đẳng cấp_BMS,2532301813,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Nhẫn Thời Trang,https://www.lazada.vn/products/pdp-i2532301813.html,106700,5.0,36,85,No Brand,2026-05-06 15:45:25
Nhẫn cặp đẹp tình nhân nhẫn đôi đẹp nhiều mẫu không đen không gỉ xài nước tốt (1 cặp) - Ngừ Đẹp Vì Lụa,233104242,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Nhẫn Thời Trang,https://www.lazada.vn/products/pdp-i233104242.html,49900,4.4,38,191,No Brand,2026-05-06 15:45:25
Nhẫn nam thời trang hình kỳ lân không phai màu đẳng cấp,2563564673,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Nhẫn Thời Trang,https://www.lazada.vn/products/pdp-i2563564673.html,90200,4.8,33,64,No Brand,2026-05-06 15:45:25
Nhẫn nam bạc 925 thời trang đính đá thân khắc nổi đẳng cấp,2574830878,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Nhẫn Thời Trang,https://www.lazada.vn/products/pdp-i2574830878.html,120000,5.0,11,21,No Brand,2026-05-06 15:45:25
nhẫn nam đẹp khắc hình rồng nổi bật không phai không bay màu,585874816,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Nhẫn Thời Trang,https://www.lazada.vn/products/pdp-i585874816.html,95200,4.7,1153,3900,No Brand,2026-05-06 15:45:25
Nhẫn nam titan đá đỏ sư tử cao cấp không đen màu mạ vàng thép không gỉ PTNNA216,1980681277,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Nhẫn Thời Trang,https://www.lazada.vn/products/pdp-i1980681277.html,59232,5.0,20,41,No Brand,2026-05-06 15:45:25
"Nhẫn trơn inox 4mm màu trắng sáng đẹp, không đen , hợp thời trang",1851739447,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Nhẫn Thời Trang,https://www.lazada.vn/products/pdp-i1851739447.html,8730,4.9,42,137,No Brand,2026-05-06 15:45:25
Nhẫn nam đính đá vàng 18k thời trang không bay màu đẳng cấp,2532459093,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Nhẫn Thời Trang,https://www.lazada.vn/products/pdp-i2532459093.html,98400,4.9,31,53,No Brand,2026-05-06 15:45:25
"Nhẫn thời trang cao su mềm, silicon mềm cho nam nữ nhiều màu sắc thời trang - many colors rubber silicon ring",2262129765,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Nhẫn Thời Trang,https://www.lazada.vn/products/pdp-i2262129765.html,25000,4.6,57,299,No Brand,2026-05-06 15:45:25
"Nhẫn khui bia nam nữ, dây xích xoay, thời trang cá tính cực ngầu [FULL SIZE, ẢNH, VIDEO THẬT]",1254612039,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Nhẫn Thời Trang,https://www.lazada.vn/products/pdp-i1254612039.html,13000,4.9,67,381,No Brand,2026-05-06 15:45:25
"( N479 - QT ) Nhẫn Nữ  Mạ Vàng 18K Hoa Kiểu Độc Lạ N479 - 0520602 - Mang đi chơi, đi tiệc rất đẹp - Đổi Trả Trong Vòng 07 Ngày - Tặng Kèm Hộp Trang Sức- nhẫn nữ đẹp, nhẫn nữ thời trang",1177990061,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Nhẫn Thời Trang,https://www.lazada.vn/products/pdp-i1177990061.html,76630,4.9,73,303,No Brand,2026-05-06 15:45:25
[ N300 ] Nhẫn Nam Phong Thủy Kỳ Lân Mạ Vàng  - Mang Nhìn Rất Mạnh Mẽ - Phong Thủy - Tubi Cony - trang sức nam - nhẫn nam,344550053,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Nhẫn Thời Trang,https://www.lazada.vn/products/pdp-i344550053.html,96030,4.7,109,423,No Brand,2026-05-06 15:45:25
"Nhẫn trơn nam nữ, thép titan siêu bền không gỉ, thời trang cá tính cực ngầu",1525367075,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Nhẫn Thời Trang,https://www.lazada.vn/products/pdp-i1525367075.html,12900,5.0,31,166,No Brand,2026-05-06 15:45:25
"Nhẫn Nam Inox Chữ Phước To, Hàng Bao Đẹp Thời Trang Cá Tính Không Đen Thép Không Gỉ - QCNN08",1991130005,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Nhẫn Thời Trang,https://www.lazada.vn/products/pdp-i1991130005.html,79000,5.0,15,55,No Brand,2026-05-06 15:45:25
"Nhẫn Bạc Nữ Trơn Mảnh Nhẫn Nữ Bạc 925 Tròn Trơn, Nhẫn Bạc Cá Tính",867416567,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Nhẫn Thời Trang,https://www.lazada.vn/products/pdp-i867416567.html,29000,4.8,32,234,No Brand,2026-05-06 15:45:25
Hộp nhẫn 12 nhẫn trang sức cho bé gái trẻ em lấp lánh đẹp lung linh,2071374725,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Nhẫn Thời Trang,https://www.lazada.vn/products/pdp-i2071374725.html,60000,5.0,1,0,No Brand,2026-05-06 15:45:25
"[ N350 ] Nhẫn Nam Mạ Vàng 18K ( 01 Chiếc )  Mẫu 058.0305 - Che khuyết điểm ngón tay - giá cả phải chăng - Bao Đổi Trả Trong 07 Ngày - nhẫn nam đẹp, trang sức nam",544240892,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Nhẫn Thời Trang,https://www.lazada.vn/products/pdp-i544240892.html,101850,4.8,40,214,No Brand,2026-05-06 15:45:25
"[ N166 ] Nhẫn Nữ  Thời Trang Vàng 18K  Mẫu 046.2004 - Bền màu, mang đi chơi, đi tiệc đều được- Tubi Cony - trang sức nữ",524832595,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Nhẫn Thời Trang,https://www.lazada.vn/products/pdp-i524832595.html,88270,4.7,15,63,No Brand,2026-05-06 15:45:25
Nhẫn thời trang đính đá sáng lấp lánh thời trang hàn quốc,2531482133,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Nhẫn Thời Trang,https://www.lazada.vn/products/pdp-i2531482133.html,50000,0.0,0,0,No Brand,2026-05-06 15:45:25
【COD】 Dành cho Nam Nữ Cổ điển Thời trang Quà Tặng Nhẫn Đeo Ngón Tay Thạch Anh Tròn Đồng hồ nhẫn Đồng hồ kỹ thuật số Vòng co giãn đàn hồi,2270859751,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Nhẫn Thời Trang,https://www.lazada.vn/products/pdp-i2270859751.html,57000,5.0,83,353,No Brand,2026-05-06 15:45:25
