title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"Phụ kiện giày cao gót Luzi, dây chứ Y chống tuột rớt gót, Dây đeo mắt cá chân kim cương giả PK_LZ",2739348328,lazada,Thời trang & Phụ kiện Nữ,Giày nữ,Phụ kiện giày,https://www.lazada.vn/products/pdp-i2739348328.html,39000,5.0,9,32,No Brand,2026-05-06 14:07:20
Phụ kiện/cặp nút gót thay thế cho giày cao gót ND253,2381527495,lazada,Thời trang & Phụ kiện Nữ,Giày nữ,Phụ kiện giày,https://www.lazada.vn/products/pdp-i2381527495.html,9900,5.0,11,161,No Brand,2026-05-06 14:07:20
ONLYES 1 Pair Mùa đông Phụ Kiện Giày Bền Đinh Giày đi tuyết Đinh chống trượt Giày cao gót Kẹp đá,13321939194,lazada,Thời trang & Phụ kiện Nữ,Giày nữ,Phụ kiện giày,https://www.lazada.vn/products/pdp-i13321939194.html,60136,5.0,3,0,ACNTENY,2026-05-06 14:07:20
"Phụ kiện giày JJBXC CHARM, khóa giày chéo, phụ kiện giày hoạt hình Minecraft, phụ kiện giày thời trang DIY",3238236340,lazada,Thời trang & Phụ kiện Nữ,Giày nữ,Phụ kiện giày,https://www.lazada.vn/products/pdp-i3238236340.html,23339,0.0,0,7,No Brand,2026-05-06 14:07:20
Set 10 Charm Jibbitz 3D Có Chuôi bonɡ Bóng Phụ Kiện Giày Dép Trang Trí Xinh Xắn Dễ Thương,13332278602,lazada,Thời trang & Phụ kiện Nữ,Giày nữ,Phụ kiện giày,https://www.lazada.vn/products/pdp-i13332278602.html,55000,0.0,0,0,No Brand,2026-05-06 14:07:20
"Phụ kiện giày cao gót Luzi, miếng dán chống trơn trượt dùng cho giày cao gót và các loại giày PK_LZ",2804213198,lazada,Thời trang & Phụ kiện Nữ,Giày nữ,Phụ kiện giày,https://www.lazada.vn/products/pdp-i2804213198.html,9000,5.0,1,9,No Brand,2026-05-06 14:07:20
Set 9 Charm Sticker Jibbitz Thỏ Ngọc Đeo Kính Mũ Phụ Kiện Giày Dép Trang Trí Đẹp Mắt,13332174870,lazada,Thời trang & Phụ kiện Nữ,Giày nữ,Phụ kiện giày,https://www.lazada.vn/products/pdp-i13332174870.html,75000,0.0,0,0,No Brand,2026-05-06 14:07:20
Phụ Kiện Giày Crocs Pokemon Clogs DIY Phụ Kiện Giày Clogs Phụ Kiện Giày Cross Clogs Giày Clogs Pokemon Clogs,2791785700,lazada,Thời trang & Phụ kiện Nữ,Giày nữ,Phụ kiện giày,https://www.lazada.vn/products/pdp-i2791785700.html,25110,5.0,1,123,No Brand,2026-05-06 14:07:20
"Phụ kiện giày JJBXC Charm, khóa giày chéo, phụ kiện giày kinh dị ma cà rồng, phụ kiện giày thời trang DIY",3238059427,lazada,Thời trang & Phụ kiện Nữ,Giày nữ,Phụ kiện giày,https://www.lazada.vn/products/pdp-i3238059427.html,23339,0.0,0,0,No Brand,2026-05-06 14:07:20
1 MỘT cặp quai đai co giãn có đính đá sang trọng trang trí giày chống tuột gót,2516234472,lazada,Thời trang & Phụ kiện Nữ,Giày nữ,Phụ kiện giày,https://www.lazada.vn/products/pdp-i2516234472.html,29000,5.0,32,164,No Brand,2026-05-06 14:07:20
"1CẶP dây đai co giãn đính đá sang trọng trang trí giày dép,chống tuột gót chân khi mang giày",2519633740,lazada,Thời trang & Phụ kiện Nữ,Giày nữ,Phụ kiện giày,https://www.lazada.vn/products/pdp-i2519633740.html,29000,5.0,16,50,No Brand,2026-05-06 14:07:20
