title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Dây Giày Tự Động Có Khóa Xoay Thời Trang Dành Cho Trẻ Em Và Người Lớn Dây Giày Không Cần Buộc Cho Giày Thể Thao Dây Giày Tròn Bằng Polyester 1 Cặp/2 Đôi,3231955213,lazada,Thời trang & Phụ kiện Trẻ Em,Giày bé trai,Phụ kiện giày bé trai,https://www.lazada.vn/products/pdp-i3231955213.html,125000,0.0,0,100,No Brand,2026-05-05 09:28:31
Dây giày không buộc dây giày Báo Chí khóa dây giày mà không cần quan hệ dây thun sneaker trẻ em Người lớn 8mm mở rộng phẳng dây giày cho giày,2594762957,lazada,Thời trang & Phụ kiện Trẻ Em,Giày bé trai,Phụ kiện giày bé trai,https://www.lazada.vn/products/pdp-i2594762957.html,21512,0.0,0,31,No Brand,2026-05-05 09:28:31
AllGIFT 1Pair Dây giày thể thao Dây giày lười Không buộc Đàn hồi Dây Giày Sneaker Bền Cao su Dây giày khóa Dành cho trẻ em Người lớn,3305898138,lazada,Thời trang & Phụ kiện Trẻ Em,Giày bé trai,Phụ kiện giày bé trai,https://www.lazada.vn/products/pdp-i3305898138.html,27750,0.0,0,0,No Brand,2026-05-05 09:28:31
Set 10 Sticker Kitty Nơ Bạc Lấp Lánh Dễ Thương Trang Trí Giày Dép Cross Có Gắn Nút,13332217820,lazada,Thời trang & Phụ kiện Trẻ Em,Giày bé trai,Phụ kiện giày bé trai,https://www.lazada.vn/products/pdp-i13332217820.html,65000,0.0,0,0,No Brand,2026-05-05 09:28:31
"Set 14 Jibbitz, Sticker, Charm 3D chủ đề Pokemon DIY Mayto nhựa cứng gắn Dép Crocs, Cross, Dép Sục, Cá Sấu JB-78",2494509855,lazada,Thời trang & Phụ kiện Trẻ Em,Giày bé trai,Phụ kiện giày bé trai,https://www.lazada.vn/products/pdp-i2494509855.html,64350,0.0,0,46,No Brand,2026-05-05 09:28:31
"Set 10 Cái Charm Sticker Gắn Dép Cross, Dép Sục Theo chủ đề Babyy Cryy",3230577078,lazada,Thời trang & Phụ kiện Trẻ Em,Giày bé trai,Phụ kiện giày bé trai,https://www.lazada.vn/products/pdp-i3230577078.html,32000,0.0,0,0,No Brand,2026-05-05 09:28:31
Bộ Sticker Charn Nổi Tom Và jerry Gắn Dép Crocs,2065516725,lazada,Thời trang & Phụ kiện Trẻ Em,Giày bé trai,Phụ kiện giày bé trai,https://www.lazada.vn/products/pdp-i2065516725.html,44550,0.0,0,44,No Brand,2026-05-05 09:28:31
Dây Giày Đàn Hồi Nhiều Màu Tùy Chọn Của Giày Thể Thao Dây Giày Đế Bằng Không Có Dây Buộc Thông Thường Cho Người Lớn Và Trẻ Em Dây Giày Lười 25 Màu,2090115342,lazada,Thời trang & Phụ kiện Trẻ Em,Giày bé trai,Phụ kiện giày bé trai,https://www.lazada.vn/products/pdp-i2090115342.html,35000,0.0,0,114,No Brand,2026-05-05 09:28:31
Set 9 Charm Sticker Jibbitz Thỏ Ngọc Đeo Kính Mũ Phụ Kiện Giày Dép Trang Trí Đẹp Mắt,13332174870,lazada,Thời trang & Phụ kiện Trẻ Em,Giày bé trai,Phụ kiện giày bé trai,https://www.lazada.vn/products/pdp-i13332174870.html,75000,0.0,0,0,No Brand,2026-05-05 09:28:31
"Phụ kiện giày JJBXC CHARM, khóa giày chéo, phụ kiện giày hoạt hình Minecraft, phụ kiện giày thời trang DIY",3238236340,lazada,Thời trang & Phụ kiện Trẻ Em,Giày bé trai,Phụ kiện giày bé trai,https://www.lazada.vn/products/pdp-i3238236340.html,23339,0.0,0,7,No Brand,2026-05-05 09:28:31
