title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
chun buộc tóc phụ kiện cài đầu 3,13381562122,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Phụ kiện tóc,https://www.lazada.vn/products/pdp-i13381562122.html,,0.0,0,0,No Brand,2026-05-04 19:41:41
ZTOYL Cổ xưa tóc đũa Cổ Điển Trung Quốc Phụ nữ tóc dính phụ nữ ngọc trai đồ trang sức tóc Gậy Hanfu Mũ Phụ Kiện Kẹp Tóc,3063228301,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Phụ kiện tóc,https://www.lazada.vn/products/pdp-i3063228301.html,10205.0,5.0,11,45,ZTOYL,2026-05-04 19:41:41
PANPIA 4 cái của phụ nữ xoắn ốc tóc quan hệ điện thoại dây tóc dây tóc Vòng đàn hồi ban nhạc cao su scrunchies mũ nón Phụ kiện tóc,3187040823,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Phụ kiện tóc,https://www.lazada.vn/products/pdp-i3187040823.html,10651.0,0.0,0,13,PANPIA,2026-05-04 19:41:41
[FREESHIP MAX 15K]  Dây Cột Tóc Giả Búi Xoăn Kiểu Dáng Hàn Quốc - Cột tóc giả Scrunchies,2096545073,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Phụ kiện tóc,https://www.lazada.vn/products/pdp-i2096545073.html,14000.0,5.0,20,197,No Brand,2026-05-04 19:41:41
"Kẹp Tóc Kim Loại Mini Thời Trang Chống Trượt, Thiết Kế Hình Học Rỗng Màu Vàng, Phụ Kiện Tóc Đơn Giản Hàng Ngày Dành Cho Cả Nam Và Nữ, Tiện Lợi Khi Đi Du Lịch",3308200721,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Phụ kiện tóc,https://www.lazada.vn/products/pdp-i3308200721.html,57950.0,0.0,0,23,No Brand,2026-05-04 19:41:41
Vintlook cô gái dễ thương phụ kiện tóc Bộ đồ màu hồng phim hoạt hình siêu dễ thương barrettes 50 cái thời trang phù hợp với,3038569347,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Phụ kiện tóc,https://www.lazada.vn/products/pdp-i3038569347.html,24000.0,4.9,64,263,VINTLOOK,2026-05-04 19:41:41
PANPIA Hai Lớp Lụa Organza Scrunchies Ngọt Ngào Hoa Tóc Ban Nhạc Cho Cô Gái Tóc Đuôi Ngựa Chủ Cao Su Ban Nhạc Tóc Quan Hệ Tóc Phụ Kiện Tóc,3187214004,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Phụ kiện tóc,https://www.lazada.vn/products/pdp-i3187214004.html,10721.0,5.0,9,61,PANPIA,2026-05-04 19:41:41
NING ZHOU | Dây Buộc Tóc Scrunchies Phong Cách Hàn Quốc Cao Cấp,3193567871,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Phụ kiện tóc,https://www.lazada.vn/products/pdp-i3193567871.html,75000.0,4.9,228,67,NING ZHOU,2026-05-04 19:41:41
Tóc giả búi kẹp ngoặm xoăn lơi búi cột xoăn trung niên cho nữ - Phụ kiện RYRY,2595868325,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Phụ kiện tóc,https://www.lazada.vn/products/pdp-i2595868325.html,68000.0,4.5,6,36,No Brand,2026-05-04 19:41:41
Kẹp Tóc Acrylic Hoa Hàn Quốc Cỡ Lớn Cho Phụ Nữ Phụ Kiện Tóc Thời Trang Thanh Lịch Kẹp Cá Mập Phụ Kiện Tóc Cho Phụ Nữ,3253274295,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Phụ kiện tóc,https://www.lazada.vn/products/pdp-i3253274295.html,33000.0,5.0,1,194,No Brand,2026-05-04 19:41:41
"Phụ Kiện Tóc Nữ Giảm Tuổi Tác Màu Hồng, Dây Buộc Tóc Rửa Mặt, Dây Buộc Tóc Cao, Phụ Kiện Tóc Mùa Thu Đông, Cảm Giác Cao Cấp",2902569791,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Phụ kiện tóc,https://www.lazada.vn/products/pdp-i2902569791.html,24000.0,4.8,20,332,No Brand,2026-05-04 19:41:41
Bộ 50 Màu Hỗn Hợp Dây Buộc Tóc Co Giãn Cho Bé Gái Đơn Giản Dây Buộc Tóc Phụ Kiện Tóc Thời Trang Thoáng Khí Họa Tiết Hình Học Cho Thể Thao,2765689347,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Phụ kiện tóc,https://www.lazada.vn/products/pdp-i2765689347.html,39900.0,4.9,48,217,No Brand,2026-05-04 19:41:41
"Phụ Kiện Tóc Hoa Cài Tóc Bằng Dây Thun Cao Cấp, Dây Buộc Tóc Scrunchie Lớn, Dây Buộc Tóc Đuôi Ngựa Đàn Hồi Dành Cho Nữ, Dây Buộc Tóc Búi Cao",3048862405,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Phụ kiện tóc,https://www.lazada.vn/products/pdp-i3048862405.html,49600.0,4.8,30,87,No Brand,2026-05-04 19:41:41
"Dây buộc tóc, Cột tóc Scrunchies Nhiều Màu Nhiều Mẫu",2031472537,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Phụ kiện tóc,https://www.lazada.vn/products/pdp-i2031472537.html,49900.0,5.0,3,25,No Brand,2026-05-04 19:41:41
Kẹp Tóc Nhỏ Phong Cách Retro Dành Cho Mái Ngố Bên,13336503927,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Phụ kiện tóc,https://www.lazada.vn/products/pdp-i13336503927.html,22000.0,0.0,0,463,LIWEINA,2026-05-04 19:41:41
"Phụ Kiện Tóc Bán Buôn: Dây Buộc Tóc Thun Chất Liệu Satin Trơn Màu Sang Trọng, Kiểu Xếp Ly, Dành Cho Nữ, Giữ Đuôi Ngựa Chắc Chắn",3277678882,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Phụ kiện tóc,https://www.lazada.vn/products/pdp-i3277678882.html,51300.0,4.7,3,5,No Brand,2026-05-04 19:41:41
Phụ Kiện Tóc Hoa Bướm Phong Cách Trung Hoa Cổ Điển Mới Ngọt Ngào Phụ Kiện Chụp Ảnh Phụ Kiện Tóc Lông Phụ Kiện Tóc Bên Hông,3253130978,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Phụ kiện tóc,https://www.lazada.vn/products/pdp-i3253130978.html,40000.0,5.0,3,194,No Brand,2026-05-04 19:41:41
Combo 100 cột tóc nhiều hình,1730428515,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Phụ kiện tóc,https://www.lazada.vn/products/pdp-i1730428515.html,49900.0,4.9,69,342,No Brand,2026-05-04 19:41:41
Bộ 50 Nhiều Màu Sắc Nylon Co Giãn Dây Buộc Tóc Cho Bé Gái Đuôi Ngựa Giữ Scrunchie Cao Su Cho Bé Phụ Kiện Tóc Kid Thời Trang,2750979560,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Phụ kiện tóc,https://www.lazada.vn/products/pdp-i2750979560.html,20500.0,5.0,22,78,No Brand,2026-05-04 19:41:41
JULYHOT Thanh lịch in ren cạnh rộng scrunches cho phụ nữ Cô Gái Tóc ngọt ngào Tie dễ thương tinh tế tóc ban nhạc Thời Trang Phụ Kiện Tóc Quà Tặng,2901563985,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Phụ kiện tóc,https://www.lazada.vn/products/pdp-i2901563985.html,11335.0,5.0,1,16,JULYHOT,2026-05-04 19:41:41
"Kẹp Tóc Nơ Đính Đá Lớn Sang Trọng Dành Cho Nữ, Kẹp Tóc Ngọc Trai Ngọt Ngào, Phụ Kiện Tóc Thời Trang, Họa Tiết Hình Học, Phong Cách Thường Ngày Dành Cho Người Lớn",3124678870,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Phụ kiện tóc,https://www.lazada.vn/products/pdp-i3124678870.html,60000.0,0.0,0,0,No Brand,2026-05-04 19:41:41
Cài Tóc Nhựa Sóng Có Răng Giữ Chặt Tóc Phụ Kiện Tóc Nữ Và Bé Gái Xu Hướng Thời Trang Hot Hàn Quốc,1963895609,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé gái,Phụ kiện tóc,https://www.lazada.vn/products/pdp-i1963895609.html,30000.0,4.9,124,1800,No Brand,2026-05-04 19:41:41
