title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
ELFINM Màu sắc pastel Bùa điện thoại hình hoa sao Trang trí túi xách Hạt gốm Dây đeo điện thoại di động Thời trang Móc khóa  dây chuyền Dây đeo điện thoại Phụ nữ và trẻ em gái,13355901295,lazada,Thời trang & Phụ kiện Trẻ Em,Túi Trẻ Em,Phụ Kiện Túi Trẻ Em,https://www.lazada.vn/products/pdp-i13355901295.html,31000,0.0,0,0,No Brand,2026-05-04 19:53:47
"Combo 100 Charm, Túi Mù Mô Hình Chai Nước, Đồ Ăn Mini Không Trùng Lặp Làm Đồ Thủ Công DIY Trang Trí Nhà Búp Bê",3077381675,lazada,Thời trang & Phụ kiện Trẻ Em,Túi Trẻ Em,Phụ Kiện Túi Trẻ Em,https://www.lazada.vn/products/pdp-i3077381675.html,67000,0.0,0,33,No Brand,2026-05-04 19:53:47
Túi Đựng Đồ Lót 2 Mặt Treo Tủ Tiện Lợi,2137625382,lazada,Thời trang & Phụ kiện Trẻ Em,Túi Trẻ Em,Phụ Kiện Túi Trẻ Em,https://www.lazada.vn/products/pdp-i2137625382.html,27900,0.0,0,365,No Brand,2026-05-04 19:53:47
SIRENXI Lưới Túi lưới cho xe đẩy em bé Sức chứa lớn Xe đẩy Túi treo xe đẩy Phổ thông Phụ kiện xe đẩy Túi đựng xe đẩy em bé Xe đẩy,13380475430,lazada,Thời trang & Phụ kiện Trẻ Em,Túi Trẻ Em,Phụ Kiện Túi Trẻ Em,https://www.lazada.vn/products/pdp-i13380475430.html,53000,0.0,0,0,No Brand,2026-05-04 19:53:47
"Thẻ không khí-4 gói Apple trẻ em trường hợp ẩn, airtag Tracker cho trẻ em, airtag ẩn trẻ em chủ với pin vô hình, chống lạc, cho trẻ em, người già, hành lý, quần áo",2795130213,lazada,Thời trang & Phụ kiện Trẻ Em,Túi Trẻ Em,Phụ Kiện Túi Trẻ Em,https://www.lazada.vn/products/pdp-i2795130213.html,34127,0.0,0,19,No Brand,2026-05-04 19:53:47
Insular | Đa Năng Xe Đẩy Cho Bé Tổ Chức Pram Giá Đựng Bình Sữa Đa Năng Xe Đẩy Caddy Túi Đựng Tã Bảo Quản Phụ Kiện Cho Bà Bầu,13368353077,lazada,Thời trang & Phụ kiện Trẻ Em,Túi Trẻ Em,Phụ Kiện Túi Trẻ Em,https://www.lazada.vn/products/pdp-i13368353077.html,142350,0.0,0,0,No Brand,2026-05-04 19:53:47
SIRENXI 2Pcs Đa chức năng Túi lưới cho xe đẩy em bé Túi đôi Túi treo Túi lưới xe đẩy Di động Phối cảnh Túi đựng xe đẩy cho xe đẩy em bé,13380549119,lazada,Thời trang & Phụ kiện Trẻ Em,Túi Trẻ Em,Phụ Kiện Túi Trẻ Em,https://www.lazada.vn/products/pdp-i13380549119.html,72704,0.0,0,0,No Brand,2026-05-04 19:53:47
❤️ [Loại đeo không đau vai] Đai Túi treo tay dây H2 ORBE đai treo tay hỗ trợ cánh tay gãy tay cho người lớn trẻ em ORBE H2 ĐAI TREO TAY H2 ORBE TÚI TREO GÃY TAY H2 ORBE,1975426737,lazada,Thời trang & Phụ kiện Trẻ Em,Túi Trẻ Em,Phụ Kiện Túi Trẻ Em,https://www.lazada.vn/products/pdp-i1975426737.html,58080,0.0,0,103,No Brand,2026-05-04 19:53:47
SIRENXI Đã in Túi xe đẩy em bé Vải Oxford Dung lượng lớn Túi treo xe Dễ thương Đa chức năng Túi tổ chức xe đẩy hoạt hình Phụ kiện xe ngựa,13380719665,lazada,Thời trang & Phụ kiện Trẻ Em,Túi Trẻ Em,Phụ Kiện Túi Trẻ Em,https://www.lazada.vn/products/pdp-i13380719665.html,117104,0.0,0,0,No Brand,2026-05-04 19:53:47
"Phụ Kiện Trang Trí Giáng Sinh, Lễ Hội, Túi Quà Hình Chiếc Tất 38x20CM - Thời Trang Trẻ Em 6688",2802391219,lazada,Thời trang & Phụ kiện Trẻ Em,Túi Trẻ Em,Phụ Kiện Túi Trẻ Em,https://www.lazada.vn/products/pdp-i2802391219.html,64000,0.0,0,0,No Brand,2026-05-04 19:53:47
