title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
[CHỈ 20h 04-07.05 QT Đơn 899K/1199K][Số miếng tặng thay đổi tùy đợt nhập hàng] Tã/bỉm quần Bobby 3mm Jumbo Gạo non Giảm nhiệt XXXL22,2208620717,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé trai,Quần dài bé trai,https://www.lazada.vn/products/pdp-i2208620717.html,184000,0.0,0,74600,No Brand,2026-05-04 22:15:29
"Quần tây học sinh nam nữ cấp 1 cấp 2 màu xanh đen ( Lớp 1 đến lớp 9),  Quần dài học sinh Đồng phục học sinh tiểu học, trung học, đồ đi học cho bé trai, bé gái",852952488,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé trai,Quần dài bé trai,https://www.lazada.vn/products/pdp-i852952488.html,68310,0.0,0,4700,No Brand,2026-05-04 22:15:29
"Quần dài chống muỗi , chống nắng , giữ ấm cho bé trai , bé gái thun cotton dày mịn",2369657600,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé trai,Quần dài bé trai,https://www.lazada.vn/products/pdp-i2369657600.html,14900,0.0,0,1100,No Brand,2026-05-04 22:15:29
Quần em bé chất cotton KING thoải mái mát mẻ mặc 4 mùa,2159117517,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé trai,Quần dài bé trai,https://www.lazada.vn/products/pdp-i2159117517.html,32620,0.0,0,28,No Brand,2026-05-04 22:15:29
"Quần Jogger Túi Hộp Cho Bé Trai Bé Gái, Nam Nữ Thời Trang trẻ em Moonbe Quần Gió Túi Hộp",3189867615,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé trai,Quần dài bé trai,https://www.lazada.vn/products/pdp-i3189867615.html,126650,0.0,0,66,No Brand,2026-05-04 22:15:29
"Quần Dài Thun Gân Bo Lai chống nắng, chống muỗi, giữ ấm cho bé màu sắc siêu đáng yêu",2770985939,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé trai,Quần dài bé trai,https://www.lazada.vn/products/pdp-i2770985939.html,24900,5.0,35,193,No Brand,2026-05-04 22:15:29
"(18-52kg) Quần dài, short kaki trẻ em nam, quần vải kaki túi hộp thời trang cho bé trai mẫu DY size 18-52kg, quần bé trai đi học",3159336112,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé trai,Quần dài bé trai,https://www.lazada.vn/products/pdp-i3159336112.html,83000,4.8,19,57,No Brand,2026-05-04 22:15:29
"Quần kẻ dạ ống suông, quần suông kẻ Hottrend cho bé gái và bé trai size 15-55kg",3012671046,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé trai,Quần dài bé trai,https://www.lazada.vn/products/pdp-i3012671046.html,88000,4.2,5,26,No Brand,2026-05-04 22:15:29
"Quần kaki dài túi hộp cho bé trai 2-8 tuổi (9-24kg), quần dài bé trai màu đen, màu rêu siêu chất | ĐỨC TRÍ KIDS",2918463914,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé trai,Quần dài bé trai,https://www.lazada.vn/products/pdp-i2918463914.html,89000,5.0,13,52,No Brand,2026-05-04 22:15:29
Quần dài chống muỗi cho bé trai bé gái vải xô Muslin cao cấp,2904567458,lazada,Thời trang & Phụ kiện Trẻ Em,Trang phục bé trai,Quần dài bé trai,https://www.lazada.vn/products/pdp-i2904567458.html,59000,0.0,0,13,No Brand,2026-05-04 22:15:29
