title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Mặt dây chuyền thiên tâm đạo Người Đẹp Vì Lụa không đen không gỉ xài nước tốt,1702688136,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Vòng Cổ Thời Trang,https://www.lazada.vn/products/pdp-i1702688136.html,43000,4.9,97,1000,Người đẹp vì lụa,2026-05-06 11:47:28
Dây chuyền thép titan không gỉ Unisex cá tính. Vòng cổ thời trang phong cách Hàn Quốc | Dandy,2630760770,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Vòng Cổ Thời Trang,https://www.lazada.vn/products/pdp-i2630760770.html,49056,5.0,1,13,Dandy,2026-05-06 11:47:28
Hợp Thời Trang Nam Vintage Thép Không Gỉ Chúa Giêsu Mặt Dây Chuyền Vòng Cổ Thánh Gia Bùa Hộ Mệnh Cơ Đốc Giáo Trang Sức,2622069942,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Vòng Cổ Thời Trang,https://www.lazada.vn/products/pdp-i2622069942.html,152000,4.8,21,34,No Brand,2026-05-06 11:47:28
[HCM]Dây Chuyền Bông Tuyết Zircon  Phối Đồ Thời Trang Cao Cấp Hàn Quốc DCBONGTUYETZIRCON02,242447879,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Vòng Cổ Thời Trang,https://www.lazada.vn/products/pdp-i242447879.html,43650,4.7,137,667,NT Shop,2026-05-06 11:47:28
Dây chuyền Vàng giả to bự Nam Nữ vòng cổ Hiphop đồ chơi khăm Troll vui nhộn Thug Life Âu Mỹ Dubai,2430513764,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Vòng Cổ Thời Trang,https://www.lazada.vn/products/pdp-i2430513764.html,92150,5.0,12,94,No Brand,2026-05-06 11:47:28
Dây chuyền nam nữ titan dây mì màu trắng 4mm đẹp sang trọng thép không gỉ- DCMI,2385806080,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Vòng Cổ Thời Trang,https://www.lazada.vn/products/pdp-i2385806080.html,39000,4.5,2,0,No Brand,2026-05-06 11:47:28
[COD] EHBqna 3PF Ship within 24 hours Cổ Điển Chữ Thập Mặt Dây Chuyền Vòng Cổ Cho Nam Giới Của Đa Năng Chuỗi Hợp Thời Trang Mồ Hôi Áo Sơ Mi Treo Punk Chuỗi Trang Sức Quà Tặng,13347488738,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Vòng Cổ Thời Trang,https://www.lazada.vn/products/pdp-i13347488738.html,19386,0.0,0,0,EHBqna,2026-05-06 11:47:28
Dây chuyền Nam bản dẹt sợi mềm Tian sáng chói lóa không gỉ NL2000,3091217017,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Vòng Cổ Thời Trang,https://www.lazada.vn/products/pdp-i3091217017.html,32340,4.2,12,42,No Brand,2026-05-06 11:47:28
"Dây chuyền titan unisex, Vòng cổ titan màu vàng không phai không rỉ sét kiểu dáng dây công trơn, trangsucmoiluatuoi.RIN",2673918957,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Vòng Cổ Thời Trang,https://www.lazada.vn/products/pdp-i2673918957.html,68310,5.0,7,41,No Brand,2026-05-06 11:47:28
Lacteo Vàng Đơn Giản Dây Sắt Vòng Đeo Cổ Cho Nữ Hợp Thời Trang Hình Học Choker Mô Men Xoắn Trang Sức Thời Trang Cho Tiệc Cưới,2621990162,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Vòng Cổ Thời Trang,https://www.lazada.vn/products/pdp-i2621990162.html,50250,4.9,31,129,No Brand,2026-05-06 11:47:28
