title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
lắc tay nữ vàng 18k vàng thật Vòng tay hip hop thời trang vòng tay bạn gái Đồ trang sức cặp vợ chồng,2047775728,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Vòng Tay Thời Trang,https://www.lazada.vn/products/pdp-i2047775728.html,84512,5.0,14,72,No Brand,2026-05-06 13:45:01
"(Phạm Tráng Tensor Việt)Vòng tay nam tính đồng nguyên chất to dày cho nam,nội dung khắc viết vào mục ""lời nhắn cho shop""",13350506381,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Vòng Tay Thời Trang,https://www.lazada.vn/products/pdp-i13350506381.html,130000,5.0,1,0,No Brand,2026-05-06 13:45:01
[HCM]Vòng tay lắc đá mã não xanh ngọc-Nhiều mẫu,269912836,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Vòng Tay Thời Trang,https://www.lazada.vn/products/pdp-i269912836.html,69000,4.9,33,114,No Brand,2026-05-06 13:45:01
"(Phạm Tráng Tensor Việt) Vòng tay, lắc tay đồng đỏ nguyên chất mẫu mix xoắn nhỏ",13350534238,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Vòng Tay Thời Trang,https://www.lazada.vn/products/pdp-i13350534238.html,95000,5.0,1,0,No Brand,2026-05-06 13:45:01
[HCM]Vòng Tay Tỳ Hưu Vàng Phong Thủy 24k kết hợp thanh tài lộc đá thập Obsidian tự nhiên ML0099,211448299,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Vòng Tay Thời Trang,https://www.lazada.vn/products/pdp-i211448299.html,65550,4.8,371,1600,MALA,2026-05-06 13:45:01
"Vòng đeo tay nam nữ mạ bạc sáng bóng, phong cách thời trang hiphop, cá tính siêu ngầu",1370861006,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Vòng Tay Thời Trang,https://www.lazada.vn/products/pdp-i1370861006.html,33900,4.9,58,345,No Brand,2026-05-06 13:45:01
[TH] Vòng Tay Trầm Hương Chuỗi 108 Hạt Trầm 100% Tự Nhiên Cao Câp - Yênshop224,1657332835,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Vòng Tay Thời Trang,https://www.lazada.vn/products/pdp-i1657332835.html,15000,4.7,200,1500,No Brand,2026-05-06 13:45:01
"Vòng Tay Thời Trang Nam Với Đá Onyx Đen & Đá Mắt Hổ, Charm Hạt Sodalite Tự Nhiên Không Đều, Phụ Kiện Pulsera Hombre",2581763629,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Vòng Tay Thời Trang,https://www.lazada.vn/products/pdp-i2581763629.html,48750,4.9,36,61,No Brand,2026-05-06 13:45:01
Vòng đeo tay gỗ huyết long 14mm,246113840,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Vòng Tay Thời Trang,https://www.lazada.vn/products/pdp-i246113840.html,129000,4.6,23,74,No Brand,2026-05-06 13:45:01
Chuỗi Trầm Hương Tốc 108 Hạt 6Ly và 8Ly - Vòng Trầm Hương Tự Nhiên - Vòng Tay Phong Thủy,2358686545,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Vòng Tay Thời Trang,https://www.lazada.vn/products/pdp-i2358686545.html,51000,4.6,70,234,No Brand,2026-05-06 13:45:01
Vòng tay mạ vàng hoa mai cực xinh sáng bóng,1814891536,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Vòng Tay Thời Trang,https://www.lazada.vn/products/pdp-i1814891536.html,89000,0.0,0,0,No Brand,2026-05-06 13:45:01
Vòng tay nhẫn hoạ tiết kim tền full đá tấm siêu sáng Kami trang sức sỉ,2427363739,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Vòng Tay Thời Trang,https://www.lazada.vn/products/pdp-i2427363739.html,71250,4.8,85,214,KAMI,2026-05-06 13:45:01
Vòng tay nam cực chất thời trang,469276330,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Vòng Tay Thời Trang,https://www.lazada.vn/products/pdp-i469276330.html,59000,5.0,2,5,No Brand,2026-05-06 13:45:01
PCWFKEF Hot Sale Ánh Sáng Sang Trọng Ngọt Ngào Tua Vòng Đeo Tay Cho Phụ Nữ Cô Gái Thời Trang Tưởng Tượng Đính Cườm Dây Đàn Hồi Vòng Đeo Tay Trang Sức Phụ Kiện Quà Tặng,3175971774,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Vòng Tay Thời Trang,https://www.lazada.vn/products/pdp-i3175971774.html,9713,4.6,16,107,PCWFKEF,2026-05-06 13:45:01
Vòng Tay Nam Nữ titan hip-hop thời Trang thiết kế Thủ Công Mang lại Vẻ đẹp Thời Trang Trẻ trung Tự tin,1946739947,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Vòng Tay Thời Trang,https://www.lazada.vn/products/pdp-i1946739947.html,79000,5.0,1,0,ODM,2026-05-06 13:45:01
Seastina  Dây đồng hồ có thể điều chỉnh Vòng đeo tay nhẹ retro sang trọng khí chất đi lại dễ Vòng tay cùng kiểu,3187019838,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Vòng Tay Thời Trang,https://www.lazada.vn/products/pdp-i3187019838.html,42140,4.9,8,25,SeasTina,2026-05-06 13:45:01
"VÒNG NAM MÔ A DI ĐÀ PHẬT MÀU VÀNG,VÒNG A DI ĐÀ PHẬT,vòng phật giáo,trang sức phật giáo,không rỉ sét không đen",1412114648,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Vòng Tay Thời Trang,https://www.lazada.vn/products/pdp-i1412114648.html,63411,4.9,56,365,No Brand,2026-05-06 13:45:01
Vòng tay gỗ Nu Huyết Long 16mm - vòng tay phong thủy - vòng tay tài lộc - sáng đỏ,731394148,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Vòng Tay Thời Trang,https://www.lazada.vn/products/pdp-i731394148.html,51035,4.6,51,211,No Brand,2026-05-06 13:45:01
"Vòng tay nam nữ 12 chòm sao , Vòng tay nam nữ đẹp , Vòng tay nam nữ giá rẻ , Vòng thời trang nam nữ , Vòng cung hoàng đạo",2358790879,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Vòng Tay Thời Trang,https://www.lazada.vn/products/pdp-i2358790879.html,9892,3.1,11,67,No Brand,2026-05-06 13:45:01
Vòng tay nữ đá mã não đỏ thời trang hàng chuẩn đủ ni bao đẹp,2052626479,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Vòng Tay Thời Trang,https://www.lazada.vn/products/pdp-i2052626479.html,69000,5.0,1,8,No Brand,2026-05-06 13:45:01
"Vòng tay lót lông bằng da, cổ tay vòng đeo trò chơi nô lệ cặp đôi, còng tay bằng da cho nam nữ có điều chỉnh, Che tên",2594306572,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Vòng Tay Thời Trang,https://www.lazada.vn/products/pdp-i2594306572.html,55000,4.9,18,128,No Brand,2026-05-06 13:45:01
Vòng Tay Đá Mắt Hổ Phong Thuỷ Hợp Bản Mệnh Hoả- Thổ - Kim,2375107675,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Vòng Tay Thời Trang,https://www.lazada.vn/products/pdp-i2375107675.html,54000,4.9,122,282,No Brand,2026-05-06 13:45:01
Vòng Tay Đan Chéo Bằng Da Phong Cách Punk Cổ Điển Cho Nam Bằng Thép Không Gỉ,1149082838,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Vòng Tay Thời Trang,https://www.lazada.vn/products/pdp-i1149082838.html,47000,4.6,99,488,No Brand,2026-05-06 13:45:01
Vòng tay chuỗi đá mắt hổ đỏ-nhiều cỡ ly,272292855,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Vòng Tay Thời Trang,https://www.lazada.vn/products/pdp-i272292855.html,49000,4.6,66,204,No Brand,2026-05-06 13:45:01
Vòng tay nhẫn bát nhã tâm kinh titan không đen không gỉ Kami trang sức sỉ,2641768904,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Vòng Tay Thời Trang,https://www.lazada.vn/products/pdp-i2641768904.html,66044,5.0,3,13,KAMI,2026-05-06 13:45:01
Vòng tay chuỗi gỗ mun sọc đen-nhiều cỡ ly,246249843,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Vòng Tay Thời Trang,https://www.lazada.vn/products/pdp-i246249843.html,49000,4.7,194,927,No Brand,2026-05-06 13:45:01
[HCM]Vòng tay lắc vuông khắc chú Omani hai hạt 10ly,258318984,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Vòng Tay Thời Trang,https://www.lazada.vn/products/pdp-i258318984.html,89000,4.8,200,720,No Brand,2026-05-06 13:45:01
"Vòng Tay Thời Trang Nữ Go2boho Phong Cách Thổ Dân, Làm Từ Hạt Miyuki, Trang Sức Đơn Giản, Quà Tặng Mùa Thu Đông, Vòng Tay Dây Thời Thượng",2465518341,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Vòng Tay Thời Trang,https://www.lazada.vn/products/pdp-i2465518341.html,59250,5.0,50,93,No Brand,2026-05-06 13:45:01
"Vòng tay đá mắt mèo,mang lại sự sang trọng.",2612476612,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Vòng Tay Thời Trang,https://www.lazada.vn/products/pdp-i2612476612.html,120000,5.0,30,78,No Brand,2026-05-06 13:45:01
"Lắc Tay Rồng Thần-Bạc Thái non S925 cao cấp-mang màu xám đặc chưng -món đồ cầu tài, bình an, may mắn cho gia chủ",3016997586,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Vòng Tay Thời Trang,https://www.lazada.vn/products/pdp-i3016997586.html,139000,5.0,4,8,No Brand,2026-05-06 13:45:01
Vòng Nu - Đẳng Cấp Thơm Mát ] Vòng Tay Cao Cấp Gỗ Nu Ngọc Am Thơm Ngát,3193150450,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Vòng Tay Thời Trang,https://www.lazada.vn/products/pdp-i3193150450.html,109000,5.0,1,0,No Brand,2026-05-06 13:45:01
Vòng tay nữ ximen (7 chiếc )vòng tuần siêu bền),3002814061,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Vòng Tay Thời Trang,https://www.lazada.vn/products/pdp-i3002814061.html,113850,4.0,6,63,No Brand,2026-05-06 13:45:01
"(Có Video Thật) 01 Chiếc Vòng Tay Titan Nữ Chạm Khắc Đeo Không Phai Màu Không Kỵ Nước Mưa, Mồ Hôi - Đeo Sáng Vĩnh Viễn (Bản Dày 4,5 Ly) Lokalo 24922",2031933062,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Vòng Tay Thời Trang,https://www.lazada.vn/products/pdp-i2031933062.html,78570,4.9,147,600,No Brand,2026-05-06 13:45:01
Vòng Tay Nam Nữ Thép Titan Trắng Bạc Thời Trang Cho Nam Nữ,2420759166,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Vòng Tay Thời Trang,https://www.lazada.vn/products/pdp-i2420759166.html,55000,2.0,1,0,No Brand,2026-05-06 13:45:01
[HCM]Vòng tay nữ trang đá quý Ngọc Bích Nguyên Khối TỰ NHIÊN  Xanh 79,1540116752,lazada,Thời trang & Phụ kiện Nữ,Trang Sức Nữ,Vòng Tay Thời Trang,https://www.lazada.vn/products/pdp-i1540116752.html,151050,4.9,7,38,No Brand,2026-05-06 13:45:01
