title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Áo Thun Nữ Cotton Cao Cấp Họa Tiết Mickey Đơn Giản,279180342,tiki,Thời trang nữ,Áo thun nữ,Áo thun nữ ngắn tay có cổ,https://tiki.vn/product-p279180342.html?spid=279180344,225000,0.0,0,0,Sanny House,2026-04-27 23:34:59
Áo giữ nhiệt nữ cổ cao Hiền Trần BOUTIQUE- dáng ôm body sang chảnh co giãn 4 chiều A18,279077195,tiki,Thời trang nữ,Áo thun nữ,Áo thun nữ dài tay có cổ,https://tiki.vn/product-p279077195.html?spid=279077201,350000,0.0,0,0,Hiền Trần BOUTIQUE,2026-04-27 23:34:59
Áo Len Nữ Hàn Quốc Tay Ngắn Cổ Tròn Phối Nơ – Áo Len Dệt Kim Dáng Xinh,278634335,tiki,Thời trang nữ,Áo thun nữ,Áo thun nữ ngắn tay có cổ,https://tiki.vn/product-p278634335.html?spid=278634337,195000,0.0,0,0,OEM,2026-04-27 23:34:59
Áo thun dài tay nữ cổ tim có đệm vai HOT HIT,278622706,tiki,Thời trang nữ,Áo thun nữ,Áo thun nữ dài tay không cổ,https://tiki.vn/product-p278622706.html?spid=278622710,180000,0.0,0,0,OEM,2026-04-27 23:34:59
"Áo Thun Oversize SURE Original BY SF2009 - 100% Cotton 2 Chiều, Nam Nữ Mặc Siêu thoáng mát, Siêu Đẹp, Siêu Dễ Thương",278307387,tiki,Thời trang nữ,Áo thun nữ,Áo thun nữ ngắn tay không cổ,https://tiki.vn/product-p278307387.html?spid=278307407,268000,0.0,0,0,	SURE FASHION S,2026-04-27 23:34:59
ÁO HAI DÂY SIÊU HOT SIÊU QUYẾN RŨ DƯỚI 60KG DÀNH CHO NỮ,278021309,tiki,Thời trang nữ,Áo thun nữ,Áo hai dây - Áo ba lỗ nữ,https://tiki.vn/product-p278021309.html?spid=278021318,125000,5.0,1,0,OEM,2026-04-27 23:34:59
Áo pull/ Áo phông Oversize dáng dài màu trắng cho nữ,277940551,tiki,Thời trang nữ,Áo thun nữ,Áo thun nữ ngắn tay không cổ,https://tiki.vn/product-p277940551.html?spid=277940552,96000,0.0,0,0,LiLiLa,2026-04-27 23:34:59
Áo pull/ Áo phông trắng dáng dài Oversize cho nữ,277926255,tiki,Thời trang nữ,Áo thun nữ,Áo thun nữ ngắn tay không cổ,https://tiki.vn/product-p277926255.html?spid=277926256,96000,0.0,0,0,LALAMIA,2026-04-27 23:34:59
Áo phông nữ dài tay cổ tim Hiền Trần BOUTIQUE chất cotton dẻo cao cấp co giãn áo thun nữ tay dài thu đông A8,276327784,tiki,Thời trang nữ,Áo thun nữ,Áo thun nữ dài tay không cổ,https://tiki.vn/product-p276327784.html?spid=276327786,350000,0.0,0,0,Hiền Trần BOUTIQUE,2026-04-27 23:34:59
"Áo Thun Unisex Cao Cấp in Hình Cô Gái và Trái Tim Xinh Xắn, Chất Liệu Cotton Organic Tốt Cho Làn Da",275832343,tiki,Thời trang nữ,Áo thun nữ,Áo thun nữ ngắn tay không cổ,https://tiki.vn/product-p275832343.html?spid=275832347,329000,0.0,0,1,	SURE FASHION S,2026-04-27 23:34:59
"Áo hai dây nữ cổ tim lụa satin cao cấp mặc trong áo blazer, chất vải mịn, mát - NEW DESIGN AO0035",275773834,tiki,Thời trang nữ,Áo thun nữ,Áo hai dây - Áo ba lỗ nữ,https://tiki.vn/product-p275773834.html?spid=275773836,199000,0.0,0,1,OEM,2026-04-27 23:34:59
"Áo 2 dây nữ lụa satin cao cấp mặc trong áo blazer, chất vải mịn, mát - AO0033",275174629,tiki,Thời trang nữ,Áo thun nữ,Áo hai dây - Áo ba lỗ nữ,https://tiki.vn/product-p275174629.html?spid=275174631,199000,4.0,1,6,OEM,2026-04-27 23:34:59
"Áo Thun Nữ Cao Cấp Premium Cotton Sure Fashion, Mềm mại, Thoả mái, Thoáng khí, Nhẹ tênh, Kháng khuẩn, An toàn cho làn da, Bạn sẽ cảm nhận rất rõ ràng khi mặc sản phẩm Organic 100% cotton này",273369075,tiki,Thời trang nữ,Áo thun nữ,Áo thun nữ ngắn tay không cổ,https://tiki.vn/product-p273369075.html?spid=273310614,290000,5.0,7,11,	SURE FASHION S,2026-04-27 23:34:59
"Áo thun Unisex WE.INS - Signature, Áo phông WEINS, Áo thun oversized WEINS, Áo Thun Tay Lỡ",270825352,tiki,Thời trang nữ,Áo thun nữ,Áo thun nữ ngắn tay có cổ,https://tiki.vn/product-p270825352.html?spid=270825354,300000,0.0,0,0,WE.INS,2026-04-27 23:34:59
"Áo 2 dây cổ đổ thiết kế đính ngọc trai xinh xắn, Áo nữ lụa satin cao cấp, thoáng mát - New Design AO0015",262043976,tiki,Thời trang nữ,Áo thun nữ,Áo hai dây - Áo ba lỗ nữ,https://tiki.vn/product-p262043976.html?spid=262043992,199000,0.0,0,4,OEM,2026-04-27 23:34:59
"Áo kiểu nữ, Áo sát nách cổ yếm sang chảnh chất Lụa latin cao cấp thoáng mát New Design AO0012",251461830,tiki,Thời trang nữ,Áo thun nữ,Áo hai dây - Áo ba lỗ nữ,https://tiki.vn/product-p251461830.html?spid=251461836,249000,5.0,1,6,OEM,2026-04-27 23:34:59
