title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"Áo điều hòa KITO chính hãng không phụ kiện chất lượng cao giúp giảm nhiệt cơ thể,áo 100% Cotton ( Áo không quạt )",279287752,tiki,Thời trang nam,Áo vest - Áo khoác nam,Áo khoác gió,https://tiki.vn/product-p279287752.html?spid=279287782,189000,0.0,0,0,Kito,2026-04-27 22:38:59
Áo khoác denim nam / Áo khoác jean nhãn vải chính. Form Loose - ROUTINE 10F25DJA007,279211687,tiki,Thời trang nam,Áo vest - Áo khoác nam,Áo khoác jeans nam,https://tiki.vn/product-p279211687.html?spid=279211695,799000,0.0,0,0,Routine,2026-04-27 22:38:59
Áo khoác nam May10 mã 030125931KEY JK007,278850301,tiki,Thời trang nam,Áo vest - Áo khoác nam,Áo khoác gió,https://tiki.vn/product-p278850301.html?spid=278850303,1963637,0.0,0,0,May 10,2026-04-27 22:38:59
Áo khoác nam May10 mã 030125931KEY JK003,278850206,tiki,Thời trang nam,Áo vest - Áo khoác nam,Áo khoác gió,https://tiki.vn/product-p278850206.html?spid=278850210,1963637,0.0,0,0,May 10,2026-04-27 22:38:59
Áo khoác da nam lót lông cao cấp bao chất thời trang-A1065,277963997,tiki,Thời trang nam,Áo vest - Áo khoác nam,Áo khoác da nam,https://tiki.vn/product-p277963997.html?spid=277964061,429000,0.0,0,0,OEM,2026-04-27 22:38:59
Áo khoác nam gió Whatever chuẩn shop chuẩn shop-A868,277963905,tiki,Thời trang nam,Áo vest - Áo khoác nam,Áo khoác gió,https://tiki.vn/product-p277963905.html?spid=277963911,199000,0.0,0,1,OEM,2026-04-27 22:38:59
"Blazer nam chất linen cổ xẻ kiểu, tay dài, thích hợp mùa thu đông, chất dày dặn đứng form, phong cách Hàn Quốc Bz06",276886725,tiki,Thời trang nam,Áo vest - Áo khoác nam,Áo vest và Blazer nam,https://tiki.vn/product-p276886725.html?spid=276886727,420000,0.0,0,0,Haint Boutique,2026-04-27 22:38:59
Áo phao nam dáng dài Hàn Quốc đẹp thời trang bạn trẻ NAP77,276590956,tiki,Thời trang nam,Áo vest - Áo khoác nam,Áo khoác phao nam,https://tiki.vn/product-p276590956.html?spid=276590960,1740000,0.0,0,2,OEM,2026-04-27 22:38:59
Áo phao nam trung niên mẫu mới của năm nay NAP76,276590775,tiki,Thời trang nam,Áo vest - Áo khoác nam,Áo khoác phao nam,https://tiki.vn/product-p276590775.html?spid=276590789,1176000,0.0,0,0,OEM,2026-04-27 22:38:59
"Áo khoác Nỉ Hàn in nổi , nón kiểu mới xinh",276369538,tiki,Thời trang nam,Áo vest - Áo khoác nam,Áo khoác nỉ,https://tiki.vn/product-p276369538.html?spid=276369542,189000,0.0,0,0,FTAKY,2026-04-27 22:38:59
Áo măng tô nam dáng dài cao cấp hàng hiệu mẫu mới trẻ trung NMT99,273992210,tiki,Thời trang nam,Áo vest - Áo khoác nam,Áo vest và Blazer nam,https://tiki.vn/product-p273992210.html?spid=273992212,4620000,0.0,0,0,OEM,2026-04-27 22:38:59
Áo khoác nam May10 mã 030123310 JK009,273874169,tiki,Thời trang nam,Áo vest - Áo khoác nam,Áo khoác gió,https://tiki.vn/product-p273874169.html?spid=273874171,1820000,0.0,0,0,May 10,2026-04-27 22:38:59
Áo Khoác Phao Nam Chần Bông chống thấm cho mùa đông - T0418,273711365,tiki,Thời trang nam,Áo vest - Áo khoác nam,Áo khoác phao nam,https://tiki.vn/product-p273711365.html?spid=276948374,550000,0.0,0,4,OEM,2026-04-27 22:38:59
