title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"Tổng hợp nút áo kiểu size 1.5cm dành cho áo kiểu, áo len, tay áo vest",279000908,tiki,Thời trang nữ,Áo vest - Áo khoác nữ,Áo khoác dạ nữ,https://tiki.vn/product-p279000908.html?spid=279000909,3500,0.0,0,0,OEM,2026-04-27 23:33:26
"Áo len cổ lông mềm ấm 3 màu form xinh – chất dệt nổi đẹp, dễ phối",278943953,tiki,Thời trang nữ,Áo vest - Áo khoác nữ,Áo khoác dạ nữ,https://tiki.vn/product-p278943953.html?spid=278943959,320000,0.0,0,0,OEM,2026-04-27 23:33:26
Áo khoác nữ chống nắng thun lạnh phối chữ tay phong cách cá tính-A2039,277949896,tiki,Thời trang nữ,Áo vest - Áo khoác nữ,Áo khoác chống nắng nữ,https://tiki.vn/product-p277949896.html?spid=277949925,209000,0.0,0,0,OEM,2026-04-27 23:33:26
Áo khoác chống nắng trơn túi dọc mũ dễ thương nhiều màu lựa chọn-A3040,277741978,tiki,Thời trang nữ,Áo vest - Áo khoác nữ,Áo khoác jeans nữ,https://tiki.vn/product-p277741978.html?spid=277741984,279000,0.0,0,1,OEM,2026-04-27 23:33:26
Áo khoát jean nữ rẻ mũ trơn túi hộp túi trong bao đẹp siêu hot-A3110,277741582,tiki,Thời trang nữ,Áo vest - Áo khoác nữ,Áo khoác jeans nữ,https://tiki.vn/product-p277741582.html?spid=277741588,259000,0.0,0,0,OEM,2026-04-27 23:33:26
Áo khoác chống nắng nỉ ngoại cổ trụ 4 túi phối trơn đẹp dễ thương-A2098,277740798,tiki,Thời trang nữ,Áo vest - Áo khoác nữ,Áo len - Áo khoác nỉ nữ,https://tiki.vn/product-p277740798.html?spid=277740802,239000,0.0,0,0,OEM,2026-04-27 23:33:26
Áo len hoa hồng tiểu thư cao cấp cho nữ,276924512,tiki,Thời trang nữ,Áo vest - Áo khoác nữ,Áo khoác dạ nữ,https://tiki.vn/product-p276924512.html?spid=276924513,346000,0.0,0,0,CeCe CiCi,2026-04-27 23:33:26
Set áo vest dáng ôm ngắn tôn dáng & chân váy chữ A DESI thiết kế cao cấp của WHITE CHIC,276605522,tiki,Thời trang nữ,Áo vest - Áo khoác nữ,"Áo vest, blazer nữ",https://tiki.vn/product-p276605522.html?spid=276605530,1650000,0.0,0,0,WHITE CHIC,2026-04-27 23:33:26
Áo vest dáng lửng ôm Emma thiết kế cao cấp WHITE CHIC,276602816,tiki,Thời trang nữ,Áo vest - Áo khoác nữ,"Áo vest, blazer nữ",https://tiki.vn/product-p276602816.html?spid=276602822,1175000,0.0,0,0,WHITE CHIC,2026-04-27 23:33:26
Áo khoác 6 túi nhung đôi sang trọng nữ Top Women Jachet,276371024,tiki,Thời trang nữ,Áo vest - Áo khoác nữ,Áo len - Áo khoác nỉ nữ,https://tiki.vn/product-p276371024.html?spid=276371030,165000,0.0,0,0,FTAKY,2026-04-27 23:33:26
"Áo Sweater Unisex Logo Thương Hiệu Sure, Form Rộng Thiết Kế Sang Trọng, Chất liệu Nỉ Da Cá Dày Dặn",275835100,tiki,Thời trang nữ,Áo vest - Áo khoác nữ,Áo len - Áo khoác nỉ nữ,https://tiki.vn/product-p275835100.html?spid=275835102,599000,0.0,0,1,	SURE FASHION S,2026-04-27 23:33:26
Áo Khoác Kimono Cotton Isla Bonita,275353633,tiki,Thời trang nữ,Áo vest - Áo khoác nữ,Áo cardigan nữ,https://tiki.vn/product-p275353633.html?spid=275353645,1000000,0.0,0,0,Isla Bonita,2026-04-27 23:33:26
Áo Khoác Nữ Đi Nắng Sure Pro 2 với công nghệ chống tia UV ngăn cản tia bức xạ từ ánh sáng mặt trời có hại cho da của bạn,273877555,tiki,Thời trang nữ,Áo vest - Áo khoác nữ,Áo khoác chống nắng nữ,https://tiki.vn/product-p273877555.html?spid=273877557,499000,0.0,0,0,	SURE FASHION S,2026-04-27 23:33:26
Áo blazer buộc nơ nữ 2NDDATE BL013LB,187826177,tiki,Thời trang nữ,Áo vest - Áo khoác nữ,"Áo vest, blazer nữ",https://tiki.vn/product-p187826177.html?spid=187826184,1225000,0.0,0,0,2NDDATE,2026-04-27 23:33:26
Áo khoác tweed viền vàng 2NDDATE BL027,187826009,tiki,Thời trang nữ,Áo vest - Áo khoác nữ,Áo khoác dạ nữ,https://tiki.vn/product-p187826009.html?spid=187826021,1999000,0.0,0,0,2NDDATE,2026-04-27 23:33:26
Áo Vest kiểu Linen 2NDDATE BL017GG,187825528,tiki,Thời trang nữ,Áo vest - Áo khoác nữ,"Áo vest, blazer nữ",https://tiki.vn/product-p187825528.html?spid=187825554,1799000,0.0,0,0,2NDDATE,2026-04-27 23:33:26
Áo khoác nữ gió dù 2 lớp chống nắng Mèo ú cực hót nhiều màu lựa chọn-M052,113053382,tiki,Thời trang nữ,Áo vest - Áo khoác nữ,Áo khoác chống nắng nữ,https://tiki.vn/product-p113053382.html?spid=113053386,189250,0.0,0,2,OEM,2026-04-27 23:33:26
Áo khoác nữ Áo khoát nữ gió dù 2 lớp chống nắng SOÁI CA cực hót xitin-M172,113053253,tiki,Thời trang nữ,Áo vest - Áo khoác nữ,Áo khoác chống nắng nữ,https://tiki.vn/product-p113053253.html?spid=113053258,189250,0.0,0,1,OEM,2026-04-27 23:33:26
[P] Áo khoác cặp Áo khoát đôi gió dù 2 lớp chống nắng cao cấp sup nón rời siêu chất xinh xinh-M096,113051432,tiki,Thời trang nữ,Áo vest - Áo khoác nữ,Áo khoác chống nắng nữ,https://tiki.vn/product-p113051432.html?spid=113051452,189250,0.0,0,0,OEM,2026-04-27 23:33:26
[XL] Áo khoát nữ cực đẹp City Blue hàng rất đẹp mẫu mới-A107,113051016,tiki,Thời trang nữ,Áo vest - Áo khoác nữ,Áo khoác chống nắng nữ,https://tiki.vn/product-p113051016.html?spid=113051053,256450,0.0,0,1,OEM,2026-04-27 23:33:26
Áo khoát nữ chống nắng POWR cực chất dễ thương-A472,113050819,tiki,Thời trang nữ,Áo vest - Áo khoác nữ,Áo khoác chống nắng nữ,https://tiki.vn/product-p113050819.html?spid=113050841,189250,0.0,0,3,OEM,2026-04-27 23:33:26
[M] Áo khoác nữ dù BUECLION GIRL đẹp phong cách - M092,113050586,tiki,Thời trang nữ,Áo vest - Áo khoác nữ,Áo khoác bomber jackets,https://tiki.vn/product-p113050586.html?spid=113050591,189250,0.0,0,0,OEM,2026-04-27 23:33:26
Áo khoác nam nữ cặp đôi unisex Áo khoát nỉ chống nắng We Are bao chất cực hót-A426,113050496,tiki,Thời trang nữ,Áo vest - Áo khoác nữ,Áo hoodies nữ,https://tiki.vn/product-p113050496.html?spid=113050545,189250,0.0,0,1,OEM,2026-04-27 23:33:26
ÁO KHOÁC DÙ NGOẠI Lót Das M1720 Chống Nắng,105909484,tiki,Thời trang nữ,Áo vest - Áo khoác nữ,Áo khoác chống nắng nữ,https://tiki.vn/product-p105909484.html?spid=113225228,475480,0.0,0,0,OEM,2026-04-27 23:33:26
ÁO KHOÁC KAKI M300 (Cup 2020),104515116,tiki,Thời trang nữ,Áo vest - Áo khoác nữ,"Áo vest, blazer nữ",https://tiki.vn/product-p104515116.html?spid=113225066,551080,0.0,0,0,OEM,2026-04-27 23:33:26
