title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Balo Yuumy ( Thời trang nữ mini dáng tròn - Balo da Liberal YBA115 ),279049105,tiki,Balo và Vali,Balo,Balo thời trang,https://tiki.vn/product-p279049105.html?spid=279049107,255000,0.0,0,0,YUUMY,2026-04-29 13:44:11
Ba Lô Thời Trang Harvard - iiGEN YZ3893,279006109,tiki,Balo và Vali,Balo,Balo thời trang,https://tiki.vn/product-p279006109.html?spid=279006110,1075000,0.0,0,0,iiGEN,2026-04-29 13:44:11
Túi Chống Sốc UNIQ Lyon Cho Laptop/ Cho Macbook Up To 14 Inch Hàng Chính Hãng,278969457,tiki,Balo và Vali,Balo,Balo & túi chống sốc,https://tiki.vn/product-p278969457.html?spid=278969461,586500,0.0,0,0,UNIQ,2026-04-29 13:44:11
Balo Laptop 15 inch chính hãng Mikkor dòng The Levi Slim,278815106,tiki,Balo và Vali,Balo,Balo laptop,https://tiki.vn/product-p278815106.html?spid=278815112,690000,0.0,0,0,Mikkor,2026-04-29 13:44:11
Túi đeo chéo Tomtoc Navigator-A33 Laptop Shoulder Bag Laptop - Hàng chính hãng,278740319,tiki,Balo và Vali,Balo,Balo & túi chống sốc,https://tiki.vn/product-p278740319.html?spid=278740321,1350000,0.0,0,0,Tomtoc,2026-04-29 13:44:11
Balo Yuumy ( Thời trang nữ basic cỡ lớn - Balo da Seasand YBA111 ),278725991,tiki,Balo và Vali,Balo,Balo thời trang,https://tiki.vn/product-p278725991.html?spid=278725993,389000,0.0,0,0,YUUMY,2026-04-29 13:44:11
"Túi chống sốc dành cho máy tính macbook surface, bao chống sốc laptop mỏng gọn nhẹ chống nước cute dễ thương - Hàng chính hãng",278532801,tiki,Balo và Vali,Balo,Balo & túi chống sốc,https://tiki.vn/product-p278532801.html?spid=278532803,209000,0.0,0,0,SUZIN,2026-04-29 13:44:11
Túi đựng phụ kiện Tomtoc Arccos-G46 NS Game Card Bag A0536D1/G46M1D1 - Hàng chính hãng,278521118,tiki,Balo và Vali,Balo,Balo & túi chống sốc,https://tiki.vn/product-p278521118.html?spid=278521119,590000,0.0,0,0,Tomtoc,2026-04-29 13:44:11
Túi chống sốc Tomtoc Terra-A27 Laptop Sleeve Kit MBook Pro 14 inch A27D2 - Hàng chính hãng,278520085,tiki,Balo và Vali,Balo,Balo & túi chống sốc,https://tiki.vn/product-p278520085.html?spid=278523233,1150000,0.0,0,0,Tomtoc,2026-04-29 13:44:11
Balo nam DA BÒ THẬT – BEE GEE BLND9113,277730440,tiki,Balo và Vali,Balo,Balo laptop,https://tiki.vn/product-p277730440.html?spid=277730441,2365000,0.0,0,0,Bee Gee,2026-04-29 13:44:11
Túi Chống Sốc TOMTOC For Shell Pouch For Macbook Air/Pro 13inch Thể Hiện Phong Cách Của Bạn Với Màu Sắc Rực Rỡ Hàng Chính Hãng,276121658,tiki,Balo và Vali,Balo,Balo & túi chống sốc,https://tiki.vn/product-p276121658.html?spid=276121803,839000,0.0,0,0,Tomtoc,2026-04-29 13:44:11
Túi Chống Sốc Wi wu Skin Zero Sleeve Dùng Cho Mày Tính Xác Tay - Hàng Chính Hãng,275835018,tiki,Balo và Vali,Balo,Balo & túi chống sốc,https://tiki.vn/product-p275835018.html?spid=275835067,239000,0.0,0,0,Tazano,2026-04-29 13:44:11
"Túi Dây Rút Thể Thao Xbags Wisdom Màu Xanh – Balo Dây Rút Chống Thấm Nước, Thiết Kế Gọn Nhẹ Năng Động Cá Tính XB 6005!",275761731,tiki,Balo và Vali,Balo,Balo dây rút,https://tiki.vn/product-p275761731.html?spid=275761732,209000,4.0,1,2,XBags,2026-04-29 13:44:11
"Bao da chống sốc cho máy tính laptop, surface kèm ví đựng sạc chuột",275482351,tiki,Balo và Vali,Balo,Balo & túi chống sốc,https://tiki.vn/product-p275482351.html?spid=275482353,350000,0.0,0,1,SUZIN,2026-04-29 13:44:11
Balo Zork 2.0 2 AS AMERICAN TOURISTER - MỸ,274795952,tiki,Balo và Vali,Balo,Balo thời trang,https://tiki.vn/product-p274795952.html?spid=274795961,2700000,0.0,0,0,American Tourister,2026-04-29 13:44:11
Balo Laptop 15.6 inch KMORE The LEON - Hàng Chính Hãng,271646555,tiki,Balo và Vali,Balo,Balo laptop,https://tiki.vn/product-p271646555.html?spid=271646559,560500,0.0,0,0,Kmore,2026-04-29 13:44:11
