title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Dép Nữ Da Bò Thật BIGGBEN Cao Cấp DNQN72,278961950,tiki,Giày - Dép nữ,Dép - Guốc nữ,Dép quai ngang,https://tiki.vn/product-p278961950.html?spid=278961964,299000,0.0,0,0,BIGGBEN,2026-04-29 13:46:54
Dép Eva Biti's Esoft Nữ (35-39),278930523,tiki,Giày - Dép nữ,Dép - Guốc nữ,Dép quai ngang,https://tiki.vn/product-p278930523.html?spid=278930525,310000,0.0,0,0,Biti's,2026-04-29 13:46:54
"Dép nữ hở mũi, đế xuồng ROSATA RO709 - 7p - Đen, Trắng - BKSTORE",278893843,tiki,Giày - Dép nữ,Dép - Guốc nữ,Dép quai ngang,https://tiki.vn/product-p278893843.html?spid=278893845,390000,0.0,0,0,Rosata,2026-04-29 13:46:54
Dép quai ngang xốp Biti's nữ (35-40),278832925,tiki,Giày - Dép nữ,Dép - Guốc nữ,Dép quai ngang,https://tiki.vn/product-p278832925.html?spid=278832937,200000,0.0,0,0,Biti's,2026-04-29 13:46:54
Dép quai kẹp Biti's nữ đế 3 cm (35-39),278511013,tiki,Giày - Dép nữ,Dép - Guốc nữ,Dép xỏ ngón,https://tiki.vn/product-p278511013.html?spid=278511017,189000,0.0,0,0,Biti's,2026-04-29 13:46:54
"Dép nữ quai ngang xỏ ngón, gót cách điệu ROSATA RO731 - 5p- Nâu, Trắng- BKSTORE",278465532,tiki,Giày - Dép nữ,Dép - Guốc nữ,Dép xỏ ngón,https://tiki.vn/product-p278465532.html?spid=278465540,399000,0.0,0,0,Rosata,2026-04-29 13:46:54
DÉP QUAI BẢNG 8CM PABNO PN22020,278096792,tiki,Giày - Dép nữ,Dép - Guốc nữ,Dép quai ngang,https://tiki.vn/product-p278096792.html?spid=278096796,335000,0.0,0,0,PABNO,2026-04-29 13:46:54
"Dép quai ngang sức khỏe nữ Revitalign Fusion Zest Black - đế đúc EVA nguyên khối, nâng vòm mèm",277940996,tiki,Giày - Dép nữ,Dép - Guốc nữ,Dép quai ngang,https://tiki.vn/product-p277940996.html?spid=277940998,1595000,0.0,0,0,Revitalign,2026-04-29 13:46:54
Dép Cao Gót Nữ BIGGBEN Da Bò Cao 4 Phân DCG111,277927326,tiki,Giày - Dép nữ,Dép - Guốc nữ,Dép quai ngang,https://tiki.vn/product-p277927326.html?spid=277927360,299000,0.0,0,0,BIGGBEN,2026-04-29 13:46:54
Dép quai ngang Biti's nữ (35-40),277539666,tiki,Giày - Dép nữ,Dép - Guốc nữ,Dép đi trong nhà,https://tiki.vn/product-p277539666.html?spid=277539670,175000,0.0,0,0,Biti's,2026-04-29 13:46:54
Dép quai kẹp Biti's nữ (35-39),277539372,tiki,Giày - Dép nữ,Dép - Guốc nữ,Dép xỏ ngón,https://tiki.vn/product-p277539372.html?spid=277539390,195000,0.0,0,0,Biti's,2026-04-29 13:46:54
Dép chữ H 1F PABNO PN15004,277473691,tiki,Giày - Dép nữ,Dép - Guốc nữ,Dép quai ngang,https://tiki.vn/product-p277473691.html?spid=277473699,245000,0.0,0,0,PABNO,2026-04-29 13:46:54
Dép cao gót nữ quai ngang ROSATA RO669 - 4p - HÀNG VIỆT NAM - BKSTORE,277452213,tiki,Giày - Dép nữ,Dép - Guốc nữ,Dép quai ngang,https://tiki.vn/product-p277452213.html?spid=277452217,380000,0.0,0,0,Rosata,2026-04-29 13:46:54
