title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Dép quai ngang Biti's nam (39-43),279319230,tiki,Giày - Dép nam,Dép nam,Dép nam quai ngang,https://tiki.vn/product-p279319230.html?spid=279319234,204000,0.0,0,0,Biti's,2026-04-29 13:45:14
Dép quai ngang Biti's nam (38-43),278851165,tiki,Giày - Dép nam,Dép nam,Dép nam quai ngang,https://tiki.vn/product-p278851165.html?spid=278851189,210000,0.0,0,0,Biti's,2026-04-29 13:45:14
DÉP DA BÒ QUAI NHỊ CAO CẤP VATIS 0311,278838128,tiki,Giày - Dép nam,Dép nam,Dép nam quai ngang,https://tiki.vn/product-p278838128.html?spid=278838134,119000,0.0,0,0,Vatis,2026-04-29 13:45:14
DÉP KẸP NAM DA – PABNO PN21046,278112561,tiki,Giày - Dép nam,Dép nam,Dép nam xỏ ngón,https://tiki.vn/product-p278112561.html?spid=278112563,285000,0.0,0,1,PABNO,2026-04-29 13:45:14
Dép quai kẹp Biti's nam (39-43),277570764,tiki,Giày - Dép nam,Dép nam,Dép nam xỏ ngón,https://tiki.vn/product-p277570764.html?spid=277570772,185000,0.0,0,0,Biti's,2026-04-29 13:45:14
Dép Kẹp Nam da PABNO PN21043,277013914,tiki,Giày - Dép nam,Dép nam,Dép nam xỏ ngón,https://tiki.vn/product-p277013914.html?spid=277013916,275000,5.0,1,1,PABNO,2026-04-29 13:45:14
Dép Nam Da Bò HA NAM Đế Siêu Nhẹ Khâu Chỉ Toàn Bộ DNA22039,276844228,tiki,Giày - Dép nam,Dép nam,Dép nam quai ngang,https://tiki.vn/product-p276844228.html?spid=276844230,360000,0.0,0,0,HA NAM,2026-04-29 13:45:14
Dép Nam Da Bò HA NAM Đế Siêu Nhẹ Khâu Chỉ Toàn Bộ DNA22032,276842009,tiki,Giày - Dép nam,Dép nam,Dép nam quai ngang,https://tiki.vn/product-p276842009.html?spid=276843455,360000,0.0,0,0,HA NAM,2026-04-29 13:45:14
Dép Bít Đầu Nam BIGGBEN Da Bò Thật Cao Cấp SB133,276663178,tiki,Giày - Dép nam,Dép nam,Dép nam quai ngang,https://tiki.vn/product-p276663178.html?spid=276663188,349000,0.0,0,0,BIGGBEN,2026-04-29 13:45:14
DÉP NAM QUAI NGANG DA BÒ CAO CẤP VATIS,275727993,tiki,Giày - Dép nam,Dép nam,Dép nam quai ngang,https://tiki.vn/product-p275727993.html?spid=275727997,150000,0.0,0,0,Vatis,2026-04-29 13:45:14
DÉP QUAI NGANG CHỮ H CHẤT LIỆU DA BÒ VATIS 230226,275670649,tiki,Giày - Dép nam,Dép nam,Dép nam quai ngang,https://tiki.vn/product-p275670649.html?spid=275670653,129000,0.0,0,0,Vatis,2026-04-29 13:45:14
