title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Đồ Bộ Pijama Lụa Mango Cao Cấp Tay Ngắn Quần Dài (vàng/đỏ/đen/xanh/dâu/bơ/vân) đủ size dưới 65Kg,279177917,tiki,Thời trang nữ,Đồ ngủ - Đồ mặc nhà nữ,Đồ ngủ nữ,https://tiki.vn/product-p279177917.html?spid=279177441,169000,5.0,1,0,OEM,2026-04-27 23:31:18
Đồ Bộ Pijama Lụa Xước Thiết Kế 3D Tay Ngắn Quần Dài (hồng/đen) Freesize dưới 58Kg,279170932,tiki,Thời trang nữ,Đồ ngủ - Đồ mặc nhà nữ,Đồ ngủ nữ,https://tiki.vn/product-p279170932.html?spid=279170936,199000,0.0,0,0,OEM,2026-04-27 23:31:18
Đồ Bộ Pijama Lụa Mango Cao Cấp Tay Dài Quần Dài (gấu hồng/gấu đen/ô hồng) Bigsize 60-75Kg,279115774,tiki,Thời trang nữ,Đồ ngủ - Đồ mặc nhà nữ,Đồ ngủ nữ,https://tiki.vn/product-p279115774.html?spid=279115776,199000,0.0,0,0,OEM,2026-04-27 23:31:18
[NN Pijama] [HÌNH THẬT] Đồ ngủ nữ mặc nhà pijama phối bèo lụa latin cao cấp,278864546,tiki,Thời trang nữ,Đồ ngủ - Đồ mặc nhà nữ,Đồ mặc nhà,https://tiki.vn/product-p278864546.html?spid=278864547,230000,0.0,0,0,OEM,2026-04-27 23:31:18
"Đồ bộ nữ,đồ ngủ mặc nhà lửng vải lụa mango BL 240 hoạ tiết caro dễ thương size 50-65kg.",278474598,tiki,Thời trang nữ,Đồ ngủ - Đồ mặc nhà nữ,Đồ mặc nhà,https://tiki.vn/product-p278474598.html?spid=278474602,155000,0.0,0,0,OEM,2026-04-27 23:31:18
Bộ Đồ Ngủ Lụa Việt Nam Hoa Văn Nhiều Mẫu Xinh Xắn,278207891,tiki,Thời trang nữ,Đồ ngủ - Đồ mặc nhà nữ,Đồ mặc nhà,https://tiki.vn/product-p278207891.html?spid=278207893,228000,0.0,0,0,Sanny House,2026-04-27 23:31:18
"Đầm ngủ nữ  2 dây hoa nhỏ  (dưới 50kg ) , vải voan cao cấp ,thiết kế mềm mại, thoáng khí, thấm hút mồ hôi mang lại cảm giác mát mẻ và dễ chịu , giao màu ngẫu nhiên",277515520,tiki,Thời trang nữ,Đồ ngủ - Đồ mặc nhà nữ,Đồ ngủ nữ,https://tiki.vn/product-p277515520.html?spid=277515521,99000,0.0,0,0,LYNUSAN,2026-04-27 23:31:18
"Bộ tole 2 da dài tay lỡ dày dặn thoáng mát , phom dáng chuẩn đẹp 65-70kg",276514589,tiki,Thời trang nữ,Đồ ngủ - Đồ mặc nhà nữ,Đồ mặc nhà,https://tiki.vn/product-p276514589.html?spid=276514595,150000,0.0,0,0,OEM,2026-04-27 23:31:18
Váy ngủ lưới WANNABE DNC12 đầm ngủ sexy trong suốt mong manh khiến chàng luôn mơ mộng TẶNG QUẦN ĐỒNG BỘ,274587214,tiki,Thời trang nữ,Đồ ngủ - Đồ mặc nhà nữ,Đồ ngủ nữ,https://tiki.vn/product-p274587214.html?spid=274843661,550000,0.0,0,0,Wannabe,2026-04-27 23:31:18
Bộ Đồ Satin Lửng Nữ Vincy Thoáng Mát BLS020W31,271499794,tiki,Thời trang nữ,Đồ ngủ - Đồ mặc nhà nữ,Đồ mặc nhà,https://tiki.vn/product-p271499794.html?spid=271499796,599000,0.0,0,0,Vincy,2026-04-27 23:31:18
Bộ Đồ Short Thun Nữ Vincy Thoáng Mát BST030W31,271495382,tiki,Thời trang nữ,Đồ ngủ - Đồ mặc nhà nữ,Đồ mặc nhà,https://tiki.vn/product-p271495382.html?spid=271495386,569000,0.0,0,0,Vincy,2026-04-27 23:31:18
"Đồ ngủ nữ WANNBE DNS87 váy ngủ lụa Pháp mềm mịn in họa tiết sơn dầu màu sắc trẻ trung, cúp ngực nhúng phồng đầy đặn",270819336,tiki,Thời trang nữ,Đồ ngủ - Đồ mặc nhà nữ,Đồ ngủ nữ,https://tiki.vn/product-p270819336.html?spid=270819340,390000,0.0,0,0,Wannabe,2026-04-27 23:31:18
Bộ Đồ Thun Dài Nữ Vincy Thoáng Mát BTD072S11,270693837,tiki,Thời trang nữ,Đồ ngủ - Đồ mặc nhà nữ,Đồ mặc nhà,https://tiki.vn/product-p270693837.html?spid=270693845,589000,0.0,0,0,Vincy,2026-04-27 23:31:18
Đầm ngủ WANNABE DNS67 váy ngủ lụa bản vai 4cm cổ tim sát nách bản vai đơn giản chăm sóc giấc ngủ,225971303,tiki,Thời trang nữ,Đồ ngủ - Đồ mặc nhà nữ,Đồ ngủ nữ,https://tiki.vn/product-p225971303.html?spid=225971309,370000,0.0,0,2,Wannabe,2026-04-27 23:31:18
