title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"Đồng hồ đeo tay Nam hiệu JONAS & VERUS Y01646-Q3.BBBLL, Máy Pin (Quartz), Kính Sapphire, Dây da Italy",57988184,tiki,Đồng hồ và Trang sức,Đồng hồ nam,Đồng hồ business nam,https://tiki.vn/product-p57988184.html?spid=57988185,3402000,0,0,0,JONAS & VERUS,4/27/2026 5:17
"Đồng hồ đeo tay Nam hiệu JONAS & VERUS Y01544-A0.WWWLH, Máy Cơ (Automatic), Kính mo tráng sapphire hạn chế trầy xước, Dây da Italy",57880025,tiki,Đồng hồ và Trang sức,Đồng hồ nam,"Đồng hồ thời trang, casual nam",https://tiki.vn/product-p57880025.html?spid=57880026,5166000,0,0,0,JONAS & VERUS,4/27/2026 5:17
Đồng Hồ Nam Casio MTP-1375D-7AVDF Kim Lịch Nhỏ Mặt Trắng,126798094,tiki,Đồng hồ và Trang sức,Đồng hồ nam,"Đồng hồ thời trang, casual nam",https://tiki.vn/product-p126798094.html?spid=126798095,2586000,0,0,1,Casio,4/29/2026 13:42
Đồng hồ nam dây da Casio MTP-1381L-7AVDF,13403838,tiki,Đồng hồ và Trang sức,Đồng hồ nam,"Đồng hồ thời trang, casual nam",https://tiki.vn/product-p13403838.html?spid=42101454,1893000,4.5,2,5,Casio,4/29/2026 13:42
Đồng Hồ Nam Phong Cách Doanh Nhân - Lịch Mặt Trời - Chạy Đủ 6 Kim - Hàng Chính Hãng,278105246,tiki,Đồng hồ và Trang sức,Đồng hồ nam,Đồng hồ business nam,https://tiki.vn/product-p278105246.html?spid=278105247,600000,0,0,2,LuckyJQR,4/29/2026 13:42
Đồng hồ đeo tay Omega B501 Máy PiN hàng chính hãng,279069689,tiki,Đồng hồ và Trang sức,Đồng hồ nam,Đồng hồ business nam,https://tiki.vn/product-p279069689.html?spid=279069690,310000,0,0,0,Omega,4/29/2026 13:42
Đồng Hồ Nam Citizen Tsuyosa Dây Thép Không Gỉ Máy Cơ-Automatic NJ0152-51X - Mặt Xanh (Sapphire),278979931,tiki,Đồng hồ và Trang sức,Đồng hồ nam,Đồng hồ business nam,https://tiki.vn/product-p278979931.html?spid=278979932,14385000,0,0,0,Citizen,4/29/2026 13:42
Đồng hồ đeo tay cơ Rolex C626 Hàng chính hãng,278979417,tiki,Đồng hồ và Trang sức,Đồng hồ nam,Đồng hồ business nam,https://tiki.vn/product-p278979417.html?spid=278979418,990000,0,0,0,Highgate,4/29/2026 13:42
Đồng hồ đeo tay Omega C503 Máy cơ hàng chính hãng,278851082,tiki,Đồng hồ và Trang sức,Đồng hồ nam,"Đồng hồ thời trang, casual nam",https://tiki.vn/product-p278851082.html?spid=278851083,780000,4,1,1,Omega,4/29/2026 13:42
Đồng hồ đeo tay Omega C543 Máy cơ hàng chính hãng,278851058,tiki,Đồng hồ và Trang sức,Đồng hồ nam,"Đồng hồ thời trang, casual nam",https://tiki.vn/product-p278851058.html?spid=278851059,750000,0,0,1,Omega,4/29/2026 13:42
