title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Tròng kính cận/viễn/ loạn siêu mỏng 1.74 chống ánh sáng xanh chính hãng tog mắt kính OURESS,279150124,tiki,Phụ kiện thời trang,Mắt kính,Phụ kiện kính,https://tiki.vn/product-p279150124.html?spid=279150125,4350000,0.0,0,0,OURESS,2026-04-29 13:40:47
Gọng Kính Cận Giả Cận Nam Nữ Cao Cấp Titanium BLUE LIGHT Mắt Khoan Không Viền Chữ Nhật Bạc Đen Vàng Dày Dặn Cứng Nhẹ,278993558,tiki,Phụ kiện thời trang,Mắt kính,Gọng kính,https://tiki.vn/product-p278993558.html?spid=278077393,985000,0.0,0,0,Blue Light,2026-04-29 13:40:47
Kính râm nam cao cấp cho nam dáng vuông Mắt phân cực chống lóa Uv + Tặng kèm phụ kiện,278720042,tiki,Phụ kiện thời trang,Mắt kính,Kính mát,https://tiki.vn/product-p278720042.html?spid=278720046,289000,0.0,0,0,LiLiLa,2026-04-29 13:40:47
Kính mát trẻ em SW004 thời trang nam nữ chống UV bảo vệ mắt tối ưu chính hãng OURESS,278251739,tiki,Phụ kiện thời trang,Mắt kính,Kính mát,https://tiki.vn/product-p278251739.html?spid=278251747,129000,0.0,0,0,OURESS,2026-04-29 13:40:47
Kính râm mắt xanh màu Mắt kính thủy tinh cao cấp đi ngày đêm,278251488,tiki,Phụ kiện thời trang,Mắt kính,Kính mát,https://tiki.vn/product-p278251488.html?spid=278251489,250000,0.0,0,1,LALAMIA,2026-04-29 13:40:47
"Gọng Kính Cận, Kính Giả Cận Nam Nữ BLUE LIGHT TITANIUM Cao Cấp Siêu Nhẹ, Mắt Vuông Nửa Gọng, Màu Bạc, Đen",278077412,tiki,Phụ kiện thời trang,Mắt kính,Gọng kính,https://tiki.vn/product-p278077412.html?spid=278077413,865000,0.0,0,0,Blue Light,2026-04-29 13:40:47
Kính gọng nửa viền Clubmaster unisex cao cấp,277604926,tiki,Phụ kiện thời trang,Mắt kính,Gọng kính,https://tiki.vn/product-p277604926.html?spid=277604928,159000,0.0,0,0,LALAMIA,2026-04-29 13:40:47
Kính đi đường nam nữ - Kính bảo hộ trong suốt cao cấp nhựa dẻo,277591370,tiki,Phụ kiện thời trang,Mắt kính,Kính mát,https://tiki.vn/product-p277591370.html?spid=277591371,149000,0.0,0,0,CeCe CiCi,2026-04-29 13:40:47
Kính Mát Nam Đi Đường Chống Nắng Mắt Phân Cực Chống Lóa UV,277513204,tiki,Phụ kiện thời trang,Mắt kính,Kính mát,https://tiki.vn/product-p277513204.html?spid=277513205,260000,0.0,0,2,LiLiLa,2026-04-29 13:40:47
Gọng kính cận 9630 chất liệu titan thời trang mắt kính OURESS nam nữ siêu nhẹ siêu bền,275889430,tiki,Phụ kiện thời trang,Mắt kính,Gọng kính,https://tiki.vn/product-p275889430.html?spid=275889443,404100,0.0,0,1,OURESS,2026-04-29 13:40:47
Gọng kính cận 3369 A7053 hợp kim cước OURESS thời trang nam nữ siêu nhẹ siêu bền,275889230,tiki,Phụ kiện thời trang,Mắt kính,Gọng kính,https://tiki.vn/product-p275889230.html?spid=275889236,224000,0.0,0,0,OURESS,2026-04-29 13:40:47
Dung dịch ngâm lens DOLL EYES - Zero Seven  - Dung tích 120ml &160ml,275257223,tiki,Phụ kiện thời trang,Mắt kính,Phụ kiện kính,https://tiki.vn/product-p275257223.html?spid=275257227,79000,0.0,0,0,DOLL EYES,2026-04-29 13:40:47
Kính râm nam thời trang - Kính râm Solex cao cấp,273168550,tiki,Phụ kiện thời trang,Mắt kính,Kính mát,https://tiki.vn/product-p273168550.html?spid=273168552,469000,0.0,0,0,CeCe CiCi,2026-04-29 13:40:47
Gọng kính titanium P9015 LS9003 thời trang nam cao cấp siêu nhẹ siêu bền OURESS,269895747,tiki,Phụ kiện thời trang,Mắt kính,Gọng kính,https://tiki.vn/product-p269895747.html?spid=269895755,616550,0.0,0,0,OURESS,2026-04-29 13:40:47
Lens nâu có độ cận N’Rosa Vivid Brown cho mắt thở cao cấp Angel Eyes phân phối | Độ cận: 0-8 | Chất liệu Silicone Hydrogel,253057999,tiki,Phụ kiện thời trang,Mắt kính,Kính áp tròng,https://tiki.vn/product-p253057999.html?spid=253058013,300000,0.0,0,0,Angel Eyes,2026-04-29 13:40:47
Lens xám có độ cận N’Rosa Fantasy Gray cho mắt thở cao cấp Angel Eyes phân phối | Độ cận: 0-8 | Chất liệu Silicone Hydrogel,253055527,tiki,Phụ kiện thời trang,Mắt kính,Kính áp tròng,https://tiki.vn/product-p253055527.html?spid=253055555,300000,0.0,0,2,Angel Eyes,2026-04-29 13:40:47
KAVI 203 - Kính Chống Ánh Sáng Xanh Gọng Titanium Hàn Quốc,225923809,tiki,Phụ kiện thời trang,Mắt kính,Phụ kiện kính,https://tiki.vn/product-p225923809.html?spid=225923815,1190000,0.0,0,0,KAVI,2026-04-29 13:40:47
Kính râm mắt tròn siêu nhỏ cực chất,207172850,tiki,Phụ kiện thời trang,Mắt kính,Kính mát,https://tiki.vn/product-p207172850.html?spid=207172854,169000,0.0,0,0,LiLiLa,2026-04-29 13:40:47
Kính mát nam thời trang chông nắng uv,195713865,tiki,Phụ kiện thời trang,Mắt kính,Kính mát,https://tiki.vn/product-p195713865.html?spid=195713866,169000,0.0,0,2,CeCe CiCi,2026-04-29 13:40:47
Lens trong suốt có độ cận dòng cao cấp chất liệu Silicone Hydrogel Angel Eyes độ cận 1 - 15,192355015,tiki,Phụ kiện thời trang,Mắt kính,Kính áp tròng,https://tiki.vn/product-p192355015.html?spid=192355105,400000,4.7,6,22,Angel Eyes,2026-04-29 13:40:47
Kính râm Mắt Tròn Xoe Thầy Bói Gọng Lò Xo - Hàng cao cấp (Mắt Đen),184516648,tiki,Phụ kiện thời trang,Mắt kính,Kính mát,https://tiki.vn/product-p184516648.html?spid=184516649,259000,0.0,0,2,LALAMIA,2026-04-29 13:40:47
