title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"Nguồn pin dự phòng 9 - 12v cho WiFi, camera an ninh UPS, camera ngoài trời, thời gian sử dụng 6-8h sau khi cúp điện",278435877,tiki,Đồng hồ và Trang sức,Phụ kiện đồng hồ,Pin đồng hồ,https://tiki.vn/product-p278435877.html?spid=278435878,259000,0.0,0,0,OEM,2026-04-29 13:43:11
"Bộ kích 48v 60v cắm xe điện lên 220V, bộ đổi nguồn ắc quy inverter 48V lên 220V 1500W",278431200,tiki,Đồng hồ và Trang sức,Phụ kiện đồng hồ,Dây đồng hồ,https://tiki.vn/product-p278431200.html?spid=278431201,890000,0.0,0,0,OEM,2026-04-29 13:43:11
UPS nguồn dự phòng đa năng chuyên dụng cho camera và bộ wifi gia đình có cổng USB 5v và chân cắm 9v - 12v,278429343,tiki,Đồng hồ và Trang sức,Phụ kiện đồng hồ,Dây đồng hồ,https://tiki.vn/product-p278429343.html?spid=278429344,256000,0.0,0,0,OEM,2026-04-29 13:43:11
[BH 2 năm động cơ] Hộp Xoay 3 đồng hồ gỗ Saike nền nỉ,276801886,tiki,Đồng hồ và Trang sức,Phụ kiện đồng hồ,Hộp đựng đồng hồ,https://tiki.vn/product-p276801886.html?spid=276801887,1450000,0.0,0,0,OEM,2026-04-29 13:43:11
Dây cho Huawei Watch Kids 4 Pro - kèm công cụ,276408522,tiki,Đồng hồ và Trang sức,Phụ kiện đồng hồ,Dây đồng hồ,https://tiki.vn/product-p276408522.html?spid=276408528,149000,5.0,1,5,Timin,2026-04-29 13:43:11
[BH 2 Năm Động Cơ] Hộp xoay 1 đồng hồ Saike +Tặng kèm Adapter,276180771,tiki,Đồng hồ và Trang sức,Phụ kiện đồng hồ,Hộp đựng đồng hồ,https://tiki.vn/product-p276180771.html?spid=276180772,969000,0.0,0,0,SAIKE,2026-04-29 13:43:11
￼Hộp Đựng Đồng Hồ Cơ Xoay 6 Chiếc Có Đèn Led Tự Động Dừng Khi Mở Nắp,275168939,tiki,Đồng hồ và Trang sức,Phụ kiện đồng hồ,Hộp đựng đồng hồ,https://tiki.vn/product-p275168939.html?spid=275168940,1600000,0.0,0,3,OEM,2026-04-29 13:43:11
"Dây Samsung Galaxy Fit 3 - Dây Thép, khóa nam châm (DTSFIT3)",274598158,tiki,Đồng hồ và Trang sức,Phụ kiện đồng hồ,Dây đồng hồ,https://tiki.vn/product-p274598158.html?spid=275822768,149000,0.0,0,1,Timin,2026-04-29 13:43:11
"Đầu nối đồng hồ Miband 8/ Miband 9 - Nối dây chuyền, dây đồng hồ - hãng Mijobs (NMB8)",273977419,tiki,Đồng hồ và Trang sức,Phụ kiện đồng hồ,Dây đồng hồ,https://tiki.vn/product-p273977419.html?spid=275822744,39000,0.0,0,0,Timin,2026-04-29 13:43:11
HỘP XOAY CHÍNH HÃNG DRIKLUX T8 - XOAY 8 ĐỒNG HỒ,273528017,tiki,Đồng hồ và Trang sức,Phụ kiện đồng hồ,Hộp đựng đồng hồ,https://tiki.vn/product-p273528017.html?spid=273541318,19730000,0.0,0,0,DRIKLUX,2026-04-29 13:43:11
