title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"Tất Nữ, Combo 5 Đôi Tất Nữ Cổ Ngắn, Mẫu Tất Nữ Hình Gấu Nhiều Màu Dễ Thương Thời Trang - Giao Mẫu Ngẫu Nhiên",278808697,tiki,Phụ kiện thời trang,Phụ kiện thời trang nữ,Khăn - Tất - Vớ nữ,https://tiki.vn/product-p278808697.html?spid=276292295,130000,0.0,0,21,LuckyJQR,2026-04-29 13:41:27
"Khăn Choàng Cổ Nam Nữ Unisex Chất Len Cashmere Cao Cấp Mềm Mịn, Khăn Len Quàng Cổ 70x200cm",205883934,tiki,Phụ kiện thời trang,Phụ kiện thời trang nữ,Khăn - Tất - Vớ nữ,https://tiki.vn/product-p205883934.html?spid=239146794,139000,0.0,0,1,OEM,2026-04-29 13:41:27
"Combo 2  băng đô cài tóc gấu dâu  , tai thỏ bông xinh xắn dễ thương phong cách Hàn Quốc nhiều màu phụ kiện làm đẹp cho phái nữ",276899236,tiki,Phụ kiện thời trang,Phụ kiện thời trang nữ,Phụ kiện tóc nữ,https://tiki.vn/product-p276899236.html?spid=276899237,99000,0.0,0,1,LYNUSAN,2026-04-29 13:41:27
Khăn Lụa Vuông Turban Biến Hóa Nhiều Phong Cách Thời Trang Họa Tiết Độc Đáo 50x50cm,51108891,tiki,Phụ kiện thời trang,Phụ kiện thời trang nữ,Khăn - Tất - Vớ nữ,https://tiki.vn/product-p51108891.html?spid=51426974,48000,4.8,8,23,OEM,2026-04-29 13:41:27
"Sét kẹp tóc 5-6 món cao cấp , thiết kế độc lạ , kim loại đính hạt , tạo hình tinh xảo ,cho bạn gái làm đẹp mỗi ngày",271439964,tiki,Phụ kiện thời trang,Phụ kiện thời trang nữ,Phụ kiện tóc nữ,https://tiki.vn/product-p271439964.html?spid=271439965,79000,1.0,1,5,OEM,2026-04-29 13:41:27
Kẹp Tóc Càng Cua 3 Răng Hoa Có Lá (nhiều màu lựa chọn),277809439,tiki,Phụ kiện thời trang,Phụ kiện thời trang nữ,Phụ kiện tóc nữ,https://tiki.vn/product-p277809439.html?spid=277809441,45000,0.0,0,5,OEM,2026-04-29 13:41:27
Mũ Chống Nắng Nữ – Nón Hở Chóp Thể Thao Chống Tia UV Hiệu Quả - HÀNG CHÍNH HÃNG MINIIN,277610699,tiki,Phụ kiện thời trang,Phụ kiện thời trang nữ,Nón nữ,https://tiki.vn/product-p277610699.html?spid=277610705,69000,4.2,5,9,MINIIN,2026-04-29 13:41:27
"Găng Tay Chống Nắng UPF 50+ Cho Nữ - Chống Tia UV, Chống Trượt, Dành Cho Lái Xe Máy - HÀNG CHÍNH HÃNG MINIIN",277591179,tiki,Phụ kiện thời trang,Phụ kiện thời trang nữ,Găng tay và váy chống nắng,https://tiki.vn/product-p277591179.html?spid=277591181,69000,4.0,2,5,MINIIN,2026-04-29 13:41:27
1 Kg Dây Chun Buộc Tóc Màu Đen và Nhiều Màu – Dây Nịt Tóc Đa Dạng Màu Sắc - HÀNG CHÍNH HÃNG MINIIN,277587128,tiki,Phụ kiện thời trang,Phụ kiện thời trang nữ,Phụ kiện tóc nữ,https://tiki.vn/product-p277587128.html?spid=277587130,99000,0.0,0,1,MINIIN,2026-04-29 13:41:27
"Hộp Đựng Trang Sức Nhiều Ngăn – Nhung Cao Cấp, Khung Cứng Định Hình, Thiết Kế Sang Trọng, Tiện Lợi",278275173,tiki,Phụ kiện thời trang,Phụ kiện thời trang nữ,Phụ kiện thời trang nữ khác,https://tiki.vn/product-p278275173.html?spid=278275174,119000,0.0,0,1,LYNUSAN,2026-04-29 13:41:27
