title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Quần Denim Nam Dark Grey Ống Đứng Form Straight - ROUTINE 10F25DPA035,279242290,tiki,Thời trang nam,Quần dài nam,Quần jeans nam,https://tiki.vn/product-p279242290.html?spid=279242294,649000,0.0,0,0,Routine,2026-04-27 22:43:03
Quần denim nam Form Tapered - ROUTINE 10F25DPA016,279209989,tiki,Thời trang nam,Quần dài nam,Quần jeans nam,https://tiki.vn/product-p279209989.html?spid=279209993,579000,0.0,0,0,Routine,2026-04-27 22:43:03
Quần Tây Nam Thanh Lịch Tôn Dáng Form Slim Màu Đen - ROUTINE 10S25PFO012,278968313,tiki,Thời trang nam,Quần dài nam,Quần tây nam,https://tiki.vn/product-p278968313.html?spid=278968315,599000,0.0,0,0,Routine,2026-04-27 22:43:03
Quần denim nam. Straight cropped - ROUTINE 10F25DPA008,278874648,tiki,Thời trang nam,Quần dài nam,Quần jeans nam,https://tiki.vn/product-p278874648.html?spid=278874654,579000,0.0,0,0,Routine,2026-04-27 22:43:03
Quần kaki nam Form Slim cropped - ROUTINE 10F25PCA024,278872567,tiki,Thời trang nam,Quần dài nam,Quần kaki nam dài,https://tiki.vn/product-p278872567.html?spid=278872575,599000,0.0,0,0,Routine,2026-04-27 22:43:03
QUẦN TÂY NAM  XẾP LY,278855969,tiki,Thời trang nam,Quần dài nam,Quần tây nam,https://tiki.vn/product-p278855969.html?spid=278855973,485000,0.0,0,0,OEM,2026-04-27 22:43:03
Quần Jean Thời Trang Basic Nam Tapper Ninomaxx 2508003,278850159,tiki,Thời trang nam,Quần dài nam,Quần jeans nam,https://tiki.vn/product-p278850159.html?spid=278850171,769000,0.0,0,0,Ninomaxx,2026-04-27 22:43:03
Quần vải / Quần tây dài nam nhãn kim loại. Slim Cropped - ROUTINE 10F25PFO022,278522699,tiki,Thời trang nam,Quần dài nam,Quần tây nam,https://tiki.vn/product-p278522699.html?spid=278522717,599000,0.0,0,0,Routine,2026-04-27 22:43:03
Quần tây nam không ly Khatoco Q1M498R0-CNGI570-2607-0,278433568,tiki,Thời trang nam,Quần dài nam,Quần tây nam,https://tiki.vn/product-p278433568.html?spid=278433994,498000,0.0,0,0,KHATOCO ,2026-04-27 22:43:03
Quần tây nam có ly mã Khatoco Q1M478R1-CNMA026-2611-1,278432540,tiki,Thời trang nam,Quần dài nam,Quần tây nam,https://tiki.vn/product-p278432540.html?spid=278432996,478000,0.0,0,0,KHATOCO ,2026-04-27 22:43:03
1 TÚI ĐEO HÔNG NHIỀU NGĂN ĐỰNG ĐIỆN THOẠI PHỤ KIỆN CỰC ĐẸP CHẤT LƯỢNG,278370925,tiki,Thời trang nam,Quần dài nam,Quần tây nam,https://tiki.vn/product-p278370925.html?spid=278370926,179000,0.0,0,0,OEM,2026-04-27 22:43:03
Quần kaki nam Form Slim (3 màu) - RT 10S25PCA016 | ROUTINE CÀ MAU,278249186,tiki,Thời trang nam,Quần dài nam,Quần kaki nam dài,https://tiki.vn/product-p278249186.html?spid=278249190,599000,0.0,0,0,Routine,2026-04-27 22:43:03
Quần vải / Quần tây nam Form Slim Cropped - RT 10F25PFO011 | ROUTINE CÀ MAU,278249175,tiki,Thời trang nam,Quần dài nam,Quần tây nam,https://tiki.vn/product-p278249175.html?spid=278249179,599000,0.0,0,0,Routine,2026-04-27 22:43:03
Quần kaki nam màu đen Form Slim - RT 10F25PCA020 | ROUTINE CÀ MAU,278249164,tiki,Thời trang nam,Quần dài nam,Quần kaki nam dài,https://tiki.vn/product-p278249164.html?spid=278249168,549000,0.0,0,0,Routine,2026-04-27 22:43:03
Quần kaki nam Form Slim cropped - RT 10S25PCA015 | ROUTINE CÀ MAU,278124995,tiki,Thời trang nam,Quần dài nam,Quần kaki nam dài,https://tiki.vn/product-p278124995.html?spid=278125005,599000,0.0,0,0,Routine,2026-04-27 22:43:03
