title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"Quần Ống Rộng Xẻ Linen Anh Đào, Quần Culottes Ống Rộng Xẻ Đính Nút Linen Hồng Pan068",278764828,tiki,Thời trang nữ,Quần nữ,Quần ống rộng nữ,https://tiki.vn/product-p278764828.html?spid=274246101,1695000,0.0,0,0,Hity,2026-04-27 23:34:17
Quần Tây suông dài-dây kéo bên hông Women dây kéo 1 bên nhiều màu,278706302,tiki,Thời trang nữ,Quần nữ,Quần tây nữ,https://tiki.vn/product-p278706302.html?spid=278706352,250000,0.0,0,0,OEM,2026-04-27 23:34:17
Quần jean suông A8238 2 màu,278585834,tiki,Thời trang nữ,Quần nữ,Quần jean nữ,https://tiki.vn/product-p278585834.html?spid=278585836,250000,0.0,0,0,OEM,2026-04-27 23:34:17
Quần Đùi Thun Dệt Vân Sóng Miley Lingerie,278500821,tiki,Thời trang nữ,Quần nữ,Quần shorts nữ,https://tiki.vn/product-p278500821.html?spid=278500825,118000,0.0,0,0,Miley Lingerie,2026-04-27 23:34:17
Quần dài suông linen thô cao cấp đũng ngắn lưng thun,278157518,tiki,Thời trang nữ,Quần nữ,Quần ống rộng nữ,https://tiki.vn/product-p278157518.html?spid=278157520,299000,0.0,0,0,ĐŨI VIỆT,2026-04-27 23:34:17
Quần Mom Jeans Lưng Cao Màu Lucy Blue Aaa Jeans,277937071,tiki,Thời trang nữ,Quần nữ,Quần jean nữ,https://tiki.vn/product-p277937071.html?spid=277937073,650000,0.0,0,1,TRIPLE A,2026-04-27 23:34:17
"Quần đũi nữ ống suoong, dài chất liệu thoải mái, dễ mặc mẫu mới",276497369,tiki,Thời trang nữ,Quần nữ,Quần ống rộng nữ,https://tiki.vn/product-p276497369.html?spid=278215163,320000,0.0,0,1,ĐŨI VIỆT,2026-04-27 23:34:17
Quần Jean Nữ Ống Loe Lưng Cao Aaa Jeans,275956264,tiki,Thời trang nữ,Quần nữ,Quần jean nữ,https://tiki.vn/product-p275956264.html?spid=275960470,650000,0.0,0,2,TRIPLE A,2026-04-27 23:34:17
"Quần dài nữ dáng rộng, thời trang năng động, đủ size QD09",275752942,tiki,Thời trang nữ,Quần nữ,Quần ống rộng nữ,https://tiki.vn/product-p275752942.html?spid=275752944,320000,0.0,0,1,Haint Boutique,2026-04-27 23:34:17
"Quần suông nữ form rộng, cùng với thiết kế bo chun có dây rút tạo cảm giác cực kì thoải mái QD09",275752815,tiki,Thời trang nữ,Quần nữ,Quần ống rộng nữ,https://tiki.vn/product-p275752815.html?spid=275752821,320000,0.0,0,1,Haint Boutique,2026-04-27 23:34:17
"Quần nữ form suông dài nhẹ nhàng, được thiết kế bo cạp chun vô cùng thoải mái dễ mặc qd08",275752794,tiki,Thời trang nữ,Quần nữ,Quần ống rộng nữ,https://tiki.vn/product-p275752794.html?spid=275752796,320000,0.0,0,4,Haint Boutique,2026-04-27 23:34:17
Quần ống loe Hiền Trần BOUTIQUE nữ lưng cạp cao co giãn form đẹp legging bigsize vải Umi Hàn dày dặn dáng dài,201000191,tiki,Thời trang nữ,Quần nữ,Quần tây nữ,https://tiki.vn/product-p201000191.html?spid=201000193,350000,0.0,0,3,Hiền Trần BOUTIQUE,2026-04-27 23:34:17
Quần baggy nữ Hiền Trần BOUTIQUE chất liệu mỳ nỉ mềm ấm đai chữ D mặc thu đông,200677898,tiki,Thời trang nữ,Quần nữ,Quần baggy nữ,https://tiki.vn/product-p200677898.html?spid=200677900,350000,0.0,0,3,Hiền Trần BOUTIQUE,2026-04-27 23:34:17
Quần short nữ - T190,191436035,tiki,Thời trang nữ,Quần nữ,Quần shorts nữ,https://tiki.vn/product-p191436035.html?spid=191436072,1750000,0.0,0,0,PGM,2026-04-27 23:34:17
Quần cạp cao ống suông TR016W,187826334,tiki,Thời trang nữ,Quần nữ,Quần ống rộng nữ,https://tiki.vn/product-p187826334.html?spid=187826339,839300,0.0,0,0,2NDDATE,2026-04-27 23:34:17
Quần legging nữ co giãn họa tiết kẻ 2NDDATE TR008MBC,187826285,tiki,Thời trang nữ,Quần nữ,Quần legging - tregging nữ,https://tiki.vn/product-p187826285.html?spid=187826287,100000,0.0,0,0,2NDDATE,2026-04-27 23:34:17
Quần suông ống rộng nữ kiểu TR012,187825350,tiki,Thời trang nữ,Quần nữ,Quần tây nữ,https://tiki.vn/product-p187825350.html?spid=187825396,1099000,0.0,0,0,2NDDATE,2026-04-27 23:34:17
