title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Quần short nam Form Straight - ROUTINE 10F25PSH008,278939003,tiki,Thời trang nam,Quần short nam,Quần short kaki nam,https://tiki.vn/product-p278939003.html?spid=278939019,479000,0.0,0,0,Routine,2026-04-27 22:44:48
Quần Short kaki Khatoco sale 290k ( giá tem 378K),278836246,tiki,Thời trang nam,Quần short nam,Quần short kaki nam,https://tiki.vn/product-p278836246.html?spid=278836248,290000,0.0,0,0,KHATOCO ,2026-04-27 22:44:48
Quần short cargo nam Form Loose - ROUTINE 10S25PSH009,278522084,tiki,Thời trang nam,Quần short nam,Quần short kaki nam,https://tiki.vn/product-p278522084.html?spid=278522090,529000,0.0,0,0,Routine,2026-04-27 22:44:48
Quần short kaki nam Form Straight - RT 10S25PSH015 | ROUTINE CÀ MAU,278466685,tiki,Thời trang nam,Quần short nam,Quần short kaki nam,https://tiki.vn/product-p278466685.html?spid=278466687,479000,0.0,0,0,Routine,2026-04-27 22:44:48
BỘ CHỐT CỬA TỰ ĐỘNG MẠ KẼM VÀ INOX LOẠI DẦY CHẤT LƯỢNG,278422591,tiki,Thời trang nam,Quần short nam,Quần short thun nam,https://tiki.vn/product-p278422591.html?spid=278422593,149000,0.0,0,0,OEM,2026-04-27 22:44:48
Quần short nam May 10 mã 160123924L1 MS015,277435881,tiki,Thời trang nam,Quần short nam,Quần short kaki nam,https://tiki.vn/product-p277435881.html?spid=277435883,475000,0.0,0,0,May 10,2026-04-27 22:44:48
Quần short vải dù túi đắp. Relax - RT 10F24PSH005 | ROUTINE CÀ MAU,277373495,tiki,Thời trang nam,Quần short nam,Quần short thun nam,https://tiki.vn/product-p277373495.html?spid=277373499,449000,0.0,0,0,Routine,2026-04-27 22:44:48
Quần Short Jean ROUTINE Nam Ống Suông Trơn Form Straight - 10S24DPS003 | LASTORE MENSWEAR,274907356,tiki,Thời trang nam,Quần short nam,Quần short jean nam,https://tiki.vn/product-p274907356.html?spid=274907360,449000,0.0,0,0,Routine,2026-04-27 22:44:48
Quần short nam Khatoco (tặng vớ Khatoco cao cấp),273787884,tiki,Thời trang nam,Quần short nam,Quần short thun nam,https://tiki.vn/product-p273787884.html?spid=273787948,398000,0.0,0,0,KHATOCO ,2026-04-27 22:44:48
Quần Short Jeans Nam Rách Cao Cấp HUNTER -RAYS Form Slimfit Thun Màu Xanh S57,272376146,tiki,Thời trang nam,Quần short nam,Quần short jean nam,https://tiki.vn/product-p272376146.html?spid=272376152,449000,0.0,0,0,Hunter X Rays,2026-04-27 22:44:48
"Quần short nam tập gym DO GYM SHOP form body đẹp, thun lạnh thoáng mát",269851504,tiki,Thời trang nam,Quần short nam,Quần short thun nam,https://tiki.vn/product-p269851504.html?spid=269851506,159000,0.0,0,0,OEM,2026-04-27 22:44:48
Quần short kaki nam thời trang,206137748,tiki,Thời trang nam,Quần short nam,Quần short kaki nam,https://tiki.vn/product-p206137748.html?spid=206137771,249000,0.0,0,0,OEM,2026-04-27 22:44:48
Quần Short Nam Slim Fit Shorts - SIZE 30-31-32-33-34,180390571,tiki,Thời trang nam,Quần short nam,Quần short kaki nam,https://tiki.vn/product-p180390571.html?spid=180390580,350000,0.0,0,0,OEM,2026-04-27 22:44:48
