title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"Set Đồ Bơi Kèm Chân Váy – Thời Trang, Nữ Tính, Tôn Dáng Thoải Mái, Dễ Mặc, Phù Hợp Nhiều Vóc Dáng  ( Dưới 50 KG )",278278621,tiki,Thời trang nữ,Trang phục bơi nữ,Đồ bơi hai mảnh,https://tiki.vn/product-p278278621.html?spid=278278622,139000,0.0,0,0,LYNUSAN,2026-04-27 23:35:38
Bikini Hai Mảnh Họa Tiết Hoa Nhí AT223 MayHomes Đồ Bơi Nữ Thun Lạnh Co Giãn Tốt Two-Piece Swimwear,177266853,tiki,Thời trang nữ,Trang phục bơi nữ,Đồ bơi hai mảnh,https://tiki.vn/product-p177266853.html?spid=177266857,195000,4.0,3,42,MAYHOMES,2026-04-27 23:35:38
Đồ Bơi Nữ Hai Mảnh Đa Năng AT168 MayHomes Áo Bơi Nữ Và Quần Bơi Short Nữ,55042458,tiki,Thời trang nữ,Trang phục bơi nữ,Đồ bơi hai mảnh,https://tiki.vn/product-p55042458.html?spid=55042470,145000,4.5,270,1212,MAYHOMES,2026-04-27 23:35:38
"Đồ Bơi Nữ Hai Mảnh Tay Dài Chống Nắng Biển Xanh Áo Dài Tay Quần Lưng Cao Tươi Trẻ ATI87 MayHomes, Sun Protection UPF50+, Long-Sleeve Swimwear",186749768,tiki,Thời trang nữ,Trang phục bơi nữ,Đồ bơi hai mảnh,https://tiki.vn/product-p186749768.html?spid=186749778,190000,5.0,1,32,MAYHOMES,2026-04-27 23:35:38
"Bộ đồ bơi  gồm chân váy  + áo bơi có mút , họa tiết mới   đi biển , dã ngoại  thiết kế thời trang, hiện đại đẹp và nữ tính ( dưới 50kg )",278278394,tiki,Thời trang nữ,Trang phục bơi nữ,Đồ bơi hai mảnh,https://tiki.vn/product-p278278394.html?spid=278278395,139000,0.0,0,0,LYNUSAN,2026-04-27 23:35:38
Bikini Loang Màu Set 4 Món Áo Choàng Dài Tay Váy Rút Dây BK004 MayHomes Đồ Bơi Nữ 4 Mảnh,275900645,tiki,Thời trang nữ,Trang phục bơi nữ,Đồ bơi hai mảnh,https://tiki.vn/product-p275900645.html?spid=275900647,195000,0.0,0,0,MAYHOMES,2026-04-27 23:35:38
"Bộ bơi liền thân nữ dáng váy quyến rũ, thun bơi đẹp co giãn 4 chiều thoáng mát, áo có sẵn gọng đệm, tôn dáng giấu bụng tốt | KT180",275032071,tiki,Thời trang nữ,Trang phục bơi nữ,Đồ bơi một mảnh,https://tiki.vn/product-p275032071.html?spid=275032073,290000,0.0,0,0,OEM,2026-04-27 23:35:38
"Bộ bơi nữ big size cao cấp, mẫu 2 mảnh áo cộc tay có khóa kéo trước, quần boxer trẻ trung, chất thun bơi lạnh Lycra co giãn đa chiều, dày dặn mịn mát, chống thấm nước nhanh khô | KT110",274937386,tiki,Thời trang nữ,Trang phục bơi nữ,Đồ bơi hai mảnh,https://tiki.vn/product-p274937386.html?spid=274937400,480000,5.0,1,10,OEM,2026-04-27 23:35:38
"Bộ bơi liền thân nữ quần đùi lửng dài trên gối kín đáo, có cỡ BIG SIZE cho bạn béo mập đến 90kg, áo tắm cỡ đại cho nữ, học sinh, bé gái lớn | KT116",274783384,tiki,Thời trang nữ,Trang phục bơi nữ,Đồ bơi một mảnh,https://tiki.vn/product-p274783384.html?spid=274783386,480000,0.0,0,0,OEM,2026-04-27 23:35:38
"Set Đồ Bơi Kèm Chân Váy  Thiết kế 2 trong 1 – Đẹp Mê Mẩn, Kín Đáo Mà Vẫn Gợi Cảm !  ( Dưới 50 Kg )",278278588,tiki,Thời trang nữ,Trang phục bơi nữ,Đồ bơi hai mảnh,https://tiki.vn/product-p278278588.html?spid=278278589,139000,0.0,0,3,LYNUSAN,2026-04-27 23:35:38
