title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Túi đeo chéo nam vải canvas cao cấp phong cách mới,184316710,tiki,Túi thời trang nam,Túi đeo chéo nam,Túi đeo chéo nam vải canvas cao cấp phong cách mới,https://tiki.vn/product-p184316710.html?spid=184316712,358000,4.3,3,17,ANANSHOP688,2026-04-29 13:45:39
Túi đeo chéo nam vải canvas cao cấp phong cách mới,95004244,tiki,Túi thời trang nam,Túi đeo chéo nam,Túi đeo chéo nam vải canvas cao cấp phong cách mới,https://tiki.vn/product-p95004244.html?spid=95004252,290000,4.6,23,95,ANANSHOP688,2026-04-29 13:45:39
Túi đeo chéo nam thời trang cao cấp phong cách mới,273587768,tiki,Túi thời trang nam,Túi đeo chéo nam,Túi đeo chéo nam thời trang cao cấp phong cách mới,https://tiki.vn/product-p273587768.html?spid=273587776,350000,5.0,3,10,ANANSHOP688,2026-04-29 13:45:39
Túi đeo chéo nam thời trang cao cấp phong cách mới,275625709,tiki,Túi thời trang nam,Túi đeo chéo nam,Túi đeo chéo nam thời trang cao cấp phong cách mới,https://tiki.vn/product-p275625709.html?spid=275625711,290000,4.7,3,18,ANANSHOP688,2026-04-29 13:45:39
Túi đeo chéo nam đa năng cao cấp phong cách mới,99078225,tiki,Túi thời trang nam,Túi đeo chéo nam,Túi đeo chéo nam đa năng cao cấp phong cách mới,https://tiki.vn/product-p99078225.html?spid=99078230,290000,4.6,36,103,ANANSHOP688,2026-04-29 13:45:39
"Túi đeo chéo nam nữ thời trang, túi 3 sọc, túi trông nhỏ gọn HARAS",277722285,tiki,Túi thời trang nam,Túi đeo chéo nam,"Túi đeo chéo nam nữ thời trang, túi 3 sọc, túi trông nhỏ gọn HARAS",https://tiki.vn/product-p277722285.html?spid=277722289,99000,0.0,0,0,HARAS,2026-04-29 13:45:39
Túi đeo chéo nam cao cấp phong cách mới BEE GEE – DCN9325,277557600,tiki,Túi thời trang nam,Túi đeo chéo nam,Túi đeo chéo nam cao cấp phong cách mới BEE GEE – DCN9325,https://tiki.vn/product-p277557600.html?spid=277557603,190000,0.0,0,0,Bee Gee,2026-04-29 13:45:39
"Túi đeo chéo mini, túi đi bộ chạy bộ, túi đeo hông, túi đeo ngực, túi bao tử, balo mini nam nữ nhỏ gọn chống nước",277480654,tiki,Túi thời trang nam,Túi đeo chéo nam,"Túi đeo chéo mini, túi đi bộ chạy bộ, túi đeo hông, túi đeo ngực, túi bao tử, balo mini nam nữ nhỏ gọn chống nước",https://tiki.vn/product-p277480654.html?spid=277480662,185000,5.0,1,0,SUZIN,2026-04-29 13:45:39
"Túi đeo chéo mini, túi đi bộ chạy bộ, túi đeo hông, túi đeo ngực, túi bao tử, balo mini nam nữ nhỏ gọn chống nước",277480573,tiki,Túi thời trang nam,Túi đeo chéo nam,"Túi đeo chéo mini, túi đi bộ chạy bộ, túi đeo hông, túi đeo ngực, túi bao tử, balo mini nam nữ nhỏ gọn chống nước",https://tiki.vn/product-p277480573.html?spid=277480575,85000,4.8,4,8,SUZIN,2026-04-29 13:45:39
Túi đeo chéo đeo ngực nam thời trang cao cấp phong cách mới,277389325,tiki,Túi thời trang nam,Túi đeo chéo nam,Túi đeo chéo đeo ngực nam thời trang cao cấp phong cách mới,https://tiki.vn/product-p277389325.html?spid=277389327,290000,0.0,0,0,ANANSHOP688,2026-04-29 13:45:39
Túi đeo chéo nam thời trang cao cấp,107366288,tiki,Túi thời trang nam,Túi đeo chéo nam,Túi đeo chéo nam thời trang cao cấp ,https://tiki.vn/product-p107366288.html?spid=107366292,350000,4.1,14,35,ANANSHOP688,2026-04-29 13:45:39
Túi đeo chéo đeo ngực nam cao cấp phong cách châu âu,163281652,tiki,Túi thời trang nam,Túi đeo chéo nam,Túi đeo chéo đeo ngực nam cao cấp phong cách châu âu,https://tiki.vn/product-p163281652.html?spid=163281653,690000,4.8,11,35,ANANSHOP688,2026-04-29 13:45:39
