title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"Đồ Bơi Một Mảnh Biển Chết Dành Cho Nữ, Ôm Sát, Không Lưng, Dây Đeo Thon Gọn, Đồ Bơi Giữ Nhiệt, Áo Khoác Tắm Gợi Cảm, Bộ Bikini Học Sinh",3268087584,lazada,Thời trang & Phụ kiện Nữ,Đồ ngủ và nội y,Đồ bơi một mảnh,https://www.lazada.vn/products/pdp-i3268087584.html,211650,0.0,0,32,No Brand,2026-05-06 09:39:28
"Áo tắm một mảnh in hình tay dài cho phụ nữ, bộ đồ bơi bảo vệ da, bộ đồ bơi lướt sóng, kích thước lớn 2XL",3015749872,lazada,Thời trang & Phụ kiện Nữ,Đồ ngủ và nội y,Đồ bơi một mảnh,https://www.lazada.vn/products/pdp-i3015749872.html,471458,0.0,0,0,No Brand,2026-05-06 09:39:28
"Đồ Bơi Bikini Một Mảnh Khoét Lỗ Gợi Cảm Dành Cho Nữ, Thời Trang Đi Biển, Suối Nước Nóng, Phong Cách Thuần Khiết Quyến Rũ.",3262750383,lazada,Thời trang & Phụ kiện Nữ,Đồ ngủ và nội y,Đồ bơi một mảnh,https://www.lazada.vn/products/pdp-i3262750383.html,254600,0.0,0,131,No Brand,2026-05-06 09:39:28
[Bigsize 40-65kg] Bikini 1 Mảnh Dáng Váy Thể Thao Đồ Bơi Liền Thân Dạng váy 2 Dây Giấu Bụng Tôn Dáng VATIXA BKN132,2418365167,lazada,Thời trang & Phụ kiện Nữ,Đồ ngủ và nội y,Đồ bơi một mảnh,https://www.lazada.vn/products/pdp-i2418365167.html,136220,4.9,21,64,No Brand,2026-05-06 09:39:28
Big size 75kg Bikini đi biển kín đáo 1 mảnh liền váy CÓ MÚT- Đồ bơi nữ tay dài liền mảnh quần SHORT bên trong NES VX001,2598514652,lazada,Thời trang & Phụ kiện Nữ,Đồ ngủ và nội y,Đồ bơi một mảnh,https://www.lazada.vn/products/pdp-i2598514652.html,175000,4.9,9,28,No Brand,2026-05-06 09:39:28
"Đồ bơi cho bé gái liền thân , đồ bơi bé gái 1 mảnh sz 10-40kg",2684447306,lazada,Thời trang & Phụ kiện Nữ,Đồ ngủ và nội y,Đồ bơi một mảnh,https://www.lazada.vn/products/pdp-i2684447306.html,79000,5.0,11,48,No Brand,2026-05-06 09:39:28
Bộ đồ bơi big size bigsize đi biển đi tắm một 1 mảnh liền thân che bụng kín đáo BS10,2650458006,lazada,Thời trang & Phụ kiện Nữ,Đồ ngủ và nội y,Đồ bơi một mảnh,https://www.lazada.vn/products/pdp-i2650458006.html,188000,4.8,11,27,No Brand,2026-05-06 09:39:28
Bikini Nữ Một Mảnh Bộ Đồ Bơi Đi Biển Váy Liền Freesize BinSports BHV086,935400069,lazada,Thời trang & Phụ kiện Nữ,Đồ ngủ và nội y,Đồ bơi một mảnh,https://www.lazada.vn/products/pdp-i935400069.html,151000,4.6,17,46,No Brand,2026-05-06 09:39:28
"Bikini NES đồ bơi đi biển một mảnh dây kéo trước phối họa tiết TÍM tay ngắn form váy, QUẦN đùi bảo hộ kín đáo LNS 071",2637812074,lazada,Thời trang & Phụ kiện Nữ,Đồ ngủ và nội y,Đồ bơi một mảnh,https://www.lazada.vn/products/pdp-i2637812074.html,169000,0.0,0,0,No Brand,2026-05-06 09:39:28
Đồ bơi bikini nữ 1 mảnh áo croptop ghép váy kín đáo Thun Lạnh co dãn 4 chiều QP034,2052220398,lazada,Thời trang & Phụ kiện Nữ,Đồ ngủ và nội y,Đồ bơi một mảnh,https://www.lazada.vn/products/pdp-i2052220398.html,119196,5.0,2,13,No Brand,2026-05-06 09:39:28
Bộ Đồ Bơi Một Mảnh Dài Tay Cổ Chữ V Dành Cho Nữ Bộ Bikini Chống Nắng Màu Đen Eo Cao Không Dây Phong Cách Bãi Biển Dành Cho Suối Nước Nóng,13331669158,lazada,Thời trang & Phụ kiện Nữ,Đồ ngủ và nội y,Đồ bơi một mảnh,https://www.lazada.vn/products/pdp-i13331669158.html,204400,5.0,1,9,No Brand,2026-05-06 09:39:28
Bộ Đồ Bơi Một Mảnh Gợi Cảm Bảo Vệ Lưng Dài Tay Màu Xám Che Bụng Giảm Béo Ngực Lớn Cho Kỳ Nghỉ Tại Suối Nước Nóng,1641740278,lazada,Thời trang & Phụ kiện Nữ,Đồ ngủ và nội y,Đồ bơi một mảnh,https://www.lazada.vn/products/pdp-i1641740278.html,312000,5.0,3,20,No Brand,2026-05-06 09:39:28
Bộ Đồ Bơi Một Mảnh Che Bụng Dáng Ôm Phong Cách Hàn Quốc Cho Nữ,1928920987,lazada,Thời trang & Phụ kiện Nữ,Đồ ngủ và nội y,Đồ bơi một mảnh,https://www.lazada.vn/products/pdp-i1928920987.html,120000,0.0,0,0,No Brand,2026-05-06 09:39:28
Đồ Bơi Nữ Một Mảnh Dạng Váy Hoa Xinh HLAT127 Hoa Lan,290270020,lazada,Thời trang & Phụ kiện Nữ,Đồ ngủ và nội y,Đồ bơi một mảnh,https://www.lazada.vn/products/pdp-i290270020.html,99999,5.0,2,0,Mây,2026-05-06 09:39:28
Bộ đồ bơi big size bigsize áo tắm đi biển một 1 mảnh liền thân che bụng kín đáo BS13,2674629170,lazada,Thời trang & Phụ kiện Nữ,Đồ ngủ và nội y,Đồ bơi một mảnh,https://www.lazada.vn/products/pdp-i2674629170.html,188000,5.0,4,22,No Brand,2026-05-06 09:39:28
(THUN LẠNH CÓ GỌNG) Bộ bơi nữ liền thân kín đáo- Bikini đồ bơi một mảnh đi biển tôn dáng,2281385671,lazada,Thời trang & Phụ kiện Nữ,Đồ ngủ và nội y,Đồ bơi một mảnh,https://www.lazada.vn/products/pdp-i2281385671.html,199000,3.7,3,12,No Brand,2026-05-06 09:39:28
"Đồ Bơi Nữ Một Mảnh Ôm Thân Khỏe Khoắn ATI86 Tay Dài Che Nắng, Long-Sleeve Rashguard, UV Protection",2198008653,lazada,Thời trang & Phụ kiện Nữ,Đồ ngủ và nội y,Đồ bơi một mảnh,https://www.lazada.vn/products/pdp-i2198008653.html,179000,5.0,1,0,Mây,2026-05-06 09:39:28
"Đồ Bơi Một Mảnh Kín Đáo Dành Cho Nữ Mùa Hè, Chất Liệu Polyester Màu Trơn, Đồ Bơi Đi Biển, Đồ Bơi Học Sinh, Áo Khoác Ngoài Ngắn Gọn",3284656987,lazada,Thời trang & Phụ kiện Nữ,Đồ ngủ và nội y,Đồ bơi một mảnh,https://www.lazada.vn/products/pdp-i3284656987.html,188000,5.0,1,194,No Brand,2026-05-06 09:39:28
