title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"Quần Gen Nịt Bụng Kéo Khóa, Quần Lót Gen Bụng Định Hình Chống Cuộn Lưng Cao",2272974856,lazada,Thời trang & Phụ kiện Nữ,Đồ ngủ và nội y,Đồ lót định hình,https://www.lazada.vn/products/pdp-i2272974856.html,79000,5.0,2,9,No Brand,2026-05-06 18:44:28
"Quần Lót Nâng Mông Nữ Có Đệm Hông, Nâng Mông, Định Hình, Quần Lót Không Đường May, Tạo Đường Cong Quyến Rũ",2474016949,lazada,Thời trang & Phụ kiện Nữ,Đồ ngủ và nội y,Đồ lót định hình,https://www.lazada.vn/products/pdp-i2474016949.html,160800,4.9,118,72,No Brand,2026-05-06 18:44:28
"Áo Gen Định Hình Toàn Thân Lông Cừu Cao Cấp, Giúp Giảm Eo, Nâng Mông, Nâng Ngực: Tạo Dáng Hoàn Hảo và Thu Hút Ánh Nhìn",2611608799,lazada,Thời trang & Phụ kiện Nữ,Đồ ngủ và nội y,Đồ lót định hình,https://www.lazada.vn/products/pdp-i2611608799.html,460350,4.6,19,64,No Brand,2026-05-06 18:44:28
"Áo Định Hình Sau Sinh Cho Nữ, Bodysuit Thon Gọn Bụng, Gen Nịt Bụng, Corset Định Hình Toàn Thân, Đốt Cháy Mỡ Thừa",2603933665,lazada,Thời trang & Phụ kiện Nữ,Đồ ngủ và nội y,Đồ lót định hình,https://www.lazada.vn/products/pdp-i2603933665.html,170400,4.5,74,91,No Brand,2026-05-06 18:44:28
Nịt bụng sau sinh giảm mỡ Ken bụng tạo SLINE mặc trong váy định hình chốn cuộn FSHOPP5,2143883234,lazada,Thời trang & Phụ kiện Nữ,Đồ ngủ và nội y,Đồ lót định hình,https://www.lazada.vn/products/pdp-i2143883234.html,35000,0.0,0,0,No Brand,2026-05-06 18:44:28
Q72 Quần Lót Gen Bụng Cạp Cao Định Hình KATHY BRA Gen Bụng Dưới Không Viền Chất Su Đúc,3178136382,lazada,Thời trang & Phụ kiện Nữ,Đồ ngủ và nội y,Đồ lót định hình,https://www.lazada.vn/products/pdp-i3178136382.html,84150,5.0,3,18,Kathy Bra,2026-05-06 18:44:28
Gen kéo khoá MỚI 2025 siêu siết định hình eo bụng ( tặng kèm thước đo ),2469711501,lazada,Thời trang & Phụ kiện Nữ,Đồ ngủ và nội y,Đồ lót định hình,https://www.lazada.vn/products/pdp-i2469711501.html,145000,5.0,130,429,No Brand,2026-05-06 18:44:28
Quần gen nịt bụng cạp cao QG14 khóa kéo chông cuộn định hình eo YiOn Underwear,2599112457,lazada,Thời trang & Phụ kiện Nữ,Đồ ngủ và nội y,Đồ lót định hình,https://www.lazada.vn/products/pdp-i2599112457.html,181300,4.9,42,129,No Brand,2026-05-06 18:44:28
"Quần Tập Yoga Nữ Cỡ Lớn, Có Chức Năng Định Hình Bụng, Ren Thoáng Khí, Hỗ Trợ Phục Hồi Sau Sinh, Nâng Mông, Quần Lót Định Hình",2899182303,lazada,Thời trang & Phụ kiện Nữ,Đồ ngủ và nội y,Đồ lót định hình,https://www.lazada.vn/products/pdp-i2899182303.html,56250,4.9,34,174,No Brand,2026-05-06 18:44:28
"[XẢ KHO] Đai Latex 9 Xương, Cao 28cm Nịt Bụng Định Hình Cơ Thể Chất Vải Lụa",3142307692,lazada,Thời trang & Phụ kiện Nữ,Đồ ngủ và nội y,Đồ lót định hình,https://www.lazada.vn/products/pdp-i3142307692.html,88110,5.0,2,7,No Brand,2026-05-06 18:44:28
"Quần độn mông và hông gen bụng - định hình eo , chống cuộn , nâng mông ,Mã 6573",2204961760,lazada,Thời trang & Phụ kiện Nữ,Đồ ngủ và nội y,Đồ lót định hình,https://www.lazada.vn/products/pdp-i2204961760.html,165000,5.0,2,16,No Brand,2026-05-06 18:44:28
"MISTHIN Áo liền quần định hình đáy liền dành cho nữ, quần định hình nâng mông, hở ngực, tiện lợi, ôm bụng S0267",2651686657,lazada,Thời trang & Phụ kiện Nữ,Đồ ngủ và nội y,Đồ lót định hình,https://www.lazada.vn/products/pdp-i2651686657.html,184702,5.0,1,0,MISTHIN,2026-05-06 18:44:28
"Áo Gen Bụng Định Hình Xuất Nhật AKIRA Áo Nịt Bụng Nâng Ngực, gen nịt bụng giảm mỡ",866494810,lazada,Thời trang & Phụ kiện Nữ,Đồ ngủ và nội y,Đồ lót định hình,https://www.lazada.vn/products/pdp-i866494810.html,119000,4.9,7,15,No Brand,2026-05-06 18:44:28
