title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"High-End Smart Folding Study Desk with iPad Slot, Multi-Purpose Desk with White U-Shaped Legs",2924279124,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Bàn Làm Việc,https://www.lazada.vn/products/pdp-i2924279124.html,39000,5.0,7,0,No Brand,2026-05-16 15:42:54
"Bàn học, bàn làm việc gấp gọn, tăng giảm chiều cao thông minh.",1884104921,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Bàn Làm Việc,https://www.lazada.vn/products/pdp-i1884104921.html,65720,4.2,5,0,No Brand,2026-05-16 15:42:54
Simplicity Pure Color Gaming Desk Mat,13360058397,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Bàn Làm Việc,https://www.lazada.vn/products/pdp-i13360058397.html,66000,0.0,0,0,No Brand,2026-05-16 15:42:54
[Xả Kho] Bàn học làm việc gấp gọn thông minh có khe cắm ipad điện thoại,1540070915,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Bàn Làm Việc,https://www.lazada.vn/products/pdp-i1540070915.html,68000,4.363636363636363,165,0,No Brand,2026-05-16 15:42:54
"MÀU NGẪU NHIÊN - Bàn gấp gọn ngồi bệt - bàn gấp học sinh làm việc thông minh, bàn học có khe cắm điện thoại, ipad - bàn học cho bé",2580268531,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Bàn Làm Việc,https://www.lazada.vn/products/pdp-i2580268531.html,69000,5.0,1,0,No Brand,2026-05-16 15:42:54
"Bàn gấp gọn ngồi bệt, chân nhựa cứng cao 30 kích thước mặt 40x60 cm mặt gỗ màu trắng, đen, hồng MDF loại đẹp dùng trong học tập, làm việc",1972525431,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Bàn Làm Việc,https://www.lazada.vn/products/pdp-i1972525431.html,69000,4.8431372549019605,102,0,No Brand,2026-05-16 15:42:54
"[ GIÁ HẠT RẺ ] Bàn Để Laptop , Bàn Học Sinh Gấp Gọn Siêu Tiện Lợi",861586758,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Bàn Làm Việc,https://www.lazada.vn/products/pdp-i861586758.html,69000,4.166666666666667,12,0,No Brand,2026-05-16 15:42:54
"bàn gấp kích thước 40x60 bằng gỗ MDF lắp chân cao 28 cm kèm móng cao su có thể dùng làm việc, học tập nhiều hình ảnh vân gỗ, siêu nhân, công chúa,",1965725355,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Bàn Làm Việc,https://www.lazada.vn/products/pdp-i1965725355.html,70000,4.953488372093023,43,0,No Brand,2026-05-16 15:42:54
AIODIY Foldable Laptop table/mini Desk Study Table,2933270028,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Bàn Làm Việc,https://www.lazada.vn/products/pdp-i2933270028.html,71877,4.862957937584803,737,0,AIODIY,2026-05-16 15:42:54
"Bàn gấp gọn ngồi bệt, chân nhựa cứng cao 30 kích thước mặt 40x60 cm nhiều màu sắc khac nhau dùng trong học tập, làm việc",2492463852,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Bàn Làm Việc,https://www.lazada.vn/products/pdp-i2492463852.html,75000,0.0,0,0,No Brand,2026-05-16 15:42:54
[HCM] Bàn Học Gấp Gọn Thông Minh Có Khe Để Ipad - Chân Thép Có Đế Chống Trượt (Ngẫu Nhiên Màu),1731894347,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Bàn Làm Việc,https://www.lazada.vn/products/pdp-i1731894347.html,76000,0.0,0,0,No Brand,2026-05-16 15:42:54
"Folding Table for Sitting on the Floor - Smart Folding Table for Students to Work On, Study Table with Phone and iPad Slots - Study Table for Children - at",2585969368,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Bàn Làm Việc,https://www.lazada.vn/products/pdp-i2585969368.html,79000,4.4,15,0,No Brand,2026-05-16 15:42:54
"Foldable Study Table for Sitting on the Floor, Used for Students and Students, for Using Laptops for Work. 40X60Cm Hard Plastic Table with Mdf Wood Surface",3208830483,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Bàn Làm Việc,https://www.lazada.vn/products/pdp-i3208830483.html,79000,5.0,0,0,No Brand,2026-05-16 15:42:54
Folding Student Desk with U-Shaped Legs,735594108,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Bàn Làm Việc,https://www.lazada.vn/products/pdp-i735594108.html,79999,4.5,8,0,No Brand,2026-05-16 15:42:54
"Bàn học, bàn làm việc mặt gỗ chân sắt gấp sơn tĩnh điện cao cấp – Nội thất Khả Vy",2066809822,lazada,Hàng Gia Dụng & Đời Sống,Đồ Nội Thất,Bàn Làm Việc,https://www.lazada.vn/products/pdp-i2066809822.html,92000,0.0,0,0,No Brand,2026-05-16 15:42:54
